count,spanish,pos,flags,usage,source_column,lemma_original,lemma_normalized,lemma_lemmatized,lemma_lookup_used,lemma_translated,translated_flag,translation_source
15550,patear,v,,3442:patear|1275:patea|1158:pateando|986:pateó|803:pateado|779:patearé|698:patearte|495:patearle|482:patee|355:pateé|349:patearon|293:patearme|280:patean|263:pateen|261:pateaste|241:pateamos|229:patearía|198:patéale|197:pateas|182:patearlo|178:pateaba|178:pateará|161:patéalo|160:patéala|145:patearles|136:patees|118:pateara|111:pateare|99:patearemos|85:patearla|78:pateaban|74:pateemos|73:pateada|69:patéame|65:patearan|57:pateándome|54:patearán|45:pateados|45:patearlos|42:patearás|39:pateándote|29:patéales|28:pateándole|27:pateale|27:patearas|27:patearnos|27:pateándolo|24:pateala|23:pateabas|23:patearían|22:patearías|19:pateadas|18:patearse|16:patearos|15:pateame|15:patéenlo|14:pateándola|14:patéalos|13:patealo|13:pateándose|13:patéela|11:pateábamos|11:patéenla|10:patead|10:pateales|10:patearlas|10:patéenme|9:pateándonos|9:pateémosle|9:patéelo|9:patéenlas|8:patearíamos|7:patease|6:pateadme|6:patéalas|5:patealos|5:pateándoles|5:patéate|5:patéenlos|4:pateadle|4:pateéis|4:pateémoslo|4:patéele|4:patéeme,spanish,patear,patear,patear,patear,[UNTRANSLATED] patear,FALSE,untranslated
15469,cubierto,adj,,11268:cubierto|4201:cubiertos,spanish,cubierto,cubierto,cubierto,cubierto,[UNTRANSLATED] cubierto,FALSE,untranslated
15417,enojar,v,,3490:enojar|2131:enojes|1455:enoja|1385:enojó|760:enoje|644:enojas|606:enojarse|536:enojarme|502:enojé|450:enojará|408:enojarte|355:enojaste|298:enojan|280:enojando|273:enojaba|264:enojaría|167:enojaron|158:enojaré|150:enojara|142:enojen|123:enójate|93:enojarías|87:enojarás|80:enojarán|72:enojamos|69:enojaras|41:enojarlo|41:enojarían|39:enojarnos|32:enojaban|30:enojándose|26:enojarla|24:enojabas|23:enojaran|22:enojándome|19:enojarlos|17:enojás|15:enojate|14:enojándote|14:enojés|12:enojaremos|12:enójese|11:enojemos|9:enojare|9:enojéis|7:enojarle|5:enojaros|5:enójense|4:enojábamos|4:enojáis|4:enojáramos,spanish,enojar,enojar,enojar,enojar,[UNTRANSLATED] enojar,FALSE,untranslated
15205,dave,none,NOUSAGE,15205:dave,spanish,dave,dave,dave,dave,[UNTRANSLATED] dave,FALSE,untranslated
15134,h,letter,,15134:h,spanish,h,h,h,h,[UNTRANSLATED] h,FALSE,untranslated
14954,oponer,v,,2747:opone|1700:oponerse|1657:oponen|1455:opuso|1091:opongo|702:oponer|615:oponía|518:opusieron|442:oponga|397:oponían|298:opondrá|290:oponemos|286:opones|274:oponerme|267:opongan|257:opuse|249:opondría|209:oponiéndose|154:oponernos|148:opusiera|147:opondré|122:oponerte|106:oponiendo|105:opondrán|105:opongas|62:opusiste|50:opondrían|50:opusimos|41:opusieran|39:opondremos|35:oponerle|32:opondrías|30:oponérsele|29:opondrás|29:oponías|20:oponiéndome|18:oponíamos|16:opusiese|14:oponerles|13:oponerla|12:oponiéndonos|12:oponte|11:opongamos|10:opusieras|9:oponéis|7:oponerlo|7:oponiéndole|7:oponérseles|7:opón|6:oponiéndote|6:opónganse|5:opondríamos|5:oponerlos|5:oponeros|5:oponiéndoles|5:opusisteis|4:opondríais|4:opongáis|4:oponiéndolos|4:oponiéndosele,spanish,oponer,oponer,oponer,oponer,[UNTRANSLATED] oponer,FALSE,untranslated
14795,ed,none,NOUSAGE,14795:ed,spanish,ed,ed,ed,ed,[UNTRANSLATED] ed,FALSE,untranslated
14794,lord,n,,14148:lord|646:lores,spanish,lord,lord,lord,lord,[UNTRANSLATED] lord,FALSE,untranslated
14675,fracasar,v,,5023:fracasado|1801:fracasó|1785:fracasar|957:fracasa|795:fracasados|649:fracasaron|528:fracasé|438:fracasan|362:fracasamos|353:fracase|288:fracasará|226:fracasando|224:fracasas|216:fracasaste|165:fracasara|106:fracasen|100:fracasaba|97:fracasaría|91:fracasarás|71:fracasarán|69:fracases|53:fracasaré|51:fracasaremos|39:fracasaban|35:fracasemos|32:fracasaran|20:fracasase|16:fracasaras|15:fracasáis|14:fracasarían|10:fracasaréis|8:fracasasteis|7:fracasaríamos|6:fracasarías|6:fracasábamos|6:fracasáramos|5:fracasare|4:fracasad|4:fracasasen,spanish,fracasar,fracasar,fracasar,fracasar,[UNTRANSLATED] fracasar,FALSE,untranslated
14475,casualidad,n,,14055:casualidad|420:casualidades,spanish,casualidad,casualidad,casualidad,casualidad,[UNTRANSLATED] casualidad,FALSE,untranslated
14322,ee,none,NOUSAGE,14322:ee,spanish,ee,ee,ee,ee,[UNTRANSLATED] ee,FALSE,untranslated
14052,f,interj,,14052:f,spanish,f,f,f,f,[UNTRANSLATED] f,FALSE,untranslated
14036,prostituto,n,,8652:prostituta|4851:prostitutas|419:prostituto|114:prostitutos,spanish,prostituto,prostituto,prostituto,prostituto,[UNTRANSLATED] prostituto,FALSE,untranslated
