lemma,rank,translation,english_definition,original_lemma,pos
futbolista,13189,footballer,noun,futbolista,n
metidos,13190,nosy,verb,meter,v
parásito,13191,parasitic,noun,parásito,n
diseñada,13192,designed,adjective,diseñado,adj
expulsada,13193,expelled,adjective,expulsado,adj
sagrados,13194,holy; sacred,adjective,sagrado,adj
travieso,13195,naughty; mischievous,adjective,travieso,adj
alcoba,13196,bedroom,noun,alcoba,n
aceptando,13197,to accept; to take up; to take up on,verb,aceptar,v
atrasado,13198,belated; tardy; delayed,adjective,atrasado,adj
comunica,13199,to communicate,verb,comunicar,v
dúo,13200,duo,noun,dúo,n
encierra,13201,confinement; enclosure,verb,encerrar,v
evangelio,13202,gospel,noun,evangelio,n
rifles,13203,reducción de personal,noun,rifle,n
supresión,13204,suppression,noun,supresión,n
alérgico,13205,allergic,adjective,alérgico,adj
elevadas,13206,high; elevated,adjective,elevado,adj
mail,13207,email,noun,mail,n
vagabundos,13208,roaming,noun,vagabundo,n
abdominal,13209,abdominal,adjective,abdominal,adj
acompañaré,13210,to accompany; to go with; to join; to tag along,verb,acompañar,v
albergue,13211,hostel,noun,albergue,n
diplomacia,13212,diplomacy,noun,diplomacia,n
provocación,13213,provocation,noun,provocación,n
reelección,13214,reelection,noun,reelección,n
representando,13215,to represent,verb,representar,v
retrasar,13216,delay,verb,retrasar,v
artísticas,13217,artistic,adjective,artístico,adj
camarones,13218,shrimp,noun,camarón,n
cuidadosa,13219,careful,adjective,cuidadoso,adj
quitaré,13220,to get rid of,verb,quitar,v
hindú,13221,Hindu; Hindustani,noun,hindú,n
progresista,13222,progressive; progressist; progressionist,adjective,progresista,adj
ba,13223,okay,verb,ir,v
convicciones,13224,conviction,noun,convicción,n
disponibilidad,13225,availability; availableness,noun,disponibilidad,n
faz,13226,face,noun,faz,n
presentador,13227,presenter,noun,presentador,n
sinceros,13228,sincere,adjective,sincero,adj
triunfos,13229,triumph,noun,triunfo,n
agotador,13230,tiring; exhausting,adjective,agotador,adj
desmayó,13231,swoon; faint,verb,desmayar,v
vizcaya,13232,Biscay,proper noun,Vizcaya,prop
bi,13233,bi,adjective,bi,adj
liquidación,13234,sale; liquidation sale; clearance sale; closeout sale,noun,liquidación,n
asumido,13235,to assume; take on,verb,asumir,v
déjenos,13236,accent,verb,dejar,v
preferida,13237,preferred; of choice,adjective,preferido,adj
cumplí,13238,to fulfil; to fulfill; to meet; to deliver,verb,cumplir,v
desaparecerá,13239,to disappear; to go missing; to vanish; to be gone,verb,desaparecer,v
paranoia,13240,paranoia,noun,paranoia,n
truman,13241,truman,,truman,none
aplican,13242,to use; to apply,verb,aplicar,v
alejarte,13243,to remove to a distance; put farther away; to lead away; to draw away,verb,alejar,v
encendidas,13244,on; activated,adjective,encendido,adj
fijas,13245,fixed,adjective,fijo,adj
parcela,13246,parcel; plot; lot,noun,parcela,n
ventilador,13247,fan; ventilator,noun,ventilador,n
garantizado,13248,guaranteed; secured,adjective,garantizado,adj
marín,13249,surname; meaning marine or sailor,proper noun,Marín,prop
opuesta,13250,opposed to a thing; against,adjective,opuesto,adj
sudar,13251,to sweat,verb,sudar,v
ayudarán,13252,to help,verb,ayudar,v
civilizaciones,13253,civilization,noun,civilización,n
cora,13254,a territorial subdivision in Al-Andalus,noun,cora,n
encarcelado,13255,to imprison; incarcerate,verb,encarcelar,v
guadalajara,13256,Guadalajara,proper noun,Guadalajara,prop
rías,13257,mouth of a river; estuary,noun,ría,n
sostenía,13258,to hold; to hold up; to prop up; to sustain; to underpin,verb,sostener,v
cantó,13259,singing,verb,cantar,v
chupar,13260,to suck,verb,chupar,v
flojo,13261,loose,adjective,flojo,adj
irlandeses,13262,Irish,adjective,irlandés,adj
soplo,13263,a sigh; a puff; a blow,noun,soplo,n
apuñalado,13264,to stab,verb,apuñalar,v
permanecido,13265,to stay; remain; stand,verb,permanecer,v
cascada,13266,waterfall; cascade,noun,cascada,n
cirujanos,13267,surgeon,noun,cirujano,n
graduado,13268,graduated,adjective,graduado,adj
madrastra,13269,stepmother,noun,padrastro,n
ofensa,13270,offense,noun,ofensa,n
opino,13271,to think,verb,opinar,v
arrestos,13272,arrest,noun,arresto,n
copiar,13273,to copy; to crib,verb,copiar,v
grietas,13274,crack; chink; crevice,noun,grieta,n
notario,13275,notary office,noun,notario,n
odiaría,13276,to hate; to loathe,verb,odiar,v
adivino,13277,fortune-teller; seer,noun,adivino,n
arreglará,13278,to fix; to repair; to mend,verb,arreglar,v
comprobé,13279,to check; to check on; to check out; to see; to check to see,verb,comprobar,v
vestirme,13280,to dress; to clothe; to attire,verb,vestir,v
sacarnos,13281,to put out; to get out,verb,sacar,v
urbanas,13282,urban,adjective,urbano,adj
arder,13283,to burn; blaze,verb,arder,v
cautela,13284,caution; care; caginess; chariness,noun,cautela,n
familiarizado,13285,to familiarize,verb,familiarizar,v
acercar,13286,to bring close,verb,acercar,v
atravesado,13287,transversal; cross; oblique,verb,atravesar,v
autónomo,13288,autonomous,adjective,autónomo,adj
bailan,13289,to dance,verb,bailar,v
brasileña,13290,Brazilian,adjective,brasileño,adj
pasarle,13291,to pass; to hand; to slip,verb,pasar,v
aristóteles,13292,Aristotle,proper noun,Aristóteles,prop
huecos,13293,hollow; empty,noun,hueco,n
illinois,13294,Illinois,proper noun,Illinois,prop
militante,13295,militant,noun,militante,n
arce,13296,maple tree,proper noun,Arce,prop
costera,13297,coast,adjective,costero,adj
excesos,13298,excess,noun,exceso,n
mamíferos,13299,mammalian,noun,mamífero,n
medellín,13300,A village in Extremadura; Spain,proper noun,Medellín,prop
restante,13301,remaining,adjective,restante,adj
atrevió,13302,to embolden,verb,atrever,v
mecánicos,13303,mechanical,adjective,mecánico,adj
asustarme,13304,to scare; to frighten; to spook,verb,asustar,v
bastaba,13305,to be enough,verb,bastar,v
complacer,13306,to please,verb,complacer,v
confesado,13307,to confess; to come clean about,verb,confesar,v
operadores,13308,operator,noun,operador,n
temática,13309,subject; topic; theme,adjective,temático,adj
bromea,13310,to joke; to kid,verb,bromear,v
capitanes,13311,captain,noun,capitán,n
colaborador,13312,collaborator,noun,colaborador,n
compara,13313,to compare,verb,comparar,v
ocurrieron,13314,to happen; to occur,verb,ocurrir,v
búfalo,13315,buffalo,noun,búfalo,n
cajones,13316,a large box,noun,cajón,n
extenso,13317,extensive,adjective,extenso,adj
historiadores,13318,historian,noun,historiador,n
perfiles,13319,profile,noun,perfil,n
platón,13320,wash basin,proper noun,Platón,prop
prestarme,13321,to lend,verb,prestar,v
situados,13322,located; situated; sited,adjective,situado,adj
convencerlo,13323,to convince,verb,convencer,v
expresan,13324,to express,verb,expresar,v
luchadores,13325,fighting,noun,luchador,n
mediación,13326,mediation,noun,mediación,n
ruega,13327,plea; appeal,verb,rogar,v
darío,13328,Darius,proper noun,Darío,prop
limitación,13329,limitation,noun,limitación,n
terceros,13330,third,adjective,tercero,adj
abraza,13331,hug; embrace,verb,abrazar,v
deseable,13332,desirable,adjective,deseable,adj
entenderías,13333,to understand; to fathom,verb,entender,v
farol,13334,lantern,noun,farol,n
sustituido,13335,to replace; to take the place of,verb,sustituir,v
trapos,13336,trap,noun,trapo,n
hamlet,13337,Hamlet,proper noun,Hamlet,prop
pensáis,13338,to think; ponder,verb,pensar,v
seducir,13339,to seduce,verb,seducir,v
sombrío,13340,bleak; shady; umbrageous,adjective,sombrío,adj
alicante,13341,Alicante,proper noun,Alicante,prop
cagado,13342,cowardly,adjective,cagado,adj
celebran,13343,to celebrate,verb,celebrar,v
democráticas,13344,democratic,adjective,democrático,adj
enseñas,13345,ensign,verb,enseñar,v
gibraltar,13346,Gibraltar,proper noun,Gibraltar,prop
glucosa,13347,glucose,noun,glucosa,n
salvarle,13348,to save,verb,salvar,v
adicta,13349,addicted,adjective,adicto,adj
barroco,13350,Baroque,adjective,barroco,adj
cantas,13351,song,verb,cantar,v
cds,13352,initialism of w:es:Centro Democrático y Social,proper noun,CDS,prop
edmundo,13353,given name,proper noun,Edmundo,prop
etc.,13354,abbreviation of etcétera,adverb,etc.,adv
gradualmente,13355,gradually,adverb,gradualmente,adv
horca,13356,gallows,noun,horca,n
recibos,13357,receipt,noun,recibo,n
tramposo,13358,deceitful,adjective,tramposo,adj
compartida,13359,shared,adjective,compartido,adj
irritante,13360,irritating,adjective,irritante,adj
protegernos,13361,to protect; to defend,verb,proteger,v
dinosaurio,13362,dinosaur,noun,dinosaurio,n
ligar,13363,to link; join,verb,ligar,v
traducir,13364,to translate,verb,traducir,v
buscarlos,13365,to seek; search for; look for; try to find; to scour,verb,buscar,v
cantina,13366,saloon; speakeasy; bar,noun,cantina,n
cosechas,13367,harvest; crop,noun,cosecha,n
perderla,13368,to lose,verb,perder,v
abstracto,13369,abstract,adjective,abstracto,adj
labial,13370,lip,adjective,labial,adj
prólogo,13371,prologue,noun,prólogo,n
determinante,13372,determiner,noun,determinante,n
devolución,13373,return,noun,devolución,n
enteraste,13374,to inform,verb,enterar,v
interrogatorios,13375,an interrogation,noun,interrogatorio,n
arafat,13376,arafat,,arafat,none
estimación,13377,estimation,noun,estimación,n
guadalupe,13378,Guadeloupe,proper noun,Guadalupe,prop
kentucky,13379,Kentucky,proper noun,Kentucky,prop
aura,13380,aura,noun,aura,n
costaba,13381,to cost,verb,costar,v
entrenadores,13382,trainer,noun,entrenador,n
protectora,13383,female equivalent of protector,adjective,protector,adj
semejanza,13384,likeness; similarity; resemblance; similitude,noun,semejanza,n
vengar,13385,to avenge; get even; take revenge,verb,vengar,v
aa,13386,initialism of Alcohólicos Anónimos,proper noun,AA,prop
domésticos,13387,domestic; household; home,adjective,doméstico,adj
grabada,13388,recorded,adjective,grabado,adj
peregrinos,13389,traveling; wandering; foreign,noun,peregrino,n
preste,13390,priest,verb,prestar,v
techos,13391,ceiling,noun,techo,n
vendieron,13392,to sell,verb,vender,v
violentas,13393,violent,adjective,violento,adj
rendición,13394,surrender,noun,rendición,n
veías,13395,to see; to spot,verb,ver,v
volador,13396,flying,adjective,volador,adj
fiable,13397,reliable; trustworthy; dependable,adjective,fiable,adj
traería,13398,to bring; to fetch,verb,traer,v
cogieron,13399,to take; catch; hold; to get; to seize,verb,coger,v
stein,13400,surname,proper noun,Stein,prop
amplias,13401,broad; large; spacious; wide; expansive,adjective,amplio,adj
combatientes,13402,fighting; fight-,noun,combatiente,n
electrones,13403,electron,noun,electrón,n
importado,13404,foreign,adjective,importado,adj
insolente,13405,insolent; impudent; impertinent,adjective,insolente,adj
quitando,13406,to get rid of,verb,quitar,v
redactor,13407,editor,noun,redactor,n
films,13408,film; motion picture,noun,filme,n
guiar,13409,to guide,verb,guiar,v
ingrediente,13410,ingredient,noun,ingrediente,n
puntería,13411,aim; aiming,noun,puntería,n
carnicería,13412,butchershop,noun,carnicería,n
congelada,13413,frozen,adjective,congelado,adj
enviarme,13414,to send,verb,enviar,v
sangrar,13415,to bleed,verb,sangrar,v
sistemática,13416,systematics,adjective,sistemático,adj
bajaba,13417,to go down; come down,verb,bajar,v
comieron,13418,to eat,verb,comer,v
encendedor,13419,lighter,noun,encendedor,n
especializados,13420,specialized,adjective,especializado,adj
mágicas,13421,magic,adjective,mágico,adj
señalaron,13422,to signal,verb,señalar,v
sordos,13423,deaf,adjective,sordo,adj
deciros,13424,to say; to tell,verb,decir,v
gratuito,13425,free; free of charge; gratis,adjective,gratuito,adj
marfil,13426,ivory,noun,marfil,n
separarse,13427,to separate; to detach (to disunite from a group or mass,verb,separar,v
someterse,13428,to subdue; quell; conquer,verb,someter,v
apestas,13429,to stink,verb,apestar,v
creerías,13430,to believe,verb,creer,v
fracasos,13431,downfall; ruin; calamity; disaster,noun,fracaso,n
mentirosos,13432,having the qualities of a liar,adjective,mentiroso,adj
rampa,13433,ramp,noun,rampa,n
vitalidad,13434,vitality,noun,vitalidad,n
canceló,13435,to cancel; call off,verb,cancelar,v
sugieres,13436,to suggest,verb,sugerir,v
bridge,13437,bridge,,,
evasión,13438,evasion,noun,evasión,n
filósofos,13439,philosopher,noun,filósofo,n
guapos,13440,good-looking,adjective,guapo,adj
mejoría,13441,improvement; amelioration,noun,mejoría,n
mutación,13442,mutation,noun,mutación,n
ojala,13443,a short river in Northern Spain,,ojala,none
terco,13444,stubborn,adjective,terco,adj
terminaría,13445,to finish; to end; to terminate; to be over; to conclude,verb,terminar,v
afectando,13446,to affect; to have an effect on; to influence,verb,afectar,v
deportista,13447,sportsperson,noun,deportista,n
alcaide,13448,commander of the defense of a castle,noun,alcaide,n
lentos,13449,slow,adjective,lento,adj
lucen,13450,to shine,verb,lucir,v
tiranía,13451,tyranny,noun,tiranía,n
tiraron,13452,to throw; to toss,verb,tirar,v
vaga,13453,vague,adjective,vago,adj
carné,13454,identity card,noun,carné,n
congelados,13455,frozen,adjective,congelado,adj
desenlace,13456,outcome,noun,desenlace,n
filial,13457,filial,noun,filial,n
sabores,13458,flavor,noun,sabor,n
alférez,13459,second lieutenant; subaltern; ensign,noun,alférez,n
corruptos,13460,corrupt; corrupted,adjective,corrupto,adj
intermediario,13461,intermediating,noun,intermediario,n
porcentajes,13462,percentage,noun,porcentaje,n
salvarnos,13463,to save,verb,salvar,v
ósea,13464,or,adjective,óseo,adj
bailas,13465,to dance,verb,bailar,v
disimular,13466,to hide; to conceal,verb,disimular,v
evidentes,13467,obvious; evident; apparent; clear,adjective,evidente,adj
oyentes,13468,hearing,noun,oyente,n
alcoholismo,13469,alcoholism,noun,alcoholismo,n
analizado,13470,to analyze,verb,analizar,v
arrestada,13471,arrested,verb,arrestar,v
ecológico,13472,ecological,adjective,ecológico,adj
llenando,13473,to fill something up,verb,llenar,v
deducir,13474,to deduce; to deduct; to infer,verb,deducir,v
entregaron,13475,to deliver; to hand over; to hand off,verb,entregar,v
ofrecemos,13476,to offer; to offer up; to provide,verb,ofrecer,v
rima,13477,rhyme,noun,rima,n
traductor,13478,translating; translator,noun,traductor,n
dinámico,13479,dynamic,adjective,dinámico,adj
emilia,13480,given name,proper noun,Emilia,prop
faraón,13481,pharaoh,noun,faraón,n
juárez,13482,ellipsis of Ciudad Juárez,proper noun,Juárez,prop
organizados,13483,organized,adjective,organizado,adj
quebrado,13484,bankrupt,adjective,quebrado,adj
atletismo,13485,athletics,noun,atletismo,n
dominó,13486,dominoes,verb,dominar,v
lograba,13487,to get; to obtain,verb,lograr,v
carril,13488,lane,noun,carril,n
entretanto,13489,meanwhile,adverb,entretanto,adv
karate,13490,karate,,,
potasio,13491,potassium,noun,potasio,n
alimentaria,13492,alimentary; dietary; food; food-related,adjective,alimentario,adj
vivirás,13493,to live,verb,vivir,v
conocíamos,13494,to know; to be familiar with; to be acquainted with,verb,conocer,v
conseguirme,13495,to achieve; succeed in; reach; accomplish; attain,verb,conseguir,v
contratista,13496,contractor,noun,contratista,n
costoso,13497,costly; expensive,adjective,costoso,adj
ingrid,13498,given name,proper noun,Ingrid,prop
levantan,13499,to lift,verb,levantar,v
rodeos,13500,detour,noun,rodeo,n
avanzados,13501,advanced,adjective,avanzado,adj
jedi,13502,Jedi,noun,Jedi,n
sicilia,13503,Sicily,proper noun,Sicilia,prop
aprovechamiento,13504,use; exploitation,noun,aprovechamiento,n
chiapas,13505,A state; Mexico,proper noun,Chiapas,prop
femeninos,13506,feminine,adjective,femenino,adj
combustibles,13507,combustible,noun,combustible,n
gloriosa,13508,glorious; proud,adjective,glorioso,adj
hablaría,13509,to talk,verb,hablar,v
burlas,13510,mockery; taunt; ridicule,noun,burla,n
haciéndole,13511,to do,verb,hacer,v
máximos,13512,maximum,adjective,máximo,adj
oírla,13513,to hear,verb,oír,v
apoyando,13514,to lean; to rest; to lie or lay,verb,apoyar,v
desarmado,13515,unassembled,adjective,desarmado,adj
disolución,13516,dissolution,noun,disolución,n
enfriar,13517,to cool; chill,verb,enfriar,v
recesión,13518,recession,noun,recesión,n
educar,13519,to educate; instruct,verb,educar,v
impedido,13520,crippled,verb,impedir,v
román,13521,given name,proper noun,Román,prop
condenar,13522,to condemn,verb,condenar,v
elenco,13523,list; directory,noun,elenco,n
previstas,13524,expected; predicted,adjective,previsto,adj
arriesgarse,13525,to venture,verb,arriesgar,v
bautista,13526,autist,proper noun,Bautista,prop
celebramos,13527,to celebrate,verb,celebrar,v
currículum,13528,curriculum vitae,noun,currículum,n
inclina,13529,to tilt,verb,inclinar,v
inundaciones,13530,inundation,noun,inundación,n
marinas,13531,navy,proper noun,Marina,prop
matarás,13532,to kill; slay,verb,matar,v
pijamas,13533,pyjamas,noun,pijama,n
decepcionada,13534,disappointed; gutted; disillusioned,adjective,decepcionado,adj
eligen,13535,to choose,verb,elegir,v
reestructuración,13536,restructuring,noun,reestructuración,n
votado,13537,to vote,verb,votar,v
acudieron,13538,to go; come [+a]; to attend; visit,verb,acudir,v
lenin,13539,lenin,,lenin,none
previstos,13540,expected; predicted,adjective,previsto,adj
candy,13541,candy,,candy,none
casará,13542,to marry; wed someone to,verb,casar,v
espectaculares,13543,spectacular,adjective,espectacular,adj
martí,13544,A town in Matanzas; Cuba,proper noun,Martí,prop
uña,13545,fingernail; toenail; nail,noun,uña,n
acabados,13546,worn-out,verb,acabar,v
enamorarse,13547,to enamor,verb,enamorar,v
forastero,13548,foreign,noun,forastero,n
incorporado,13549,to incorporate,verb,incorporar,v
lino,13550,linen,noun,lino,n
rompo,13551,to break,verb,romper,v
sorbo,13552,sip,noun,sorbo,n
buscará,13553,to seek; search for; look for; try to find; to scour,verb,buscar,v
espesa,13554,dense; thick,adjective,espeso,adj
históricamente,13555,historically,adverb,históricamente,adv
dominación,13556,domination,noun,dominación,n
erótico,13557,erotic,adjective,erótico,adj
goza,13558,joy,verb,gozar,v
acostar,13559,to lay,verb,acostar,v
barça,13560,clipping of Futbol Club Barcelona,proper noun,Barça,prop
buscador,13561,searching; scouting,noun,buscador,n
cucarachas,13562,cockroach,noun,cucaracha,n
diploma,13563,diploma,noun,diploma,n
fertilidad,13564,fertility,noun,fertilidad,n
concejo,13565,council,noun,concejo,n
enanos,13566,dwarf,noun,enano,n
explicaba,13567,to explain,verb,explicar,v
idénticos,13568,identical,adjective,idéntico,adj
teatros,13569,theater,noun,teatro,n
bartolomé,13570,Bartholomew; the apostle,proper noun,Bartolomé,prop
regresaba,13571,to return; go back; come back,verb,regresar,v
violentamente,13572,violently,adverb,violentamente,adv
cayo,13573,key,noun,cayo,n
parecidas,13574,similar,adjective,parecido,adj
silueta,13575,silhouette,noun,silueta,n
casillero,13576,pigeonhole,noun,casillero,n
delantal,13577,apron,noun,delantal,n
formularios,13578,formal,noun,formulario,n
globalización,13579,globalisation; globalization,noun,globalización,n
inmobiliario,13580,real-estate,adjective,inmobiliario,adj
plantación,13581,plantation,noun,plantación,n
apéndice,13582,appendix,noun,apéndice,n
disciplinas,13583,discipline,noun,disciplina,n
rentas,13584,income,noun,renta,n
vómitos,13585,vomit,noun,vómito,n
encargaremos,13586,to entrust,verb,encargar,v
ganarle,13587,to gain,verb,ganar,v
nombró,13588,to name,verb,nombrar,v
asistido,13589,mechanically assisted,verb,asistir,v
indirecta,13590,hint,adjective,indirecto,adj
permitirnos,13591,to allow; permit,verb,permitir,v
vertebral,13592,vertebral,adjective,vertebral,adj
acercarte,13593,to bring close,verb,acercar,v
perdonaré,13594,to pardon; excuse; forgive,verb,perdonar,v
recogí,13595,to collect; to gather; to pick up; to fetch; to retrieve,verb,recoger,v
ascendente,13596,ascending; upward,adjective,ascendente,adj
fascistas,13597,fascist,adjective,fascista,adj
focos,13598,spotlight,noun,foco,n
gladys,13599,given name,proper noun,Gladys,prop
implantes,13600,implant,noun,implante,n
pego,13601,a trick consisting of taking two cards from the pack instead of one,verb,pegar,v
peruana,13602,Peruvian,adjective,peruano,adj
plural,13603,plural; multiple,adjective,plural,adj
sanitarias,13604,sanitary,adjective,sanitario,adj
shelley,13605,shelley,,shelley,none
submarinos,13606,submarine; undersea; subsea; underwater,noun,submarino,n
subvenciones,13607,subsidy; subvention,noun,subvención,n
actrices,13608,actress; actor,noun,actor,n
chispas,13609,funny,noun,chispa,n
combinado,13610,combined,adjective,combinado,adj
gustarle,13611,to taste; to try,verb,gustar,v
márgenes,13612,margin; edge,noun,margen,n
colisión,13613,collision; crash,noun,colisión,n
directas,13614,high gear,adjective,directo,adj
pecadores,13615,sinful,noun,pecador,n
combinar,13616,to combine,verb,combinar,v
comparto,13617,to share,verb,compartir,v
nuera,13618,daughter-in-law,noun,yerno,n
sueltas,13619,release,adjective,suelto,adj
contactado,13620,to contact; to reach out to [+con],verb,contactar,v
prolongado,13621,prolonged; protracted; extended,adjective,prolongado,adj
acampar,13622,to camp,verb,acampar,v
cenicienta,13623,a Cinderella; someone who is mistreated,proper noun,Cenicienta,prop
confidencialidad,13624,confidentiality,noun,confidencialidad,n
donar,13625,to donate,verb,donar,v
inquilinos,13626,tenant; renter; lessee,noun,inquilino,n
inundación,13627,inundation,noun,inundación,n
negociando,13628,to negotiate,verb,negociar,v
sucursal,13629,branch,noun,sucursal,n
aplastado,13630,crushed; squashed; flattened,adjective,aplastado,adj
componer,13631,to compose,verb,componer,v
ocular,13632,ocular,adjective,ocular,adj
publico,13633,to publish,verb,publicar,v
rígido,13634,rigid; stiff,adjective,rígido,adj
silbato,13635,whistle,noun,silbato,n
tirano,13636,like a tyrant,noun,tirano,n
valiosos,13637,valuable,adjective,valioso,adj
caídas,13638,fall,noun,caída,n
entrenados,13639,trained,adjective,entrenado,adj
granjas,13640,farm; grange,noun,granja,n
incorrecta,13641,wrong; incorrect,adjective,incorrecto,adj
obsesionada,13642,obsessed,adjective,obsesionado,adj
susceptible,13643,amenable,adjective,susceptible,adj
confiamos,13644,to reassure,verb,confiar,v
estante,13645,existing; being,noun,estante,n
ofendas,13646,insult,verb,ofender,v
almendras,13647,surname,noun,almendra,n
crecieron,13648,to grow,verb,crecer,v
disminuido,13649,diminished,verb,disminuir,v
extraordinariamente,13650,extraordinarily,adverb,extraordinariamente,adv
hongo,13651,fungus,noun,hongo,n
iniciada,13652,initiate,adjective,iniciado,adj
asustarte,13653,to scare; to frighten; to spook,verb,asustar,v
finos,13654,end,adjective,fino,adj
paralelamente,13655,parallel; in a parallel way,adverb,paralelamente,adv
aprenderás,13656,to learn,verb,aprender,v
bajaré,13657,to go down; come down,verb,bajar,v
planeamos,13658,to plan; to plot,verb,planear,v
animar,13659,to inspire,verb,animar,v
esconderme,13660,to hide,verb,esconder,v
prometedor,13661,promising,adjective,prometedor,adj
ruidoso,13662,loud; noisy,adjective,ruidoso,adj
candidata,13663,candidate,noun,candidato,n
contemporáneos,13664,contemporaneous,adjective,contemporáneo,adj
dense,13665,to give; to give out,verb,dar,v
fascismo,13666,fascism,noun,fascismo,n
hala,13667,come on! let’s go!,verb,halar,v
isabella,13668,Elizabeth,,isabella,none
levantas,13669,to lift,verb,levantar,v
mandando,13670,to send,verb,mandar,v
casaron,13671,to marry; wed someone to,verb,casar,v
escapan,13672,to escape; get out,verb,escapar,v
molestaba,13673,to bother; to disturb; to trouble; to impose; to inconvenience; to burden,verb,molestar,v
picos,13674,the Picos,noun,pico,n
proponen,13675,to nominate,verb,proponer,v
recogeré,13676,to collect; to gather; to pick up; to fetch; to retrieve,verb,recoger,v
sureste,13677,southeast,noun,sureste,n
consultado,13678,to consult,verb,consultar,v
contenedores,13679,containing,noun,contenedor,n
recomendable,13680,recommendable,adjective,recomendable,adj
sobresaliente,13681,outstanding,adjective,sobresaliente,adj
conduces,13682,to drive,verb,conducir,v
medico,13683,to medicate,verb,medicar,v
recaudar,13684,to collect; raise,verb,recaudar,v
alumna,13685,female equivalent of alumno: female student,noun,alumno,n
estacionado,13686,parked,adjective,estacionado,adj
presunta,13687,presumed; assumed,adjective,presunto,adj
transferir,13688,to transfer,verb,transferir,v
juró,13689,ownership,verb,jurar,v
poción,13690,potion,noun,poción,n
preliminares,13691,foreplay,adjective,preliminar,adj
pupilas,13692,pupil of the eye,noun,pupila,n
corras,13693,ring; circle,verb,correr,v
filetes,13694,fillet; steak,noun,filete,n
haciéndome,13695,to do,verb,hacer,v
comestibles,13696,edible; comestible,adjective,comestible,adj
faltado,13697,to remain,verb,faltar,v
inmobiliaria,13698,real-estate agency,adjective,inmobiliario,adj
merlín,13699,Merlin,proper noun,Merlín,prop
néstor,13700,Nestor,proper noun,Néstor,prop
perverso,13701,bad; mean; wicked,adjective,perverso,adj
pistolero,13702,a gunman,noun,pistolero,n
dígamelo,13703,way to say hello on the telephone,verb,decir,v
guinea,13704,guinea,proper noun,Guinea,prop
psc,13705,psc,,psc,none
pulpo,13706,octopus,noun,pulpo,n
sustento,13707,sustenance,noun,sustento,n
boys,13708,a male stripper,noun,boy,n
casta,13709,caste,noun,casta,n
chistoso,13710,jocular; funny,adjective,chistoso,adj
cocinado,13711,cooked,adjective,cocinado,adj
cofre,13712,chest; coffer; trunk,noun,cofre,n
crías,13713,kid; pup; cria,noun,cría,n
equivocación,13714,error; mistake; slip,noun,equivocación,n
aceleración,13715,acceleration,noun,aceleración,n
compartirlo,13716,to share,verb,compartir,v
gallagher,13717,gallagher,,gallagher,none
indiscutible,13718,indisputable,adjective,indiscutible,adj
oklahoma,13719,Oklahoma,proper noun,Oklahoma,prop
paran,13720,to stop; halt,verb,parar,v
refrescos,13721,refreshment,noun,refresco,n
diecinueve,13722,nineteen,numeral,diecinueve,num
miraré,13723,to look at,verb,mirar,v
alejó,13724,aloof,verb,alejar,v
elegimos,13725,to choose,verb,elegir,v
huerta,13726,garden; vegetable garden,proper noun,Huerta,prop
reservar,13727,to reserve; keep; save,verb,reservar,v
casualmente,13728,by chance,adverb,casualmente,adv
combinaciones,13729,combination,noun,combinación,n
hardy,13730,hardy,,hardy,none
juré,13731,to swear,verb,jurar,v
rastreando,13732,to track; pursue,verb,rastrear,v
sacramento,13733,sacrament,proper noun,Sacramento,prop
sorteo,13734,lottery; raffle,noun,sorteo,n
contestador,13735,cheeky,noun,contestador,n
convenciones,13736,convention,noun,convención,n
destructor,13737,destructive,noun,destructor,n
lina,13738,linen,,lina,none
lorca,13739,Lorca,proper noun,Lorca,prop
permanecía,13740,to stay; remain; stand,verb,permanecer,v
preocuparía,13741,to worry; to concern; to trouble; to be worrisome to; to preoccupy,verb,preocupar,v
olvidarme,13742,to forget,verb,olvidar,v
panadería,13743,bakery,noun,panadería,n
abanico,13744,fan,noun,abanico,n
cono,13745,cone,noun,cono,n
guardé,13746,to save,verb,guardar,v
murdoch,13747,murdoch,,murdoch,none
negarlo,13748,to deny,verb,negar,v
podrida,13749,rotten; spoiled; addled,adjective,podrido,adj
poseído,13750,possessed,verb,poseer,v
suicidas,13751,suicidal,adjective,suicida,adj
manejan,13752,to handle,verb,manejar,v
posesiones,13753,possession,noun,posesión,n
previsible,13754,foreseeable,adjective,previsible,adj
rafa,13755,a crack or fissure within armour,proper noun,Rafa,prop
relativos,13756,relative; comparative,adjective,relativo,adj
bendiciones,13757,blessing,noun,bendición,n
escrúpulos,13758,scruple,noun,escrúpulo,n
esperará,13759,to wait; to hold on,verb,esperar,v
estándares,13760,standard,adjective,estándar,adj
cerco,13761,ring,noun,cerco,n
combina,13762,to combine,verb,combinar,v
edna,13763,given name,proper noun,Edna,prop
lucio,13764,bright; luminous,proper noun,Lucio,prop
picar,13765,to itch (to feel itchy,verb,picar,v
alternativo,13766,alternative,adjective,alternativo,adj
encubierta,13767,veiled; hidden,adjective,encubierto,adj
inexplicable,13768,inexplicable; unexplainable,adjective,inexplicable,adj
invernadero,13769,greenhouse,noun,invernadero,n
pilares,13770,to pound,noun,pilar,n
troncos,13771,trunk,noun,tronco,n
acumulado,13772,to accumulate,verb,acumular,v
llano,13773,even; flat; level,noun,llano,n
ordenada,13774,ordinate,adjective,ordenado,adj
