rank,lemma,translation_original,translation_old_latest_pass,translation_new,latest_pass,passes_touched
2189,operaciones,operation,operation,operations,6,6
2193,saca,bag; large sack,bag; large sack,takes out; pulls out,1,1
2198,notas,show-off (plural),notes; grades; you notice,notes; grades,8,1|7|8
2200,descansar,to rest,to rest,to rest; take a break,5,5
2202,cae,you fall,you fall,falls,5,5
2203,cura,cure (feminine singular),cure; priest,priest; cure,7,1|7
2204,actor,defendant,defendant,actor,1,1
2228,aspectos,aspect (masculine plural),aspect (masculine plural),aspects,6,6
2231,mensajes,message (plural),message (plural),messages,1,1
2235,conde,earl; count,earl; count,count,6,6
2239,llamé,I summoned (completed past),I summoned (completed past),I called,1,1
2243,motor,moving,moving,motor; engine,1,1
2244,valiente,brave; fearless; courageous,brave; fearless; courageous,brave,6,6
2245,características,typical; characteristic (feminine plural),typical; characteristic (feminine plural),characteristics,1,1
2262,aguas,be careful!,be careful!,waters; watch out!,1,1
2275,crea,you create,you create,creates,5,5
2277,dudas,doubt (plural),doubt (plural),doubts; you doubt,7,7
2280,amas,lady of the house (plural),lady of the house (plural),you love,8,8
2282,canciones,song,song,songs,6,6
2283,llamando,summoning,summoning,calling,2,2
2286,gustó,he tasted; she tasted; it tasted (completed past),liked; pleased,liked; was pleasing to,2,1|2
2287,finales,you pass on,you pass on,finals; endings,1,1
2288,precios,price (masculine plural),price (masculine plural),prices,6,6
2290,efectivo,real; true,real; true,cash; effective,1,1
2293,llámame,be called,be called,call me,1,1
2297,huesos,bone (masculine plural),bone (masculine plural),bones,6,6
2309,mínimo,minimal,minimum; minimal,minimum,6,2|6
2319,plantas,plant (plural),plant (plural),plants,7,7
2322,exposición,exposition,exposition,exhibition; exposure,8,8
2325,ofrece,you offer,you offer,offers,5,5
2331,elegido,chosenness; selectness,chosenness; selectness,chosen; elected,1,1
2334,tomas,taking; capture; conquest; takeover (plural),taking; capture; conquest; takeover (plural),you take,1,1
2342,campos,country; countryside (masculine plural),country; countryside (masculine plural),fields; countryside,7,7
2343,llevaron,they tooked (completed past),they tooked (completed past),they took (completed past),2,2
2344,pongo,orangutan,orangutan,I put,1,1
2350,coge,you take,you take,takes; grabs,5,5
2351,créeme,I believe,I believe,believe me,1,1
2356,guapo,arrowroot,arrowroot,handsome; good-looking,1,1
2365,chocolate,hashish,hashish,chocolate,1,1
2366,guapa,arrowroot (feminine singular),arrowroot (feminine singular),pretty; attractive,1,1
2370,personajes,personage (plural),personage (plural),characters,11,11
2372,aquellas,those over there,those over there,those,5,5
2374,olvidé,I forgeted (completed past),I forgeted (completed past),I forgot (completed past),2,2
2375,puestos,job; position; employment (masculine plural),job; position; employment (masculine plural),jobs; positions; posts,8,8
2382,ladrón,thievish,thievish,thief,1,1
2391,responde,you answer,you answer,answers; responds,5,5
2392,pierde,you lose,you lose,loses,5,5
2394,representa,you represent,you represent,represents,5,5
2396,doctora,doctor's wife,doctor's wife,doctor; female doctor,1,1
2403,vueltas,go-back (plural),go-back (plural),turns; laps,3,3
2407,término,end; terminus,end; terminus,term,1,1
2412,vehículo,vehicle,vehicle,vehicle; car,3,3
2413,disculpas,excuse (plural),excuse (plural),apologies; excuses,8,8
2427,levanta,you lift,you lift,lifts; raises,5,5
2430,móvil,mobile,mobile,mobile phone; mobile,1,1
2433,mama,mamma; breast,mamma; breast,mom; breast,1,1
2442,solas,one; sole; only; single (feminine plural),one; sole; only; single (feminine plural),alone; on their own (feminine plural),8,8
2448,mio,meow,meow,mine,1,1
2453,normas,rule; norm; standard; touchstone (plural),rule; norm; standard; touchstone (plural),rules; norms; standards,4,4
2455,seria,sober; solemn; serious; earnest (feminine singular),sober; solemn; serious; earnest (feminine singular),serious (feminine singular),3,3
2463,california,californium (feminine singular),californium (feminine singular),California,1,1
2464,generales,overall (plural),overall (plural),generals; general; overall,8,8
2480,rica,fenugreek,rich; tasty; lovely,rich; tasty,5,1|5
2482,lisa,mullet; white mullet,mullet; white mullet,smooth; plain; Lisa,1,1
2484,muchacha,young lady; female equivalent of muchacho: girl (feminine singular),young lady; female equivalent of muchacho: girl (feminine singular),girl; young woman,2,2
2500,anteriores,former; earlier; previous (plural),former; earlier; previous (plural),previous (plural),6,6
2507,libras,you save,you save,pounds,1,1
2511,escribe,you write,you write,writes,5,5
2521,limpia,cleaning; cleansing,cleaning; cleansing,clean,1,1
2524,señoras,sir; lord; mister,sir; lord; mister,ladies,1,1
2538,suponía,I supposed; he supposed; she supposed; it supposed (ongoing habitual/background past),I supposed; he supposed; she supposed; it supposed (ongoing habitual/background past),I supposed; was supposed to,1,1
2556,franco,franc,franc,frank; candid; Franco,1,1
2563,masa,dough,mass; dough,mass; dough; crowd,3,1|3
2577,pete,binky; pacifier,binky; pacifier,pacifier,4,4
2613,ira,ire; anger,ire; anger,anger; wrath,1,1
2623,compras,buying; purchase (plural),shopping; purchases,purchases; shopping; you buy,7,1|7
2637,celular,cellular,cellular,cell phone; mobile phone,2,2
2638,dirige,you direct,you direct,leads; directs,5,5
2640,juega,you play,you play,plays,5,5
2643,aplicación,rollout; deployment; implementation,rollout; deployment; implementation,application,1,1
2647,nerviosa,nerve (feminine singular),nerve (feminine singular),nervous,1,1
2660,siéntese,he seats; she seats; it seats,he seats; she seats; it seats,sit down,5,5
2663,molesto,vexed; annoyed,vexed; annoyed,annoying; bothered,1,1
2671,presupuesto,estimated,estimated,budget,1,1
2681,ocupada,pregnant (feminine singular),pregnant (feminine singular),busy; occupied,1,1
2683,cabrón,billy goat,billy goat,bastard; asshole; jerk,1,1
2684,duerme,you sleep,you sleep,sleeps,5,5
2695,poca,tad; bit,tad; bit,little; not much,8,8
2722,escucho,to i'm all ears awaiting an explanation,to i'm all ears awaiting an explanation,I listen; I hear,1,1
2723,puesta,clutch,clutch,set; put on; setting,1,1
2725,tenia,tapeworm,tapeworm,had,1,1
2750,hermanas,sister; female equivalent of hermano (plural),sister; female equivalent of hermano (plural),sisters,2,2
2761,whisky,cheese,cheese,whisky,1,1
2768,deberá,he will owe; she will owe; it will owe,he will owe; she will owe; it will owe,will have to; must,2,2
2778,menores,small; little (plural),small; little (plural),minors; younger,1,1
2780,asistente,attendee,attendee,assistant,1,1
2793,sorprende,you surprise,you surprise,surprises,5,5
2801,recibe,you receive,you receive,receives,5,5
2802,parada,station (feminine singular),station (feminine singular),stop,1,1
2807,olvida,you forget,you forget,forgets,5,5
2808,directa,high gear,high gear,direct,1,1
2815,ruego,plea; appeal,plea; request; I beg,plea; request,3,1|3
2823,quedas,quiet; still (feminine plural),quiet; still (feminine plural),you stay,1,1
2837,significado,significant,significant,meaning,1,1
2847,indica,you indicate,you indicate,indicates,5,5
2859,ja,ha; representation of laughter,ha; representation of laughter,ha; haha,3,3
2866,caras,dear (feminine plural),dear (feminine plural),faces; expensive (feminine plural),1,1
2875,corresponde,you correspond to,you correspond to,corresponds to,5,5
2885,cabe,you fit,you fit,fits,5,5
2889,dicha,luck,luck,said; bliss; happiness,1,1
2898,esperas,wait (plural),wait (plural),you wait; you hope,7,7
2921,marcas,brand (plural),brand (plural),brands; marks,7,7
2932,ramón,breadnut,breadnut,Ramón,1,1
2942,considerado,considerate,considerate,considered,1,1
2943,cobarde,craven; gutless; cowardly; spineless,craven; gutless; cowardly; spineless,cowardly; coward,3,3
2949,afirma,you state,you state,states; affirms,5,5
2976,viajes,voyage (plural),voyage (plural),trips; journeys,7,7
2987,bruja,witch; sorceress,witch; sorceress,witch,6,6
2991,habitual,beans,usual; habitual,usual; typical; habitual,5,1|5
2992,ciego,blind person,blind person,blind,1,1
3000,médica,doctor (feminine singular),doctor (feminine singular),doctor; female doctor,1,1
3004,muestras,sample; sampling (plural),sample; sampling (plural),samples; displays; you show,7,7
3011,ganador,winning,winning,winner,1,1
3019,gustas,you taste,you taste,you like; are pleasing to,2,2
3031,habitantes,inhabiting; said of something that inhabits (plural),inhabiting; said of something that inhabits (plural),inhabitants,1,1
3034,miras,target (plural),target (plural),looks; aims; intentions,1,1
3037,pretende,you intend,you intend,intends; claims,1,1
3041,respira,you breathe,you breathe,breathes,5,5
3043,llamamos,we summoned,we summoned,call; called,2,2
3058,petición,request,request,request; petition,3,3
3059,actualidad,present,present day; current times,present day; current affairs,7,1|7
3077,plena,a plain; plural plains,a plain; plural plains,full,1,1
3085,cheque,checkmark,checkmark,cheque; check,1,1
3090,conduce,you drive,you drive,drives,5,5
3092,jornada,day,day,workday; day; shift,7,7
3101,cometido,mission,mission,mistake; task; offense,1,1
3120,entrado,into; after the start of,into; after the start of,entered; gone in,1,1
3130,odia,you hate,you hate,hates,5,5
3147,recuperación,retrieval,retrieval,recovery,2,2
3150,mentiroso,having the qualities of a liar,having the qualities of a liar,liar,1,1
3157,pleno,plenary or joint session,plenary or joint session,full; plenary,1,1
3160,actriz,actor; actress,actor; actress,actress,8,8
3161,mires,resident (plural),resident (plural),look (subjunctive); watch,1,1
3169,césar,caesar,caesar,César,1,1
3170,pánico,pertaining to the god Pan,pertaining to the god Pan,panic,1,1
3184,hijas,daughter; female equivalent of hijo (plural),daughter; female equivalent of hijo (plural),daughters,2,2
3198,señala,you signal,you signal,points out; signals,5,5
3199,gustado,tasted,tasted,liked,1,1
3202,ventas,sale (plural),sale (plural),sales,7,7
3207,asqueroso,gross; repulsive; disgusting; distasteful,gross; repulsive; disgusting; distasteful,gross; disgusting,3,3
3210,aléjate,estrange you,estrange you,go away; get away,1,1
3221,echa,you throw,you throw,throws; puts,5,5
3227,quita,debt relief,debt relief,removes; takes away,1,1
3230,consiste,you consist of,you consist of,consists of,5,5
3231,global,aggregate,aggregate,global; overall,1,1
3234,llamarme,to be called,to be called,to call me,2,2
3237,visitas,visit (plural),visit (plural),visits; you visit,7,7
3251,coma,comma,comma,comma; coma,1,1
3252,individuo,indivisible,indivisible,individual; person,1,1
3269,comprado,buyed,buyed,bought,1,1
3276,bombas,having a mild temperature (feminine plural),having a mild temperature (feminine plural),bombs,1,1
3278,tareas,task (plural),task (plural),tasks; homework,7,7
3281,rumores,you rumor,you rumor,rumours,1,1
3286,cia,you back water,you back water,CIA,1,1
3299,miss,beauty queen,beauty queen,Miss,1,1
3307,maestra,master (feminine singular),teacher (feminine),teacher; schoolteacher,11,7|11
3313,santos,holy; godly (masculine plural),holy; godly (masculine plural),saints; holy,2,2
3325,bases,you base on,you base on,bases,1,1
3328,nuclear,to join up,to join up,nuclear,1,1
3329,medias,pantyhose (plural),pantyhose (plural),stockings; socks; averages,7,7
3330,gerente,manager,manager,manager; administrator,11,11
3342,cuida,you look after,you look after,looks after; cares for,5,5
3343,fantasmas,ghost; wraith; phantom (plural),ghost; wraith; phantom (plural),ghosts; phantoms,3,3
3352,utiliza,you use,you use,uses,5,5
3358,muera,cooking salt,cooking salt,die (subjunctive),1,1
3363,profesores,professor (plural),professor (plural),teachers; professors,11,11
3369,áfrica,African (feminine singular),African (feminine singular),Africa,1,1
3373,prometido,engaged,engaged,fiancé; promised,3,3
3389,suéltame,I release,I release,let me go,1,1
3394,canta,song; singing,song; singing,sings; sing,1,1
3399,peores,comparative degree of malo: worse (plural),comparative degree of malo: worse (plural),worse,2,2
3412,género,kind,kind,genre; gender; kind,1,1
3413,sufrido,painstaking,painstaking,suffered,1,1
3414,posiciones,position,position,positions,8,8
3425,cantante,singing; who sings,singing; who sings,singer,1,1
3430,zorra,slut; prostitute (feminine singular),slut; prostitute (feminine singular),fox; bitch; slut,5,5
3435,llamaste,you summoned (completed past),you summoned (completed past),called,2,2
3439,paro,stagnation; freeze up,stagnation; freeze up,strike; unemployment; stop,1,1
3443,manda,vow,vow,sends; orders; rules,1,1
3452,aguanta,that's crazy,that's crazy,hold on; endure,1,1
3455,policial,police force; Related to the police,police force; Related to the police,police; police-related,1,1
3458,desagradable,unpleasant; distasteful; off-putting; disagreeable,unpleasant; distasteful; off-putting; disagreeable,unpleasant; disagreeable,3,3
3459,asistencia,audience,audience,assistance; attendance,1,1
3467,vehículos,vehicle (masculine plural),vehicle (masculine plural),vehicles,3,3
3468,metas,goal; target (plural),goal; target (plural),goals; targets,1,1
3469,acepta,you accept,you accept,accepts,5,5
3472,abra,inlet; small bay,inlet; small bay,open (subjunctive),1,1
3484,jo,stop; whoa,stop; whoa,damn; wow,1,1
3490,bolas,bowling pin (feminine plural),bowling pin (feminine plural),balls,1,1
3507,mato,bushes,bushes,I kill,1,1
3508,hacienda,ranch,ranch,estate; farm; treasury,2,2
3519,afecta,prone; affected (feminine singular),prone; affected (feminine singular),affects,1,1
3520,eléctrica,electric company,electric company,electric; electrical,1,1
3522,emocionante,touching,touching,exciting,1,1
3523,vengas,you avenge,you avenge,come (subjunctive),1,1
3528,posee,you possess,you possess,possesses; has,5,5
3542,esposas,handcuffs (plural),handcuffs (plural),wives; handcuffs,1,1
3545,cumplido,polite,polite,fulfilled; compliment,1,1
3550,buscamos,we seeked,we seeked,we look for; we search for,1,1
3555,mate,matte,matte,kills; kill (subjunctive/formal imperative),7,7
3565,dígale,he says; she says; it says,he says; she says; it says,tell him/her; say to him/her,1,1
3566,factor,a truth; a trufax; an opinion considered a true fact,a truth; a trufax; an opinion considered a true fact,factor,1,1
3571,miro,portia tree,portia tree,I look,1,1
3573,dispara,you shoot,you shoot,shoots; shoot,1,1
3583,hagámoslo,I do,I do,let's do it,1,1
3588,ayudante,auxiliary,auxiliary,assistant; helper,1,1
3589,vegas,meadow (plural),plains; meadows,meadows; fertile plains,7,2|7
3590,adivina,seer; fortune-teller (feminine singular),seer; fortune-teller (feminine singular),guess,1,1
3591,ladrones,thievish,thievish,thieves,1,1
3592,ciudadano,living in a city,living in a city,citizen,8,8
3596,tetas,silly; immature; childishly foolish (feminine plural),silly; immature; childishly foolish (feminine plural),tits; breasts,1,1
3597,contesta,reply; answer,reply; answer,answers; answer,1,1
3610,asegura,you secure,you secure,assures; ensures,1,1
3623,amén,so be it),so be it),amen,1,1
3625,aprecio,appreciation,appreciation,appreciation; esteem; I appreciate,8,8
3626,criminales,you incriminate,you incriminate,criminals,1,1
3627,canto,singing,singing,song; singing; I sing,1,1
3634,jefes,parents (plural),parents (plural),bosses; chiefs,1,1
3640,guerrero,warlike; bellicose,warlike; bellicose,warrior,1,1
3641,sierra,saw,saw,mountain range; saw,1,1
3647,ayudas,aid; help (plural),aid; help (plural),help; aid; you help,7,7
3651,salvado,bran,bran,saved; bran,1,1
3663,discúlpeme,I excuse,I excuse,excuse me,1,1
3677,buscaba,I seeked; he seeked; she seeked; it seeked (ongoing habitual/background past),I seeked; he seeked; she seeked; it seeked (ongoing habitual/background past),was looking for,1,1
3685,ma,mum; mom,mum; mom,mom,1,1
3693,añadió,he augmented; she augmented; it augmented (completed past),he augmented; she augmented; it augmented (completed past),added,1,1
3701,tocado,off,off,touched; headdress,1,1
3706,citas,date (plural),date (plural),dates; appointments; citations,7,7
3720,buscas,search (plural),search (plural),you look for,1,1
3721,escolar,to go through a narrow place,to go through a narrow place,school; school-related,1,1
3726,adonde,whither; to where,whither; to where,where; to where,3,3
3732,sabia,learned (feminine singular),learned (feminine singular),wise (feminine singular); knew (without accent: sabía),1,1
3735,guau,woof; bow wow,woof; bow wow,wow; woof,5,5
3743,cuarta,synonym of disciplina,synonym of disciplina,fourth,2,2
3744,calla,you calm,you calm,shut up; be quiet,1,1
3755,pare,stop; an act of stopping,stop; an act of stopping,stop (formal imperative/subjunctive),1,1
3761,debiste,you owed (completed past),you owed (completed past),had to; owed,2,2
3762,apesta,you stink,you stink,stinks,1,1
3770,cuestiones,issue; matter; question,issue; matter; question,issues; matters; questions,3,3
3772,telefónica,telephonic; pertaining to telephones (feminine singular),telephonic; pertaining to telephones (feminine singular),telephone; phone-related (feminine singular),6,6
3773,berlín,donut,donut,Berlin,1,1
3788,olvidó,he forgeted; she forgeted; it forgeted (completed past),he forgeted; she forgeted; it forgeted (completed past),forgot,1,1
3815,portavoz,spokesman; spokeswoman; spokesperson,spokesman; spokeswoman; spokesperson,spokesperson,11,11
3816,vende,he bandages; she bandages; it bandages,he bandages; she bandages; it bandages,sells,1,1
3822,maestros,master (masculine plural),master (masculine plural),teachers; masters,7,7
3824,oficio,profession; occupation,profession; occupation,trade; job; profession,7,7
3832,implica,you imply,you imply,implies,5,5
3834,rocas,old (feminine plural),old (feminine plural),rocks,1,1
3839,empresarios,businessman (masculine plural),businessman (masculine plural),businessmen; entrepreneurs,11,11
3844,agenda,planner,planner,diary; planner; agenda,2,2
3847,norma,rule; norm; standard; touchstone,rule; norm; standard; touchstone,rule; norm; standard,4,4
3848,pinta,look; appearance,look; appearance,look; appearance; paints,1,1
3852,cortes,cut (plural),cut (plural),courts; cuts,7,7
3859,parejas,level (feminine plural),level (feminine plural),couples; pairs,1,1
3861,valencia,valency; valence,valency; valence,Valencia,1,1
3874,bebidas,drunk (feminine plural),drunk (feminine plural),drinks; beverages,1,1
3876,mexicano,compare mexiquense),compare mexiquense),Mexican,1,1
3883,buscado,seeked,searched for,sought; searched for,5,1|5
3905,peligrosa,perilous; dangerous (feminine singular),perilous; dangerous (feminine singular),dangerous (feminine singular),3,3
3931,diana,bullseye,bullseye,target; bullseye,4,4
3935,pausa,rest; break; pause,pause,pause; break,5,1|5
3939,solicitud,request; solicitation,request; solicitation,request; application,3,3
3950,recurso,writ,writ,resource,1,1
3952,tasa,rate,rate,rate; fee,7,7
3958,llamaron,they summoned (completed past),they summoned (completed past),called,2,2
3968,penal,a kind of prison,a kind of prison,criminal; penal,1,1
3971,tiendas,tent (plural),tent (plural),shops,1,1
3980,retiro,retirement,retirement,retirement; retreat,1,1
4000,chef,head cook,head cook,chef,7,7
4001,dispuesta,game; down; ready; willing (feminine singular),game; down; ready; willing (feminine singular),willing; ready,1,1
4006,discos,club; discotheque (masculine plural),club; discotheque (masculine plural),discs; records,3,3
4013,bolsas,dickweed; shithead; dickhead (plural),dickweed; shithead; dickhead (plural),bags,1,1
4016,cuéntame,I count,I count,tell me,1,1
4018,considerando,recital,recital,considering,1,1
4040,dispositivo,regulatory; dispositive,regulatory; dispositive,device,1,1
4046,rango,rank,rank,rank; range,7,7
4048,comando,commando,commando,command unit; commando,7,7
4062,horario,hourly,hourly,schedule,1,1
4065,disparado,shooted,shooted,shot; fired,1,1
4071,marta,marten,marten,Marta,1,1
4073,rosas,hairless (plural),hairless (plural),roses; pink (feminine plural),4,4
4083,resuelto,determined,determined,resolved; settled,1,1
4086,profesora,professor,professor,teacher; professor,11,11
4106,repito,I repeat ),I repeat ),I repeat,1,1
4116,anual,yearly; annual,annual,yearly; annual,7,6|7
4126,vendido,sellout,sellout,sold,1,1
4145,cojones,fuck!; shit!; damn!; damn it!,fuck!; shit!; damn!; damn it!,balls; guts; fucking hell,1,1
4158,sida,acquired immune deficiency syndrome,acquired immune deficiency syndrome,AIDS,2,2
4159,tirado,easy-peasy,easy-peasy,thrown; lying around,1,1
4200,apuestas,handsome; good-looking (feminine plural),handsome; good-looking (feminine plural),bets,1,1
4201,directora,head,head,director; manager,2,2
4211,grasa,nutritional fat,nutritional fat,fat; grease,1,1
4214,as,an ace,an ace,ace; as,1,1
4237,luce,you shine,you shine,shines; looks,1,1
4248,importe,cost; price,cost; price,amount,1,1
4253,man,guy; dude,guy; dude,man,1,1
4299,repetir,to repeat ),to repeat ),to repeat,4,4
4301,llamarte,to be called,to be called,to call you,2,2
4372,tomaron,they tooked (completed past),they took (completed past),they took; they drank,5,2|5
4420,tomaste,you tooked (completed past),you took (completed past),you took; you drank,5,2|5
4446,llevé,I tooked (completed past),I took (completed past),I took; I carried,5,2|5
4461,rival,adverse,adverse,rival; opponent,8,8
4471,copas,glass; stemmed glass; goblet or its content (plural),glass; stemmed glass; goblet or its content (plural),glasses; cups,3,3
4493,argentino,Argentine; Argentinian,Argentine; Argentinian,Argentinian; Argentine,5,5
4500,llamarlo,to summon it (masculine),to summon it (masculine),to call it (masculine),2,2
4518,deberán,they will owe,they will owe,will have to,2,2
4598,accidentes,accident (plural),accident (plural),accidents,3,3
4620,descansa,you rest,you rest,rest; take a break; get some sleep,5,5
4659,mínima,minimal (feminine singular),minimal (feminine singular),minimum; minimal (feminine singular),6,6
4667,debían,they owed (ongoing habitual/background past),they owed (ongoing habitual/background past),had to; were supposed to,2,2
4684,avanzar,to advance happen at an earlier time or date),to advance happen at an earlier time or date),to advance; to move forward,4,4
4719,llamados,call (masculine plural),call (masculine plural),called; named,2,2
4727,cargar,to load ),to load ),to load; to carry,4,4
4731,redacción,essay; composition,essay; composition,writing; essay; editorial office,8,8
4808,cogió,he tooked; she tooked; it tooked (completed past),he took; she took; it took (completed past),took; grabbed,5,2|5
4816,deberes,to owe (plural),to owe (plural),homework; duties,2,2
4868,gustar,to taste,to taste,to like; to be pleasing,2,2
4899,nelson,synonym of nel,synonym of nel,Nelson,3,3
4925,parientes,relative; relation (plural),relative; relation (plural),relatives,8,8
4933,empresario,businessman,businessman,businessman; entrepreneur,11,11
4935,brujas,witch; sorceress (plural),witch; sorceress (plural),witches,6,6
4944,antiguas,old; former; quondam; erstwhile (feminine plural),old; ancient; former,old; ancient,5,2|5
4950,escritores,writer (plural),writer (plural),writers,2,2
4952,canales,flume; waterway (plural),flume; waterway (plural),channels,6,6
4973,mexicana,compare mexiquense) (feminine singular),compare mexiquense) (feminine singular),Mexican (feminine singular),3,3
5083,privadas,privy; private (feminine plural),privy; private (feminine plural),private (feminine plural),2,2
5121,privados,privy; private (masculine plural),privy; private (masculine plural),private (masculine plural),2,2
5169,mexicanos,compare mexiquense) (masculine plural),compare mexiquense) (masculine plural),Mexican (masculine plural),3,3
5198,vientos,synonym of bien,synonym of bien,winds,3,3
5272,llevaban,they tooked (ongoing habitual/background past),they tooked (ongoing habitual/background past),they took (ongoing habitual/background past),2,2
5315,gustará,he will taste; she will taste; it will taste,he will taste; she will taste; it will taste,will like; will be pleasing to,2,2
5385,sobrina,female equivalent of sobrino: niece (feminine singular),female equivalent of sobrino: niece (feminine singular),niece,2,2
5630,olvidaste,you forgeted (completed past),you forgeted (completed past),you forgot (completed past),2,2
5810,llamaban,they summoned (ongoing habitual/background past),they summoned (ongoing habitual/background past),called; used to call,2,2
5899,tomaba,I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I tooked; he tooked; she tooked; it tooked (ongoing habitual/background past),I took; he took; she took; it took (ongoing habitual/background past),2,2
6006,concejal,councilor; councilman; member of a council,councilor; councilman; member of a council,councilor,11,11
6120,llamarla,to summon it (feminine),to summon it (feminine),to call her/it,2,2
6134,pegó,he sticked; she sticked; it sticked (completed past),he sticked; she sticked; it sticked (completed past),he hit; she hit; it hit; he stuck; she stuck; it stuck (completed past),10,10
6154,dueña,female equivalent of dueño: owner (feminine singular),female equivalent of dueño: owner (feminine singular),owner (feminine singular),2,2
6173,pega,Eurasian magpie,Eurasian magpie,drawback; catch,4,4
6176,cogí,I tooked (completed past),I tooked (completed past),I took (completed past),2,2
6273,llamaría,I would summon,I would summon,would call,2,2
6331,muchachas,young lady; female equivalent of muchacho: girl (plural),young lady; female equivalent of muchacho: girl (plural),girls; young women,2,2
6414,debieron,they owed (completed past),they owed (completed past),had to,2,2
6443,cayeron,they felled (completed past),they felled (completed past),they fell (completed past),2,2
6528,buscó,he seeked; she seeked; it seeked (completed past),he seeked; she seeked; it seeked (completed past),he looked for; she looked for; it looked for (completed past),2,2
6668,agrega,you add,you add,adds,2,2
6860,agustín,synonym of a gusto,synonym of a gusto,Agustín,3,3
6973,descarga,unloading,unloading,download; unloading,2,2
6992,llevaste,you tooked (completed past),you tooked (completed past),you took (completed past),2,2
6996,cabrones,billy goat,billy goat,bastards; assholes,2,2
7065,andas,a bier or small platform (plural),a bier or small platform (plural),you walk; you're going,4,4
7104,ingenieros,engineer (masculine plural),engineer (masculine plural),engineers,11,11
7150,deportiva,synonym of zapatilla de deporte,synonym of zapatilla de deporte,sports; athletic (feminine singular),3,3
7202,gustaban,they tasted (ongoing habitual/background past),they tasted (ongoing habitual/background past),liked; used to like; were pleasing to,2,2
7224,debías,you owed (ongoing habitual/background past),you owed (ongoing habitual/background past),had to; were supposed to,2,2
7269,llamará,he will summon; she will summon; it will summon,he will summon; she will summon; it will summon,will call,2,2
7274,caía,I felled; he felled; she felled; it felled (ongoing habitual/background past),I felled; he felled; she felled; it felled (ongoing habitual/background past),I fell; he fell; she fell; it fell (ongoing habitual/background past),2,2
7357,mueras,cooking salt (plural),cooking salt (plural),you die; he dies; she dies; it dies (present subjunctive),4,4
7415,quienquiera,whoever; whomever,whoever; whomever,whoever; anyone who,3,3
7484,compramos,we buyed,we buyed,we bought,2,2
7600,llamaremos,we will summon,we will summon,will call,2,2
7622,gustos,taste (masculine plural),taste (masculine plural),tastes; preferences,2,2
7704,jornadas,day (plural),day (plural),days; workdays,10,10
7769,cargando,loading ),loading ),loading; carrying,4,4
7839,niñita,girl; female equivalent of niño,girl; female equivalent of niño,little girl,2,2
7890,debíamos,we owed (ongoing habitual/background past),we owed (ongoing habitual/background past),had to,2,2
7949,chi,synonym of sí,synonym of sí,yes,3,3
7998,vendedores,salesman (plural),salesman (plural),salesmen; sellers; vendors (masculine plural),10,10
8086,tenias,tapeworm (plural),tapeworm (plural),you had (ongoing habitual/background past),3,3
8101,debéis,you owe (vosotros present indicative),you owe (vosotros present indicative),you must; you should,2,2
8110,congresista,congressperson,congressperson,member of congress; congressperson,11,11
8123,denominado,named; called; entitled; denominated,named; called; entitled; denominated,named; called,4,4
8529,llamarle,to summon to him or her,to summon to him or her,to call him/her,2,2
8547,pintores,painter (plural),painter (plural),painters,11,11
8717,atletas,athlete (plural),athlete (plural),athletes,11,11
9159,olvidaba,I forgeted; he forgeted; she forgeted; it forgeted (ongoing habitual/background past),I forgeted; he forgeted; she forgeted; it forgeted (ongoing habitual/background past),I forgot; he forgot; she forgot; it forgot (ongoing habitual/background past),2,2
9350,convocado,called,called,summoned; called together,4,4
9406,buscaban,they seeked (ongoing habitual/background past),they seeked (ongoing habitual/background past),they looked for (ongoing habitual/background past),2,2
9418,abuelita,grandmother; female equivalent of abuelo,grandmother; female equivalent of abuelo,grandma; grandmother,2,2
9511,llámalo,summon it (masculine),summon it (masculine),call him/it,2,2
9753,placeres,to like (plural),to like (plural),pleasures,2,2
9874,deberás,you will owe,you will owe,you will have to,2,2
9895,olvidamos,we forgeted,we forgeted,we forgot,2,2
10148,denominada,named; called; entitled; denominated (feminine singular),named; called; entitled; denominated (feminine singular),named; called (feminine singular),4,4
10495,bocas,synonym of bocazas (plural),synonym of bocazas (plural),mouths,3,3
10546,pos,synonym of pues,synonym of pues,well; so,2,2
10630,concejales,councilor; councilman; member of a council (plural),councilor; councilman; member of a council (plural),councilors,11,11
10654,ademas,synonym of ademe (plural),synonym of ademe (plural),also; besides,3,3
10685,cogiste,you tooked (completed past),you tooked (completed past),you took (completed past),2,2
10690,acabada,cum; spunk; spooge; cumshot,cum; spunk; spooge; cumshot,finished; done for; exhausted (feminine singular),10,10
10692,repita,he repeats ); she repeats ); it repeats ),he repeats ); she repeats ); it repeats ),I repeat; you repeat; he repeats; she repeats; it repeats; you repeat (formal) (present subjunctive),4,4
10727,debida,owed (feminine singular),owed (feminine singular),due; owed (feminine singular),2,2
11021,defendido,defendant,defendant,defended,11,11
11126,extremidades,end; extremity ) (plural),end; extremity ) (plural),extremities; limbs,4,4
11161,repetirlo,to repeat ) it (masculine),to repeat ) it (masculine),to repeat it (masculine),4,4
11230,amazonas,horsewoman (plural),horsewoman (plural),Amazons; female warriors; female riders (plural),10,10
11405,ratos,bit; a while (masculine plural),bit; a while (masculine plural),whiles; little whiles,4,4
11529,deportistas,sportsperson (plural),athletes; sportspeople (plural),athletes; sportspersons,11,10|11
