rank,lemma,original_sentence,final_sentence,original_english_sentence
13691,intervenido,Señor presidente deseo manifestar mi desacuerdo con tres de los diputados que han intervenido.,Diputados que han intervenido.,"Mr President, I would like to express my disagreement with three of the Members who have spoken."
13701,pactos,Una cosa que nos une a todos ellos en sus pactos de sangre.,Sus pactos de sangre.,One thing that unites us all in their blood covenants.
13711,determinan,La altura reguladora máxima y el número máximo de plantas se determinan en el plano de volumetría planta núm.,Plantas se determinan en el plano.,The maximum regulatory height and the maximum number of plants are determined in the plan of volumetry plant No.
13722,prestan,Los centros de información prestan cada vez más apoyo al desarrollo de los medios de comunicación.,Información prestan cada vez más apoyo.,The information centres are increasingly supporting media development.
13725,registran,Desde las estadísticas policiales registran el número de delincuentes juveniles dentro del apartado autores identificados.,Estadísticas policiales registran el número.,From the police statistics they record the number of juvenile offenders within the section identified perpetrators.
13739,teología,Entre y trabajó como profesor adjunto de teología en la universidad de g ttingen.,Trabajó como profesor adjunto de teología en la universidad de g ttingen.,He entered and worked as an assistant professor of theology at the university of g ttingen.
13765,pasivo,En serio es alguna forma pasivo agresiva de arruinar nuestra fiesta de compromiso.,Pasivo agresiva de arruinar nuestra fiesta.,It's really some passive aggressive way to ruin our engagement party.
13776,aconsejable,Yo no creo que sea aconsejable en este momento pero se lo haré saber.,Yo no creo que sea aconsejable en este momento.,"I don't think it's advisable right now, but I'll let you know."
13778,diplomáticas,Más de cien estados tienen representaciones diplomáticas ante la unión europea en bruselas.,Representaciones diplomáticas ante la unión europea.,More than a hundred states have diplomatic representations to the European Union in Brussels.
13782,dietas,Me sorprende que en mis años clínicos nadie estaba interesado en las dietas de los pacientes.,Las dietas de los pacientes.,I'm surprised that in my clinical years no one was interested in patients' diets.
13811,moderada,La mayoría de las reacciones adversas fueron de intensidad de leve a moderada.,Leve a moderada.,Most adverse reactions were mild to moderate in intensity.
13821,simbólica,Es un gesto muy positivo una medida importante que es más que simbólica.,Es un gesto positivo una medida importante que es más que simbólica.,"It is a very positive gesture, an important measure that is more than symbolic."
13824,indicando,Astraham y looseiy compartían ciertos síntomas del sdv indicando que ia proximidad a sitios o víctimas podría estar relacionada.,Looseiy compartían ciertos síntomas del sdv indicando que ia proximidad a sitios.,Astraham and looseiy shared certain symptoms of sdv indicating that proximity to sites or victims might be related.
13825,oficios,En el párrafo del informe sobre su misión de buenos oficios el secretario general dijo.,Buenos oficios el secretario general dijo.,"In the paragraph of the report on his mission of good offices, the Secretary-General said."
13829,impactante,Lo que es impactante para los de afuera parece normal para los de adentro.,Es impactante para los.,What's shocking to outsiders seems normal to insiders.
13837,variadas,Ahora bien las cuestiones de seguridad y salud en el trabajo sst son complejas y variadas.,Complejas y variadas.,"However, the issues of occupational safety and health are complex and varied."
13845,proveniente,El vuelo de royal toronto proveniente de londres acaba de llegar por la puerta.,Royal toronto proveniente de londres acaba.,The royal toronto flight from London just came through the door.
13861,típicos,Bueno este es uno de los lugares más típicos de la ciudad para enrollarse.,Lugares más típicos de la ciudad.,Well this is one of the most typical places in town to roll.
13863,nombra,Por qué siempre que se juntan mexicanos uno de ellos se nombra general.,Ellos se nombra general.,Why whenever Mexicans come together one of them is named general.
13877,oponerse,La comisión decidió el de diciembre no oponerse a la introducción de dicho programa.,Diciembre no oponerse a la introducción.,The committee decided on December not to oppose the introduction of the programme.
13901,detallada,El señor presidente doy las gracias a la comisaria por una respuesta tan detallada.,Respuesta tan detallada.,"Mr President, I thank the Commissioner for such a detailed reply."
13905,origina,Señales de una lucha violenta que se origina en la sala de estar.,Se origina en la sala de estar.,Signs of a violent struggle that originates in the living room.
13952,cobrado,Mis escuadrones ya se han cobrado miles de almas inocentes en la tierra.,Han cobrado miles de almas inocentes.,My squadrons have already claimed thousands of innocent souls on earth.
13976,examinado,El programa de acción nacional examinado en el presente informe carece manifiestamente de esa perspectiva.,Acción nacional examinado.,The national programme of action discussed in the present report clearly lacks that perspective.
13990,enemigas,No hay pruebas de que el plan de batalla esté en manos enemigas.,En manos enemigas.,There is no evidence that the battle plan is in enemy hands.
14009,electorado,Casi la mitad del electorado se pronunció en contra de la entrada en la unión.,Del electorado se pronunció en contra.,Almost half of the electorate spoke out against joining the union.
14031,informan,Algunos países informan que no disponen de acceso a las instalaciones apropiadas para desechos peligrosos.,Algunos países informan que no disponen.,Some countries report that they do not have access to appropriate hazardous waste facilities.
14039,mejoró,Se mejoró el entorno político y jurídico para la protección de la infancia.,Se mejoró el entorno político.,The political and legal environment for child protection was improved.
14063,indonesia,Resolución del parlamento europeo sobre la situación de los derechos humanos en indonesia.,Humanos en indonesia.,Parliament resolution on the human rights situation in Indonesia.
14075,avanzó,El vehículo de gemayel avanzó un poco cuesta arriba con declive leve y fue bloqueado por otro vehículo.,El vehículo de gemayel avanzó un poco cuesta arriba con declive leve.,The gemayel vehicle advanced slightly uphill with slight decline and was blocked by another vehicle.
14124,perseguía,Por qué no hay ningún registro de lo que sea que lo perseguía.,Sea que lo perseguía.,Why there's no record of anything chasing him.
14146,procesados,Los bancos pueden ser procesados por los federales por aceptar dinero ilegal de la droga.,Pueden ser procesados por los federales.,Banks can be prosecuted by the feds for accepting illegal drug money.
14169,concentraciones,Alcance del reglamento sobre las concentraciones de empresas y papel de los estados miembros.,Alcance del reglamento sobre las concentraciones de empresas.,Scope of the regulation on mergers of undertakings and the role of the Member States.
14189,millares,Después de todo sólo hace algunos millares de años que no experimentamos estas emociones.,Hace algunos millares de años.,"After all, it's only been a few thousand years since we experienced these emotions."
14212,entregan,En adición a las categorías convencionales se entregan además cuatro premios especiales denominados homenajes.,Convencionales se entregan además cuatro premios.,"In addition to the conventional categories, four special awards called homages are also awarded."
14244,sumas,Pérdidas de empresarios individuales buen nombre o crédito mercantil y sumas pagadas por concepto de traspaso.,Sumas pagadas por concepto de traspaso.,Losses of individual entrepreneurs good name or business credit and amounts paid for transfer.
14259,acercas,A veces en estos grandes hoteles te acercas a extranjeras que tal vez necesiten un intérprete o un guía.,Hoteles te acercas a extranjeras.,Sometimes in these big hotels you get close to foreigners who may need an interpreter or a guide.
14298,coincidieron,Teniendo en cuenta que coincidieron a las a qué hora volverán a coincidir.,Cuenta que coincidieron a las.,Taking into account that they coincided at what time they will coincide again.
14316,desarrollaron,Es posible que podamos echar un vistazo a la información que ellos desarrollaron.,Información que ellos desarrollaron.,We may be able to take a look at the information they developed.
14335,fallando,Es claro que la memoria de alice está fallando pero aún tiene buenos recursos.,Es claro que la memoria de alice está fallando.,It is clear that alice's memory is failing but still has good resources.
14343,aumentaron,En cuanto a los precios de importación aumentaron constantemente un durante el período considerado.,En cuanto a los precios de importación aumentaron constantemente un considerado.,"As regards import prices, they increased steadily one over the period considered."
14357,exquisita,Estaba pensando que eres la cosa más exquisita que he visto en mi vida.,Cosa más exquisita que he visto.,I was thinking you're the most exquisite thing I've ever seen.
14387,reduciendo,El número de intérpretes disponible en los mercados local e internacional es limitado y se está reduciendo.,Se está reduciendo.,The number of interpreters available in local and international markets is limited and is decreasing.
14398,articular,Así que no tengo ningún disco articular donde deberían estar en mi cara.,Ningún disco articular donde deberían estar.,So I don't have any joint records where they should be in my face.
14406,iniciará,Esta máquina creará una polaridad inversa por un instante la que iniciará una reacción en cadena.,Iniciará una reacción en cadena.,This machine will create an inverse polarity for an instant which will initiate a chain reaction.
14429,gruesos,Tus brazos son gruesos pero tu cintura definitivamente es la de una mujer.,Tus brazos son gruesos.,"Your arms are thick, but your waist is definitely a woman's."
14442,compraba,Bueno por lo menos tu marido intenta ser romántico cada aniversario gilbert me compraba un electrodoméstico.,Gilbert me compraba un electrodoméstico.,Well at least your husband tried to be romantic every anniversary gilbert bought me an appliance.
14449,rechazan,Los estudios muestran que si una candidata es muy bonita o muy simple los votantes la rechazan.,Simple los votantes la rechazan.,Studies show that if a candidate is very pretty or very simple voters reject her.
14459,aceptaba,El de junio de becromal contestó que aceptaba los precios ofrecidos durante los últimos nueve meses de.,Aceptaba los precios ofrecidos nueve meses.,On June becromal replied that it accepted the prices offered during the last nine months of.
14466,incorporó,Esta iniciativa se incorporó en el plan de cooperación en materia de seguridad en la construcción.,Iniciativa se incorporó en el plan.,This initiative was incorporated into the construction security cooperation plan.
14486,afirmando,Algunos la apoyan afirmando que estas drogas producen un mínimo grado de daños.,La apoyan afirmando.,Some support it by claiming that these drugs produce a minimum degree of damage.
14563,enfrentará,Ese es el desafío en materia jurídica que el consejo enfrentará el próximo año.,El consejo enfrentará el próximo año.,That is the legal challenge that the council will face next year.
14607,preocupó,Syrus alguna vez te preocupó alguien que no tuviera un precio en la espalda.,Vez te preocupó alguien.,Syrus once worried about someone who didn't have a price on your back.
14609,trabajará,En todos los casos de las excepciones se trabajará de manera rotativa sábados de cada como máximo.,Se trabajará de manera rotativa sábados.,In all cases of exceptions it will be worked on a rotating way Saturdays of each maximum.
14647,regresarás,No le he dicho a los niños que no regresarás a casa conmigo.,No regresarás a casa conmigo.,I haven't told the kids you're not coming home with me.
14664,vente,Nuestra única esperanza es salir de aquí con vida o sea que vente.,Sea que vente.,"Our only hope is to get out of here alive, so come on."
14668,minera,El valor total de la producción minera fue de mil millones de pesos.,La producción minera fue de mil millones.,The total value of mining production was one billion pesos.
14703,sobreviven,Entonces no tiene ni la menor idea de lo que es para aquellos que sobreviven.,Aquellos que sobreviven.,Then you have no idea what it is for those who survive.
14715,inspirada,El gobierno español considera que esta reforma debe estar inspirada en los siguientes principios.,Estar inspirada en los siguientes principios.,The Spanish government believes that this reform should be inspired by the following principles.
14729,quehacer,A elaborar proyectos de ley que tengan relación específica con el quehacer vial.,El quehacer vial.,To draft laws that have a specific bearing on road traffic.
14758,abundan,En el mundo abundan los casos de vergonzosas violaciones de los derechos humanos.,El mundo abundan los casos.,Cases of shameful violations of human rights are rife throughout the world.
14781,presidido,El comité está presidido por el director de la oficina de ética de las naciones unidas.,Comité está presidido por el director.,The committee is chaired by the director of the ethics office of the United Nations.
14803,pertinentes,Esos estudios se han utilizado en las partes pertinentes de la presente nota.,Las partes pertinentes de la presente nota.,These studies have been used in the relevant parts of the present note.
14816,elevó,La producción de la ce se elevó a aproximadamente millones de ecus en.,Ce se elevó a aproximadamente millones.,Production in the Community amounted to approximately ECU million.
14820,diseñadores,Aquí hay diseñadores que llevan años luchando en el mundo de la moda.,Aquí hay diseñadores que llevan años luchando.,There are designers here who have been fighting in the fashion world for years.
14824,asombrado,Por primera vez en el parque un espectáculo que ha asombrado al mundo entero.,Ha asombrado al mundo entero.,For the first time in the park a show that has amazed the whole world.
14826,golosinas,Vamos a ir a la tienda de golosinas a saludar a la anciana.,Golosinas a saludar a la anciana.,Let's go to the candy store and say hello to the old lady.
14841,ardillas,Tengo que ver a un hombre por una bolsa de ardillas y un montón de pescados.,Tengo que ver a un hombre por una bolsa de ardillas.,I have to see a man for a bag of squirrels and a bunch of fish.
14845,polos,Para el año polos o camisas de invierno y polos o camisas de verano.,Polos o camisas de verano.,For the year winter poles or shirts and summer poles or shirts.
14853,informando,Algunos bloggers ecuatorianos vienen informando sobre estos eventos al igual que los noticieros del ecuador.,Informando sobre estos eventos al igual.,Some Ecuadorian bloggers are reporting on these events as well as the news of the equator.
14862,pertenencia,La pertenencia a un sindicato es voluntaria y debe ajustarse a los estatutos del sindicato.,La pertenencia a un sindicato es voluntaria.,Membership of a trade union is voluntary and must conform to the statutes of the trade union.
14879,protestante,En vez de la iglesia o bien es judío o aún peor protestante.,Aún peor protestante.,Instead of the church he is either Jewish or even worse Protestant.
14931,obligaba,Describiendo como lo obligaba a la edad de años a realizar actos de prostitución.,Como lo obligaba a la edad.,Describing how he forced him at the age of years to engage in acts of prostitution.
14972,congresos,No se considerarán los pósteres ni los trabajos presentados en los workshops relacionados con los congresos.,Con los congresos.,Posters and works presented in workshops related to the congresses will not be considered.
14976,productivos,Hasta la fecha han participado en el programa de proyectos productivos casi familias.,Proyectos productivos casi familias.,"To date, almost families have participated in the programme of productive projects."
14992,unirá,Este esclavo amarillo unirá y romperá toda fé bendecirá al maldito y hara dorada a la lívida lepra.,Este esclavo amarillo unirá.,This yellow slave will unite and break every faith will bless the damned and make the living leprosy golden.
15014,susceptibles,La indicación en el programa legislativo de las propuestas susceptibles de suscitar debates ampliados.,Las propuestas susceptibles de suscitar debates ampliados.,The inclusion in the legislative programme of proposals likely to give rise to expanded discussions.
15021,paradójicamente,Paradójicamente el consumo de pescado aumenta en todos los países de la unión europea.,Paradójicamente el consumo de pescado aumenta.,"Paradoxically, fish consumption is increasing in all countries of the European Union."
15061,añadiendo,El precio no perjudicial se obtuvo añadiendo el citado margen de beneficio del al coste de producción.,Se obtuvo añadiendo el citado margen.,The non-injurious price was obtained by adding the above-mentioned profit margin to the cost of production.
15079,reproduce,El presidente del comité dio lectura a la declaración que se reproduce a continuación.,Se reproduce a continuación.,The Chairman of the Committee read out the statement reproduced below.
15087,ticket,Voy a darte todo lo que tengo pero no es lo suficiente para un ticket.,No es lo suficiente para un ticket.,I'm going to give you everything I have but it's not enough for a ticket.
15093,superando,La esperanza de vida de las mujeres siguió superando a la de los hombres.,Superando a la de los hombres.,The life expectancy of women continued to exceed that of men.
15139,islámico,Está presente en el mundo islámico sabemos que ha dado muestras de una gran moderación.,El mundo islámico sabemos que ha dado muestras.,It is present in the Islamic world we know that it has shown great restraint.
15146,pantanos,Los nativos dragan los pantanos extraen el mineral y los colonos se quedan con el dinero.,Los nativos dragan los pantanos extraen el mineral.,The natives dredge the swamps extract the ore and the settlers take the money.
15148,reivindicación,La protección de los derechos humanos constituyó la principal reivindicación de los estados.,La principal reivindicación de los estados.,The protection of human rights was the main demand of the states.
15182,surrealista,Es como una pintura surrealista acercarse demasiado no es siempre una buena idea.,Una pintura surrealista acercarse demasiado no.,It's like a surrealist painting getting too close isn't always a good idea.
15200,designar,Para designar dichos organismos los estados miembros aplicarán los criterios establecidos en el artículo.,Para designar dichos organismos los estados.,"To designate such bodies, Member States shall apply the criteria laid down in the Article."
15217,torneos,A nivel internacional ha participado en torneos continentales donde nunca ha avanzado de la primera ronda.,Torneos continentales donde nunca ha avanzado.,Internationally he has participated in continental tournaments where he has never advanced from the first round.
15238,explicaron,No me va a gustar balas inteligentes una vez que se me explicaron.,Se me explicaron.,I'm not gonna like smart bullets once they were explained to me.
15246,inmediatos,En estos dos casos y en otros muchos esta repentina notoriedad tuvo efectos inmediatos.,En otros muchos esta repentina notoriedad tuvo efectos inmediatos.,In these two cases and in many others this sudden notoriety had immediate effects.
15261,castillos,Y sabes me considero a mi mismo un poco un diseñador de castillos.,Diseñador de castillos.,"And you know, I consider myself a little bit of a castle designer."
15264,domésticas,Un de la producción industrial europea está destinada al consumo de las unidades domésticas.,Las unidades domésticas.,One of the European industrial production is intended for the consumption of domestic units.
15269,situarse,Por desgracia no todo el mundo pudo situarse cerca de una fuente de agua.,Pudo situarse cerca de una fuente.,"Unfortunately, not everyone could be near a water source."
15297,millar,Un millar de manos un millón de manos y un corazón que late.,Un millar de manos un millón de manos.,A thousand hands a million hands and a beating heart.
15310,mexicanas,Es por culpa de las vacas mexicanas están muy cerca y las huele.,Es por culpa de las vacas mexicanas están cerca y las huele.,It's because the Mexican cows are too close and smell them.
15313,beneficiarios,Los beneficiarios de los proyectos seleccionados presentarán un informe anual a la comisión.,Los beneficiarios de los proyectos seleccionados.,The beneficiaries of the projects selected shall submit an annual report to the committee.
15321,mítico,A pesar de tanto triunfo mítico nadie me había invitado a salir ni una vez.,Tanto triunfo mítico nadie me había invitado.,Despite so much mythical triumph no one had ever asked me out once.
15326,consecución,Es necesario un control democrático de las negociaciones y la consecución de acuerdos.,La consecución de acuerdos.,There is a need for democratic control over negotiations and the achievement of agreements.
15330,licores,Tendrán conocimientos elementales de vinos y licores deberán conocer como mínimo el idioma inglés.,Licores deberán conocer como mínimo el idioma inglés.,They will have elementary knowledge of wines and liquors and will have to know at least the English language.
15335,incipiente,Debido a que se trataba de un mercado incipiente y a que probablemente.,Debido a que se trataba de un mercado incipiente.,Because it was an incipient market and probably.
15338,resultando,Resultando que el índice de precios al consumo antes aludido alcanzó el el exceso se concreta en un.,Resultando que el índice.,"As a result, the consumer price index referred to above reached the excess in one."
15347,volamos,Tan pronto el capitán decidió devolverle las cosas caminamos a los transbordadores y volamos como el viento.,Volamos como el viento.,"As soon as the captain decided to return things, we walked to the shuttles and flew like the wind."
15381,accede,Bueno lo siento pero nadie accede a la agenda del presidente al momento.,Lo siento pero nadie accede a la agenda del presidente al momento.,"Well, I'm sorry, but no one agrees to the president's agenda right now."
15432,molestará,Supongo que si no te interesa no te molestará que lo hagamos nosotros.,Te molestará que lo hagamos nosotros.,"I guess if you're not interested, it won't bother you if we do it ourselves."
15444,involucrar,Dijo que involucrar a la policía solo pondría a robin en más peligro.,Involucrar a la policía solo pondría.,He said getting the police involved would only put robin in more danger.
15447,quirúrgico,No se trata de un dolor en el abdomen así que no es asunto quirúrgico.,Es asunto quirúrgico.,"It's not a pain in the abdomen, so it's not a surgical matter."
15450,avanzan,Nuestros destinos avanzan hacia un fin similar a pesar de la apariencia externa.,Nuestros destinos avanzan hacia un fin similar.,Our destinies advance toward a similar end despite outward appearance.
15490,tiraba,Era el que hacía toda la limpieza y tiraba las cosas y eso.,Tiraba las cosas.,He was the one who did all the cleaning and threw things away and stuff.
15491,autonomías,La jd era un modelo español importado de parís magnífica expresión del pce pero sin proyecto de autonomías.,Sin proyecto de autonomías.,The jd was a Spanish model imported from Paris magnificent expression of the pce but without project of autonomies.
15544,insistido,Tengo que decirle señor rosenfeld que lady edith ha insistido en su profesionalidad.,Edith ha insistido en su profesionalidad.,"I have to tell you, Mr. Rosenfeld, that Lady edith has insisted on your professionalism."
15548,despachos,El secretario de estado en los despachos de trabajo y previsión social amado h núñez.,El secretario de estado en los despachos de trabajo.,The secretary of state in the offices of labor and social welfare beloved núñez.
15550,rigurosa,La comisión puede ser más rigurosa a la hora de garantizar el cumplimiento.,Ser más rigurosa a la hora.,The commission may be more rigorous in ensuring compliance.
15560,indefensa,Se metió en la casa de una anciana indefensa que no tenía nada a su nombre.,Una anciana indefensa que no tenía nada.,He broke into the house of a helpless old woman who had nothing in her name.
15562,inmortales,No me gustaría que alguno de sus amigos inmortales sepa de mi existencia.,Sus amigos inmortales sepa de mi existencia.,I wouldn't want any of your immortal friends to know about my existence.
15565,cuidan,Si no cuidan de sí mismos aumentarán de peso y tendrán un montón de otras enfermedades para tratar.,Si no cuidan de sí mismos aumentarán de peso.,If they don't take care of themselves they will gain weight and have plenty of other illnesses to treat.
15578,aproximado,Cuenta con lo que representa un incremento aproximado del frente a los del censo anterior.,Un incremento aproximado del frente.,This represents an approximate increase in the front of the previous census.
15592,cooperativas,Miembro de la junta de directores de la federación de cooperativas de estados unidos.,Cooperativas de estados unidos.,Member of the Board of Directors of the United States Federation of Cooperatives.
15624,preguntará,Le darán un tiro en la nuca en un enfrentamiento y nadie preguntará por qué.,Nadie preguntará por qué.,They'll shoot him in the back of the head in a confrontation and no one will ask why.
15631,etarras,Desde que zapatero gobierna los etarras salen a la calle pero entran en prisión alcaldes humildes.,Desde que zapatero gobierna los etarras salen a la calle.,"Ever since the shoemaker rules, the etarras go out into the street, but humble mayors go into prison."
15651,húngaro,Caballero gran cruz de la orden de san esteban de hungría imperio austro húngaro.,Imperio austro húngaro.,Knight great cross of the order of St. Stephen's hungry Hungarian southern empire.
15660,aprovechan,Los delitos se cometen como actos de desesperación o son obra de delincuentes que se aprovechan de los pobres.,Son obra de delincuentes que se aprovechan de los pobres.,Crimes are committed as acts of despair or are the work of criminals who take advantage of the poor.
15679,saltan,Veo que antes de dominar un nuevo tema en este caso el subjuntivo ya saltan con que no sirve.,Ya saltan con que no sirve.,I see that before mastering a new subject in this case the subjunctive already jumps with which it does not serve.
15683,antenas,No creo que estas antenas hayan crecido mas allá de su longitud pretendida.,Estas antenas hayan crecido mas allá.,I don't think these antennas have grown beyond their intended length.
15690,carteras,Este hecho se deduce de la falta de informes sobre delitos como extorsión amenazas asesinato o robo de carteras.,Robo de carteras.,This follows from the lack of reports of crimes such as extortion of threats of murder or theft of wallets.
15691,enterró,Él enterró a su hermana y fuimos juntos a la clase de álgebra.,Él enterró a su hermana.,He buried his sister and we went to algebra class together.
15716,teatrales,La participación de grupos teatrales bandas y conjuntos de música en festivales y otros actos.,La participación de grupos teatrales bandas.,The participation of theatrical groups bands and music ensembles in festivals and other events.
15732,pilló,Qué dijo tu padre la última vez que te pilló escapándote de casa.,Te pilló escapándote de casa.,What your father said the last time he caught you running away from home.
15746,generando,Fibrosis quística trastorno genético recesivo que afecta la mucosa de los pulmones generando otras dificultades respiratorias.,Los pulmones generando otras dificultades respiratorias.,Cystic fibrosis recessive genetic disorder that affects the mucosa of the lungs causing other respiratory difficulties.
15757,reglamentos,Las políticas de la calidad son definidas por el reglamento cee n del consejo modificado por los reglamentos ce nos.,Los reglamentos ce nos.,Quality policies are defined by the Council Regulation amended by the Regulations.
15784,carecía,Se trataba de un elemento del que carecía la mayor parte de los países en desarrollo.,Carecía la mayor parte.,This was an element that most developing countries lacked.
15793,instalarse,Por último debemos estudiar cómo integrar a quienes busquen empleo o intenten instalarse aquí.,Intenten instalarse aquí.,"Finally, we must consider how to integrate those who seek employment or try to settle here."
15835,ensaladas,Todo el mundo siempre dice que alrededor de sus ensaladas todo un montón de putos mentirosos.,Sus ensaladas todo un montón.,Everybody always says that around their salads a whole bunch of fucking liars.
15866,registrando,Se continuó registrando la utilización masiva de minas por parte de los grupos armados ilegales.,Se continuó registrando la utilización masiva.,Massive use of mines by illegal armed groups continued.
15871,secundarias,Necesito saber que medidas de seguridad secundarias instaló el coronel sheppard aquí antes de marcharse.,Necesito saber que medidas de seguridad secundarias instaló el coronel sheppard aquí.,I need to know what secondary security measures Colonel Sheppard installed here before he left.
15892,apego,Esto debe de ser la forma que tiene el apego a la vida.,Tiene el apego a la vida.,This must be the form of attachment to life.
15987,exigiendo,Es como si el bebé fuera a llegar exigiendo paredes de color de postre.,Llegar exigiendo paredes de color de postre.,It's like the baby's gonna come up demanding dessert colored walls.
15996,armó,En kuwait un usuario creó la etiqueta pila en árabe y se armó la gorda.,Se armó la gorda.,In kuwait a user created the stack label in Arabic and built the fat one.
16030,obtenemos,Obtenemos dos boletos para ver a quien sea que este en el salón de bailes.,Obtenemos dos boletos para ver.,We get two tickets to see whoever's in the ballroom.
16061,divorciados,Por el poder que me fue concedido por el estado de california los declaro divorciados.,Los declaro divorciados.,By the power granted to me by the state of California I declare the divorced.
16094,sostenida,Además de la creación de capacidad las actividades de formación están en aumento de forma sostenida.,De forma sostenida.,"In addition to capacity-building, training activities are steadily increasing."
16096,comodidades,Todos saben que no existe ninguna de las comodidades de la vida en el campo.,Las comodidades de la vida.,Everyone knows that there is none of the comforts of life in the countryside.
16099,amenazaba,Aunque el fuego amenazaba con extenderse a otras viviendas no nos permitieron sofocarlo.,El fuego amenazaba con extenderse.,"Although the fire threatened to spread to other homes, we were not allowed to suffocate it."
16107,estiman,Los expertos estiman que para finales de habrá millón de personas infectadas en todo el país.,Los expertos estiman que para finales de habrá millón de personas infectadas.,"Experts estimate that by the end of the year, millions of people will be infected throughout the country."
16115,anunciando,Por otro lado ya se está anunciando otro programa dedicado particularmente a la economía.,Ya se está anunciando otro programa dedicado particularmente a la economía.,"On the other hand, another programme devoted particularly to the economy is already being announced."
16123,ridículos,Uno de los clichés más ridículos es que cuántos más hay menos peligro.,Clichés más ridículos es.,One of the most ridiculous clichés is that how many more there is less danger.
16136,relacionar,E indivisibilidad significa también relacionar derechos políticos con derechos sociales y económicos en esta era de la globalización.,E indivisibilidad significa también relacionar derechos políticos con derechos sociales.,And indivisibility also means linking political rights with social and economic rights in this era of globalization.
16140,andamos,Ya que andamos por ese camino yo no puedo creer que mi vida gire en torno a un hombre.,Ya que andamos.,"Since we're walking that way, I can't believe my life revolves around a man."
16143,fumado,Me temo que lo que me gusta no puede ser tragado olido ni fumado.,Olido ni fumado.,I'm afraid what I like can't be swallowed smelly or smoked.
16152,coincidiendo,Desapareció hace dos semanas coincidiendo con la primera vez que cara le percibió.,Semanas coincidiendo con la primera vez.,She disappeared two weeks ago coinciding with the first time she saw her face.
16194,invitando,Pensaba que te sorprendería invitando a vanessa a la fiesta de esta noche y los encuentro aquí.,Pensaba que te sorprendería invitando a vanessa a la fiesta de.,I thought I'd surprise you by inviting vanessa to tonight's party and finding them here.
16225,intravenosa,No gracias prefiero pasar directamente a la injeccion intravenosa de drogas duras por favor.,La injeccion intravenosa de drogas duras.,No thanks I'd rather go straight to the intravenous injection of hard drugs please.
16234,actuará,El consejo de administración actuará de conformidad con el procedimiento previsto en el apartado.,Administración actuará de conformidad.,The Management Board shall act in accordance with the procedure referred to in paragraph 1.
16267,descendió,Durante el período considerado descendió la rentabilidad de la industria de la comunidad.,Considerado descendió la rentabilidad de la industria de la comunidad.,During the period considered the profitability of the Community industry decreased.
16312,impulsó,Por qué el presidente impulsó una canción mediocre si las cosas iban a terminar así.,El presidente impulsó una canción mediocre.,Why the president pushed a mediocre song if things were going to end like this.
16335,susurra,Me susurra algo y luego me dice que me puedo dar la vuelta.,Me susurra algo.,He whispers something to me and then tells me I can turn around.
16347,demostraron,Su abogado dice que él es el padre biológico que ustedes demostraron eso en el tribunal.,Ustedes demostraron eso en el tribunal.,Your lawyer says he's the biological father that you guys showed that in court.
16351,aprenderá,Aprenderá pronto a dejar todo lo malo atrás y seguir adelante con su vida.,Aprenderá pronto a dejar todo lo malo atrás.,He will soon learn to leave everything bad behind and move on with his life.
16352,ardientes,Por supuesto no significa que las mujeres no sean ardientes con tipos como nosotros.,Sean ardientes con tipos como nosotros.,Of course it doesn't mean women aren't hot with guys like us.
16376,lamentos,Él me levantará y herirá a mis enemigos y escucharé los lamentos de sus mujeres.,Escucharé los lamentos de sus mujeres.,He will raise me up and hurt my enemies and listen to the laments of their wives.
16424,organizan,Los juegos se organizan y ejecutan por temporadas coincidentes con los cursos escolares.,Los juegos se organizan.,The games are organized and run for seasons that coincide with the school years.
16427,comprará,Le informo que mi jefe con gusto le comprará esta casa vieja y por el doble de la oferta anterior.,Le informo que mi jefe con gusto le comprará esta casa vieja.,I inform you that my boss will gladly buy you this old house and twice the previous offer.
16467,proximidades,Fuimos testigos de escenas de intimidación y violencia en las proximidades de los colegios electorales.,Violencia en las proximidades de los colegios electorales.,We witnessed scenes of intimidation and violence in the vicinity of polling stations.
16482,estratégicos,A los objetivos estratégicos y las demandas de recursos humanos en la empresa.,A los objetivos estratégicos.,To strategic objectives and demands for human resources in the company.
16486,archipiélago,El archipiélago de filipinas se encuentra en la encrucijada de asia y el pacífico.,El archipiélago de filipinas se encuentra en la encrucijada de asia.,The Philippine archipelago is at the crossroads of Asia and the Pacific.
16492,participando,Joana amendoeira debuta en público en participando en la gran noche del fado de lisboa.,Público en participando.,Joana amendoeira debuts in public in participating in the great night of the fado de lisboa.
16496,depresivos,La mayoría de los estudiantes son depresivos sra stewart por una razón u otra.,Depresivos sra stewart por una razón.,Most students are depressive Mrs Stewart for one reason or another.
16505,innegable,El papel de la unión europea en la ayuda a palestina es innegable.,Palestina es innegable.,The role of the European Union in helping Palestinians is undeniable.
16521,aumentará,Por consiguiente aumentará la actividad delictiva al nivel nacional que no exige transferencias bancarias como medio de captar fondos terroristas.,Aumentará la actividad delictiva al nivel.,"Therefore, criminal activity will increase at the national level that does not require bank transfers as a means of capturing terrorist funds."
16562,departamental,El tipo soy bueno para hacer dinero es el presidente de la tienda departamental.,La tienda departamental.,The guy I'm good at making money is the president of the department store.
16594,derivan,Nuestra calidad de vida depende de las tecnologías que de ella se derivan.,Ella se derivan.,Our quality of life depends on the technologies that derive from it.
