lemma,sentence,english_sentence
despertamos,Es la primera vez que nos vamos a dormir juntos y nos despertamos juntos.,It's the first time we've slept together and woken up together.
asombrosas,Me gustaría proponer un brindis por mi hijo y sus asombrosas proezas de juego.,I'd like to propose a toast to my son and his amazing feats of play.
entendidos,Los desafíos transformadores no deben ser entendidos sólo como riesgos sino también como oportunidades.,Transformative challenges should not only be understood as risks but also as opportunities.
dichosa,Todo el mundo aspira a la vida dichosa pero nadie sabe en qué consiste.,Everyone aspires to happy life but no one knows what it consists of.
obligará,Y no hay duda de que la presión de arriba los obligará a dejarlo.,And there's no doubt that the pressure above will force them to leave him.
fortalezas,Todas las pilas de leña van actuar como fortalezas provistas de bombas de arena.,All the piles of wood will act as fortresses provided with sand bombs.
asentado,Para quitarme el sabor de la batalla que se ha asentado en el estómago.,To take away the taste of the battle that has settled in my stomach.
humanitario,Se caracterizan por violaciones masivas del derecho humanitario internacional y de los derechos humanos.,They are characterized by massive violations of international humanitarian law and human rights.
lavó,Hoy la señora ashton es igual que poncio pilato que se lavó las manos.,Today Mrs Ashton is just like Pontius Pilate who washed his hands.
incrementó,Para se incrementó a enfermedades tomando en cuenta las particularidades de la región amazónica.,It increased to diseases taking into account the particularities of the Amazon region.
establecía,Ese interés se establecía en puntos por encima de tipo de adjudicación del bce.,This interest was set at points above the bce award rate.
respectivo,B proponer los ascensos y sanciones de dicho personal al ministerio u organismo respectivo.,B propose the promotions and sanctions of such personnel to the respective ministry or body.
até,Ese caso en el que te até no creo que vaya a ninguna parte.,"That case where I tied you up, I don't think I'm going anywhere."
colocaba,El poste se colocaba en la jungla cerca de la guarida del jaguar viviente.,The post was placed in the jungle near the den of the living jaguar.
aprobará,El consejo de dirección aprobará el orden del día al comienzo de la reunión.,The agenda shall be adopted by the Management Board at the beginning of the meeting.
completada,Punto completada por la decisión pesc del consejo do l de y bol punto.,Point completed by the decision of the Council of the European Union.
corporativos,No sé nada de delitos corporativos y aunque no fuera así tampoco me importaría.,"I don't know anything about corporate crimes, and even if I didn't, I wouldn't mind either."
luche,Es un insulto a todo aquel que luche por la libertad y la democracia.,It is an insult to anyone who fights for freedom and democracy.
dominando,En el estaba dominando completamente y tenía la posibilidad de tirar al más grande.,In it he was completely dominating and had the chance to throw the biggest one away.
libanés,No obstante el de agosto se reanudaron las violaciones israelíes del espacio aéreo libanés.,"However, Israeli violations of Lebanese airspace resumed in August."
agradar,Esta clase de cosas podría de verdad agradar a la vista de un hombre.,This kind of thing could really please a man's eyesight.
argumentando,Argumentando en contra de un pueblo de derecho a estar libre de la ropa.,Arguing against a people of right to be free from clothing.
mudos,A vosotros que tembláis y palidecéis ante este lance mudos testigos de este acto.,To you who tremble and pale before this cast mute witnesses of this act.
resistiendo,Estoy resistiendo el impulso de darle un golpe en la boca en este momento.,I'm resisting the urge to hit him in the mouth right now.
aliadas,Mientras que nuestra presa tiene a la oscuridad y a la noche como aliadas.,While our prey has the darkness and the night as allies.
demoró,La presentación de este informe se demoró con el fin de incorporar información actualizada.,The submission of this report was delayed in order to incorporate updated information.
liderado,Francisco pizarro explorador y conquistador español célebre por haber liderado la conquista del perú.,Francisco pizarro explorer and Spanish conqueror famous for having led the conquest of Peru.
bailó,Un negro dominó con una flor de acacia en el gorro bailó con psiquis.,A black man dominated with a flower of acacia in his cap danced with psyche.
despega,El debate sobre el futuro de la cohesión despega en la conferencia de parís.,The debate on the future of cohesion takes place at the Paris conference.
considerará,Esta disposición se considerará cumplida por toda aeronave sometida a un registro de seguridad.,This provision shall be deemed to have been complied with by any aircraft subject to a security record.
designó,Se designó como novato del año a rodolfo hernández de los charros de jalisco.,Rodolfo hernández de los charros de jalisco was designated as a rookie of the year.
desencadenó,Por otra parte se desencadenó un conflicto prolongado en el sector de la enseñanza.,"On the other hand, there was a protracted conflict in the education sector."
brindan,Se trata de misiones de investigación que brindan también la oportunidad de formular recomendaciones.,These are fact-finding missions that also provide an opportunity to make recommendations.
inhala,Ahora inhala tu dioxido de carbono y es todo lo que tienes que hacer.,Now inhale your carbon dioxide and that's all you have to do.
trabajarán,Estoy seguro de que trabajarán duro para llevar a esos animales a la justicia.,I'm sure they'll work hard to bring those animals to justice.
conjuntas,J contribución a actividades conjuntas con diversos órganos de las naciones unidas en promedio.,J contribution to joint activities with various bodies of nations united on average.
provocadas,El de todas las muertes en el mundo son provocadas actualmente por el cáncer.,Of all the deaths in the world are currently caused by cancer.
mejicano,Prometo que nunca volveré a dudar de tu tercer ojo mejicano adivino de nuevo.,I promise I'll never doubt your third Mexican eye again.
opta,En chipre la totalidad de beneficiarios opta por un programa de formación en inglés.,In chipre all beneficiaries opt for a training program in English.
elegirá,Previa consulta a la comisión cada comité elegirá a un presidente entre sus miembros.,"After consulting the committee, each committee shall elect a chairman from among its members."
convenientes,Tomar las medidas convenientes de reciclaje de los materiales para proteger el medio ambiente.,Take appropriate recycling measures to protect the environment.
vigorosa,El parlamento europeo debe protestar vigorosa mente contra los planes de nuevos ensayos nucleares.,The European Parliament must vigorously protest against plans for new nuclear tests.
asocian,Se encuentran áreas edafoclimáticas muy distintas que se asocian a unidades de paisajes diferenciados.,Very different edaphoclimatic areas are found that are associated with differentiated landscape units.
analítico,Sé que piensas que puede ayudar sino puramente desde un punto de vista analítico.,I know you think it can help if not purely from an analytical point of view.
atónito,Por eso la posición de la comisión de asuntos jurídicos me había dejado atónito.,That is why the position of the Committee on Legal Affairs had shocked me.
ciudadanas,Primera en mi opinión la inclusión de las ciudadanas y ciudadanos es extremadamente pequeña.,First in my opinion the inclusion of women citizens is extremely small.
procedían,Las respuestas procedían de todos los países de la unión europea y más allá.,The answers came from all the countries of the European Union and beyond.
bayonetas,No saldrá de su encierro si no es por la fuerza de las bayonetas.,He won't get out of his lock-up unless it's by the force of bayonets.
incrementan,A partir del de enero del se incrementan las tablas de revisadas en un.,From January the tables of reviews are increased in one.
finlandés,Johan erik hedberg n de marzo de de agosto de fue un pintor finlandés.,Johan erik hedberg n March August of was a Finnish painter.
presionan,Tienes idea de cuánto nos presionan para inventar al nuevo furby o elmo cosquillas.,You have any idea how much we're being pressured to invent the new furby or tickle.
encaminadas,Estas actividades están encaminadas a promover estrategias de energía sostenible como las que siguen.,These activities are aimed at promoting sustainable energy strategies such as those followed.
jerarquías,Organización de la empresa y estructura de mercado mercado versus jerarquías integración vertical conglomerados.,Organisation of the company and market structure versus hierarchies vertical integration conglomerates.
residenciales,Gráfico evolución de los precios de los inmuebles residenciales en la zona del euro.,Chart price developments for residential properties in the euro area.
facilitando,Evaluación y comprobación el cumplimiento de este criterio se acreditará facilitando la información siguiente.,Assessment and verification of compliance with this criterion shall be demonstrated by providing the following information.
contemporáneas,De todos modos las revistas contemporáneas no son usadas para escribir acerca del tiempo.,Anyway contemporary magazines are not used to write about time.
ofenden,Y perdona nuestras ofensas asi como tambien nosotros perdonamos a los que nos ofenden.,And forgive our trespasses just as we forgive those who trespass against us.
indirectas,Existe una vinculación adecuada con el proceso de seguimiento anual de las acciones indirectas.,There is an appropriate link with the annual monitoring of indirect actions.
interroga,Debo decirle que no me gusta la forma en que interroga a mi marido.,"I must tell you, I don't like the way you question my husband."
recurriendo,En ese sentido el tribunal internacional continuará recurriendo al máximo a las reglas existentes.,"In this regard, the international tribunal will continue to make maximum use of existing rules."
especializa,Mi grupo se especializa en ayudar a personas como tú que tienen un don.,My group specializes in helping people like you who have a gift.
agarrarse,Le pillamos merodeando por la escena del crimen pero nada a lo que agarrarse.,We caught him prowling around the crime scene but nothing to hold on to.
combatido,Dilación en ejecutarse pero el triste jimeno padecía muy cruelmente combatido como se hallaba.,Dilation to be executed but the sad jime suffered very cruelly fought as it was.
obscena,Parece ser que le dio una nota obscena a una chica en la biblioteca.,Apparently he gave an obscene note to a girl in the library.
entrenan,Operativos aliados de todo el mundo se entrenan allí y llevan misiones a cabo.,Allied operatives from all over the world train there and carry out missions.
alejamos,Hace un decenio nos alejamos de la realidad bipolar que fue la guerra fría.,"A decade ago, we moved away from the bipolar reality of the cold war."
experimentada,Apuesto a que no tienes idea de como es estar con una mujer experimentada.,I bet you have no idea what it's like to be with an experienced woman.
logrados,Los avances logrados durante las últimas semanas nos han acercado notablemente a una decisión.,The progress made over the past few weeks has brought us significantly closer to a decision.
binario,El lenguaje de la tecnología es binario seguramente en algún punto han escuchado eso.,"The language of technology is binary, surely at some point you have heard that."
bloquean,Son más antiálgicos que analgésicos en razón que no bloquean las prostaglandinas ya liberadas.,They are more antialgic than analgesics because they do not block the already released prostaglandins.
partidistas,Creo que el tema es demasiado serio para usarlo con fines partidistas e ideológicos.,I think the issue is too serious to be used for partisan and ideological purposes.
coeficientes,El de abril de la comisión adoptó un reglamento que fija los coeficientes revisados.,On April the Commission adopted a regulation setting out the revised coefficients.
ecológicas,Un seminario de la comisión examinará datos geográficos para la elaboración de políticas ecológicas.,A commission seminar will examine geographical data for the development of ecological policies.
impetuoso,No hizo nada impetuoso y no se olvidó de que era un buen médico.,He didn't do anything impetuous and didn't forget he was a good doctor.
deficientes,Los sistemas de clasificación de puestos de trabajo son deficientes si es que existen.,Job classification systems are weak if they exist.
robusta,Aún no ha surgido una clase media sólida junto con una sociedad civil robusta.,A strong middle class has not yet emerged along with a robust civil society.
germano,Miembro del consejo asesor de la cámara de comercio e industria germano húngara desde.,Member of the Advisory Board of the Hungarian Chamber of Commerce and Industry since.
conseguidos,Los puntos conseguidos fueron valorados de igual forma para la liga en la edición.,The points obtained were valued in the same way for the league in the edition.
percibimos,No percibimos que una vez que alcanzamos eso nuestro control sobre ellos se acaba.,We don't realize that once we get that our control over them is over.
recaudador,Me gusta ese en el que va a cenar con el recaudador de impuestos.,I like the one where he's having dinner with the tax collector.
homínidos,Identificación de las principales etapas en el proceso de la evolución de los homínidos.,Identification of the main stages in the evolution process of the hominids.
iluminaba,Cada vez que estabais juntos en la misma habitación se le iluminaba la cara.,"Every time you were in the same room together, his face lit up."
diseña,El ministerio de educación diseña los programas de evaluación para cada curso de formación.,The Ministry of Education designs the evaluation programmes for each training course.
denominamos,La estructura de la célula terrorista es lo que denominamos red de distribución autónoma.,The structure of the terrorist cell is what we call the autonomous distribution network.
ranchos,También se realizaba la fabricación de ladrillos para levantar los ranchos de la población.,Bricks were also made to raise the ranches of the population.
abrirlos,Puede que tengan que cerrar sus mercados durante un tiempo antes de poder abrirlos.,You may have to close your markets for a while before you can open them.
cooperativo,Bien pero qué te hace pensar que va a ser más cooperativo esta vez.,"Okay, but what makes you think he's gonna be more cooperative this time."
montos,Más de de los montos pendientes de pago corresponde únicamente a dos estados miembros.,More than the outstanding amounts are for only two member states.
enjuiciar,Ya que la policía ha decidido para enjuiciar a solamente uno de los niños.,Since the police have decided to prosecute only one of the children.
itinerarios,Van a tener que hablar con sus supervisores sobre los itinerarios de los turnos.,They're going to have to talk to their supervisors about shift itineraries.
inhumanos,Protección de los niños contra la tortura y los tratos crueles inhumanos o degradantes.,"Protection of children from torture and cruel, inhuman or degrading treatment."
redactó,Por lo tanto el artículo de la constitución se redactó con este objetivo concreto.,"Therefore, the article of the constitution was drafted with this specific objective."
adentros,A camaná a contestar lacónicamente el transfigurado diciendo para sus adentros un curioso majadero.,A camana to answer laconically the transfigured saying to his insides a curious majadero.
prestará,El próximo año se prestará una atención sustancial a la preparación de esa revisión.,Substantial attention will be given next year to the preparation of such a review.
informarse,Informarse de los trámites que hay que realizar para presentar una solicitud de ayuda.,Please provide information on the procedures to be followed to submit an application for assistance.
asumieron,Los siete miembros de la comisión electoral nacional asumieron sus cargos el de abril.,The seven members of the national electoral commission took office on April.
agradecimientos,Al final del manga en los agradecimientos sale la compañía de videojuegos japonesa konami.,At the end of the sleeve in thanks comes the Japanese video game company konami.
ópticas,Sistemas de control de vuelo por señales eléctricas o de vuelo por señales ópticas.,Flight control systems for electrical or optical signals.
presencias,La cultura del valle del indo artículo de blázquez en el sitio web presencias.,The culture of the valley of the Indo article of Blázquez on the website presences.
cumplirán,Las empresas del sector alimenticio cumplirán las normas de higiene enunciadas en el anexo.,Food businesses shall comply with the hygiene rules set out in the Annex.
venenosos,Ingestión de agentes biológicos peligrosos contacto con la piel infecciones reacciones alérgicas efectos venenosos.,Ingestion of dangerous biological agents skin contact infections allergic reactions poisonous effects.
agrupar,Es el compromiso de los recursos de agrupar a tantos maquis a la vez.,It is the commitment of the resources to group together so many maquis at once.
colocarla,Se le enseña a la persona a colocarla mano sobre el rostro de alguien.,The person is taught to place his hand on someone's face.
comunicaron,Los resultados de las deliberaciones de la junta se comunicaron a la asamblea general.,The results of the deliberations of the Board were communicated to the General Assembly.
diputaciones,Un representante de cada uno de los departamentos de agricultura de las diputaciones forales.,One representative from each of the agricultural departments of the county councils.
gozado,Mira siempre me ha preocupado el caso a pesar de haber gozado del resultado.,"Look, I've always been worried about the case even though I've enjoyed the result."
sedas,Sedas y satenes con arias y música presentamos lo nuevo lo grande lo animada.,Silks and satins with arias and music present the new the great the animated.
homicidas,Era tan insoportable que me mandaron a un programa para potenciales suicidas y homicidas.,It was so unbearable that I was sent to a program for suicidal and murderous potentials.
cúbico,El tipo de la tarifa de utilización se fija en euros por metro cúbico.,The rate of the utilization fee is fixed in euros per cubic meter.
supervisando,El presidente está supervisando la situación personalmente y los mantendremos informados sobre los acontecimientos.,The president is monitoring the situation personally and we will keep you informed of developments.
acusadas,De las fueron acusadas de robo y asesinato y de incendio voluntario y saqueo.,They were charged with theft and murder and voluntary arson and looting.
ejecutaron,Has sido espectadora de tragedias desde el día en que ejecutaron a tu padre.,You've been a spectator of tragedies since the day your father was executed.
custodiado,Va a ser fuertemente custodiado pero hay que hacerlo de la forma que pueda.,"He's going to be heavily guarded, but you have to do it any way you can."
preámbulos,Hace tiempo que le doy vueltas a una idea y quiero ir sin preámbulos.,I've been going around an idea for a while and I want to go without any preambles.
valoró,Las suyas ya que nunca le gusté ni valoró mi aportación a esta expedición.,Yours as I never liked or valued my contribution to this expedition.
petulante,Es arrogante y petulante y cree que es la persona más hermosa del mundo.,He's arrogant and smug and thinks he's the most beautiful person in the world.
austriacos,Por la que se nombra a dos suplentes austriacos del comité de las regiones.,appointing two Austrian alternates to the Committee of the Regions.
volátiles,Está basada en el porcentaje de materias volátiles y en el índice de inflación.,It is based on the percentage of volatile materials and the inflation rate.
amarrar,Vamos a tener que amarrar a los niños a la puerta de la casa.,We're gonna have to tie the kids to the door of the house.
referirme,Tengo el honor de referirme a mi carta de fecha de abril de s.,I have the honour to refer to my letter of April.
estipulado,El horario de atención al público queda estipulado de a de lunes a viernes.,The hours of service to the public are stipulated from Monday to Friday.
retiraba,Honda anunció el de diciembre de que se retiraba del mundial por crisis financiera.,Honda announced December that he was retiring from the World Cup due to financial crisis.
defensivos,Me gustaría enseñarle a todas las mujeres de esta ciudad unos buenos movimientos defensivos.,I'd like to show all the women in this city good defensive movements.
realizarlo,Para realizarlo se necesita una foto de alguien que murió con los ojos abiertos.,"To do this, you need a picture of someone who died with their eyes open."
efectuando,El consejo no lo puede consentir si realmente está efectuando una limpieza a fondo.,The council cannot consent to it if it is actually doing a thorough cleaning.
desbordante,Eres tan desbordante y llena de vida más de lo que yo lo fuí.,You're so overflowing and full of life more than I was.
valoramos,Valoramos pues la importancia de los informes de situación elaborados por la comisión europea.,We therefore appreciate the importance of the progress reports drawn up by the European Commission.
capillas,Existen también cerros propicios para el ciclismo numerosas galerías de arte museos y capillas.,There are also hills suitable for cycling numerous art galleries museums and chapels.
instalamos,En menos de un año nos instalamos en dos pisos del time life building.,In less than a year we settled on two floors of the time life building.
integristas,El horror con grupos terroristas integristas que multiplican los secuestros las violaciones los asesinatos.,The horror with fundamentalist terrorist groups that multiply the kidnappings the rapes the murders.
aparcamientos,El plan especial a redactar deberá fijar el cumplimiento de la reserva de aparcamientos.,The special plan to be drawn up should provide for compliance with the parking reservation.
palme,No quiero seguir haciendo pizzas todos los días hasta que la palme de verdad.,I don't want to keep making pizzas every day until I really pat her.
estructurar,Los resultados sirvieron para estructurar el examen y desarrollar otros resultados de la conferencia.,The results served to structure the review and develop other outcomes of the conference.
párpado,Este doble párpado ya he tenido que volver a hacer la cirugía dos veces.,This double eyelid I've already had to do the surgery twice.
paraísos,Esas cartas de compromiso con frecuencia incluían comentarios adicionales de los respectivos paraísos fiscales.,These letters of commitment often included additional comments from the respective tax havens.
hacendado,El un joven hacendado y ella no más que una criatura de la naturaleza.,He a young farmer and she no more than a creature of nature.
entrevistaron,Además se entrevistaron con representantes de organismos no gubernamentales y visitaron el reclusorio norte.,They also met with representatives of non-governmental agencies and visited the northern prison.
diestros,Vuestros hombres son más diestros que los míos en el arte de la guerra.,Your men are more skillful than mine in the art of war.
cortezas,El enamorado candido grabó el nombre de cunegunda en las cortezas de los árboles.,"The candid lover recorded the name ""cunegunda"" in the barks of the trees."
orientan,Las prioridades se orientan por lo dispuesto en la convención en particular su artículo.,The priorities are guided by the provisions of the convention in particular its article.
sobrantes,La totalidad de los días sobrantes serán fijados por la representación de los trabajadores.,All remaining days shall be fixed by the workers' representation.
procuradores,Modificación de los artículos y de los estatutos del colegio de procuradores de lleida.,Amendment of the articles and statutes of the lleida procurators' association.
tronos,Los tronos son mencionados junto a otros seres espirituales en colosenses y en apocalipsis.,The thrones are mentioned along with other spiritual beings in Colossians and in apocalypse.
aduanero,Por ejemplo la utilización de números de serie es importante para el control aduanero.,"For example, the use of serial numbers is important for customs control."
elevaba,En el caso de las mujeres solteras la cifra correspondientes se elevaba al h.,"In the case of single women, the corresponding figure was h."
completará,En el artículo el párrafo primero del apartado se completará con el texto siguiente.,"In Article 1, the first subparagraph of the paragraph shall be supplemented by the following:"
parisinos,Durante las últimas semanas miles de parisinos viven cerca del río han sido evacuados.,In recent weeks thousands of Parisians have been evacuated near the river.
dramaturgia,Mi novio ha entrado en el programa de dramaturgia de la universidad de iowa.,My boyfriend has entered the dramaturgy program at iowa University.
primado,El de julio de fue nombrado arzobispo primado de españa y arzobispo de toledo.,"On July, he was appointed Primate Archbishop of Spain and Archbishop of Toledo."
frecuentado,Se necesita tener un par de cojones para robar un bar frecuentado por policías.,It takes a couple of balls to rob a bar frequented by cops.
investigada,Según el registro la muerte de tu hermano nunca fue investigada como un homicidio.,"According to the record, your brother's death was never investigated as a homicide."
obtenerla,No sé la cifra exacta porque no hemos podido obtenerla pero es muy pequeña.,"I don't know the exact figure because we haven't been able to get it, but it's very small."
preventivos,Los programas de seguro de salud cubren el del costo de los controles preventivos.,Health insurance programmes cover the cost of preventive controls.
destinará,La información se destinará al cumplimiento de la misión establecida en el primer párrafo.,The information shall be used for the fulfilment of the mission set out in the first paragraph.
aventurado,Uh creo que es un poco aventurado pero que tal mañana en la noche.,"Uh, I think he's a little adventurous, but how about tomorrow night?"
improvisados,No se volvieron a colocar artefactos explosivos improvisados a lo largo de la línea.,Improvised explosive devices were not repositioned along the line.
conservadurismo,No todas las mujeres usan un pañuelo en la cabeza por un conservadurismo religioso.,Not all women wear a handkerchief on their heads for religious conservatism.
lucido,Incluye eso un collar de diamantes lucido por la estrella de cine dorothea page.,It includes a diamond necklace worn by the movie star dorothea page.
rigores,Soy un viejo tranquilo que no resiste los rigores de un viaje al extranjero.,I'm a quiet old man who can't resist the rigors of a trip abroad.
fabricaron,Durante el periodo de investigación fabricaron el producto similar seis productores de la unión.,"During the IP, six Union producers produced the like product."
nubosos,Se encuentra en ecuador en los bosques nubosos en las elevaciones de a metros.,It is located in equator in the cloud forests in the elevations of meters.
constitutivo,La comisión de las comunidades europeas visto el tratado constitutivo de la comunidad europea.,"The Commission of the European Communities, having regard to the Treaty establishing the European Community."
auspicios,Se trata de una agencia nacional independiente bajo los auspicios del ministerio de educación.,It is an independent national agency under the auspices of the Ministry of Education.
concretado,Si mi madre a concretado mi matrimonio arreglado incluso yo me voy a casar.,If my mother has settled my arranged marriage even I'm getting married.
dictaminó,La suprema corte dictaminó que se necesita una orden para revisar un teléfono móvil.,The supreme court ruled that a warrant is needed to check a mobile phone.
notorios,Uno de los déficits más notorios se debe a la presidencia de la unión.,One of the most notorious deficits is due to the presidency of the Union.
autoayuda,Es una ayuda para la autoayuda de los países candidatos ni más ni menos.,"It is an aid for the self-help of the candidate countries, neither more nor less."
duplicación,Evitar la duplicación y asegurar la debida atención a todos los derechos y libertades.,Avoid duplication and ensure due attention to all rights and freedoms.
populismo,Hasta ahora el populismo ha sido la nota inexistente en la cultura política africana.,"So far, populism has been the non-existent note in African political culture."
priorizar,Es que no puedo aceptar priorizar nuestra seguridad sobre la vida de las víctimas.,I just can't agree to prioritize our security over the lives of the victims.
teológico,Así que nos parece que el asunto no es ni nunca fue legal teológico.,So it seems to us that the matter is not and never was legal theological.
petrolíferos,Cuadro exportaciones de productos petrolíferos de los países exportadores más importantes de la ce.,Table of exports of petroleum products from the largest exporting countries in the Community.
tripulado,Es una de las modificaciones para hacer el cohete seguro para el vuelo tripulado.,It's one of the modifications to make the rocket safe for the manned flight.
convencen,Me convencen de que están de mi lado y sí es un plan sólido.,I'm convinced they're on my side and it's a solid plan.
diferenciarse,Dichos límites podrán diferenciarse en función de la naturaleza de los programas en cuestión.,Such limits may be differentiated according to the nature of the programmes concerned.
adjudicar,Solo me queda adjudicar la dura sentencia de la ley que es la deportación.,It's only up to me to hand down the harsh sentence of the law that is deportation.
someterá,Antes de que concluya el año eurostat someterá al parlamento europeo y al consejo.,"Before the end of the year, it will submit to the European Parliament and the Council."
riega,Dios riega el pan en la mañana y recoge el pago en la tarde.,God wateres the bread in the morning and collects the payment in the afternoon.
indiscriminadamente,No obstante debemos tener mucho cuidado de no agrupar indiscriminadamente las categorías de países.,"However, we must be very careful not to group the categories of countries indiscriminately."
azores,El presente artículo no se aplicará a la producción de piña en las azores.,This Article shall not apply to the production of pineapples in the sours.
demográficos,En cuanto a los principales indicadores socio demográficos se cuenta con los siguientes datos.,The following data are available for the main socio-demographic indicators.
aspiramos,En efecto es una contradicción flagrante del ideal de democracia al que todos aspiramos.,It is indeed a flagrant contradiction of the ideal of democracy to which we all aspire.
intensificado,La seguridad se ha intensificado hoy pero tenemos una forma de sacaros en barco.,"Security has intensified today, but we have a way to get you out by boat."
migratoria,Esta gran tendencia migratoria es solo una señal de los problemas económicos de china.,This great migratory trend is only a sign of China's economic problems.
asoció,Mientras estuvo encarcelado en lompoc se asoció con un grupo de conocidos islámicos radicales.,While imprisoned in Lompoc he partnered with a group of radical Islamic acquaintances.
abstenciones,Por votos contra y abstenciones queda aprobado el proyecto de resolución a c l.,"The draft resolution was adopted by votes to none, with abstentions."
atraparnos,Por lo que se el circulo puede repetirse y atraparnos a todos de nuevo.,So the circle can repeat itself and trap us all again.
deseadas,Sabes que hay momentos en que las personas deben enfrentarse a verdades no deseadas.,You know there are times when people must face unwanted truths.
gravísima,La gravísima situación de los derechos humanos en la república popular democrática de corea.,The extremely serious human rights situation in the Democratic People's Republic of Korea.
enfocados,Creo que hasta que tengamos una confesión tenemos que mantenernos enfocados en el premio.,I think until we have a confession we have to stay focused on the prize.
partían,Dio las gracias por su apoyo a los delegados que partían de nueva york.,He thanked the delegates who were leaving for new york for their support.
respaldó,En cuanto al futuro de europa y la reforma institucional barón respaldó el proyecto.,As for the future of Europe and the Baron institutional reform supported the project.
reflexionó,El viejo reflexionó y contestó ni siquiera podemos decir que la temperatura ha caído.,"The old man reflected and answered, “We cannot even say that the temperature has fallen.”"
embrujo,No sé porque no sé si hay un embrujo o una maldición sobre nosotros.,I don't know why I don't know if there's a spell or a curse on us.
acogidos,El resto de países de la ue se consideran actualmente acogidos a una excepción.,The rest of the EU countries are currently considered to have a derogation.
caracterizados,El concepto de práctica concertada exige la existencia de contactos caracterizados por la reciprocidad.,The concept of concerted practice requires reciprocal contacts.
evolutivos,Por tanto el desarrollo es la base de todas las teorías y estudios evolutivos.,Therefore development is the basis of all evolutionary theories and studies.
suizas,Pidiendo la formación de unidades voluntarias suizas para ir a combatir a los prusianos.,Calling for the formation of Swiss voluntary units to go and fight the Prussians.
ejecutará,La quinta etapa de la hoja de ruta las elecciones generales se ejecutará en.,The fifth stage of the road map the general elections will be implemented in.
recaídas,A copia certificada de las sentencias recaídas en cada una de las instancias judiciales.,A certified copy of the judgements handed down in each of the judicial bodies.
decaimiento,No te he dicho nada antes porque no quería que vieras mi decaimiento físico.,I haven't told you anything before because I didn't want you to see my physical decay.
culminado,Hemos dejado atrás un período muy apretado que ha culminado con una cumbre importante.,We have left behind a very tight period that has culminated in an important summit.
comprometernos,Sé que no es perfecto pero creo que los dos tenemos que comprometernos sí.,"I know it's not perfect, but I think we both have to commit to it."
consumían,Más de la mitad de los niños de a meses consumían frutas y verduras.,More than half of the children in months consumed fruits and vegetables.
catastróficas,Evaluación del riesgo de inundaciones catastróficas en la región de asia y el pacífico.,Assessment of the risk of catastrophic floods in the Asia and Pacific region.
discapacidades,La incidencia de las discapacidades es muy reducida entre los niños menores de años.,The incidence of disabilities is very low among children under age.
inocuo,En los químicos forenses descubrieron que no era el producto inocuo que pretendía ser.,Forensic chemists discovered it was not the harmless product it intended to be.
actividades,Gestión de las estadísticas y de las actividades de registro en la sede.,Management of statistics and registration activities at headquarters.
saliendo,Bueno está el pequeño asunto de que actualmente estamos saliendo con otras personas.,"Well, there's the little thing that we're actually dating other people."
pasará,Tienes una idea de lo que pasará cuando empiecen a revivir su pasado.,You have an idea what will happen when they start reviving their past.
industria,Para que pudiera llevar a la industria de la música en el futuro.,So that I could lead to the music industry in the future.
completa,Amor mío nunca tuve ia sensación de completa soledad hasta que te fuiste.,"My love, I never had a feeling of complete loneliness until you left."
acabas,Qué es lo que acabas de salir de la cárcel o algo amigo.,"What did you just get out of jail or something, buddy?"
presentar,Se invita a presentar resúme nes a más tardar el de octubre de.,Summaries are invited by October at the latest.
constitución,Por lo tanto esperamos que la constitución europea sea aprobada lo antes posible.,We therefore hope that the European constitution will be adopted as soon as possible.
trabajaba,Qué ha sido de aquel chico que trabajaba en la oficina con usted.,What happened to that guy who worked in the office with you.
adecuado,Me di cuenta de que el truco estaba en elegir el momento adecuado.,I realized that the trick was to choose the right time.
funciones,Son funciones específicas de la comisión de coordinación de prevención de riesgos laborales.,These are specific functions of the coordination commission on occupational risk prevention.
vivido,Etnonces has vivido una larga vida amigo no mucha gente lo ha hecho.,Ethnonces you've lived a long life friend not many people have.
altos,Aquí la demanda del gobierno de mano de obra mantiene altos los salarios.,Here the government's demand for labor keeps wages high.
diversas,Se hicieron diversas sugerencias sobre la forma de resolver algunas de las deficiencias.,Several suggestions were made on how to address some of the shortcomings.
dicha,La comisión consultiva pide que se facilite dicha información a la quinta comisión.,The Advisory Committee requests that this information be provided to the Fifth Committee.
procesos,A la capacidad de creación de nuevos procesos contenidos y formas de negocio.,To the ability to create new processes content and forms of business.
pecado,La gente piensa que el pecado no se paga se paga sí señor.,People think that sin is not paid is paid yes sir.
tíos,No lo sé pero esos tíos no deberían ser tan difíciles de rastrear.,"I don't know, but those guys shouldn't be that hard to track."
entrado,Bien parece que vosotros habéis entrado un poco más deprisa que los demás.,Looks like you guys got in a little faster than everybody else.
ayudarnos,Él va a ayudarnos a obtener el control de la sala de guerra.,He's gonna help us get control of the war room.
previsto,Art a los fines de lo previsto en el artículo del código aduanero.,Art. for the purposes of the Article of the Customs Code.
damos,Salimos y damos la vuelta a la casa cada uno en una direccion.,We go out and go around the house each in one direction.
gris,No es mucho pero no hay mucha desde que todo se volvió gris.,"It's not much, but there's not much since everything turned gray."
anunció,El de abril irlanda anunció la creación de un grupo de coordinación marina.,The Irish April announced the creation of a marine coordination group.
científica,Ha recibido el premio de investigación científica de la academia mexicana de ciencias.,He has received the scientific research award from the Mexican Academy of Sciences.
