rank,sentence,english_sentence
6958,No se iba a subir a la terraza.,He wasn't going up on the terrace.
6959,No se han visto desnudos el uno al otro.,They haven't seen each other naked.
6960,Tú lo quieres y ella te lo está mostrando.,You want it and she's showing it to you.
6961,Vanessa era parte de su grupo.,Vanessa was part of his group.
6962,Los haré callar de una vez por todas.,I'll shut you up once and for all.
6963,Tengo un hombre dentro que nos dará la localización.,I have a man inside who will give us the location.
6964,Se aplica a los estados miembros cuya moneda es el euro.,It applies to Member States whose currency is the euro.
6965,Ese marinero acababa de llegar de europa.,That sailor had just arrived from Europe.
6966,Te aseguro que rápidamente sabrán en la cárcel sobre tu traición.,I assure you they'll quickly know in prison about your betrayal.
6967,No hay nada malo en ser delicada.,There's nothing wrong with being delicate.
6968,El creía que era el protector de este lugar.,He thought he was the protector of this place.
6969,Bueno voy a tener que rastrear a este tipo.,"Well, I'm gonna have to track this guy down."
6970,Me encantan todos los trucos sucios que hacemos.,I love all the dirty tricks we do.
6971,Por cierto esto es para tu perrito.,"By the way, this is for your puppy."
6972,Es una especie de tinta china ya sabe.,It's some kind of Chinese ink you know.
6973,La prostitución guarda una estrecha relación con las enfermedades de transmisión sexual ets.,Prostitution is closely related to sexually transmitted diseases ets.
6974,Por qué no entras a cenar michael.,Why don't you go in for michael dinner.
6975,Es lo que siempre ha deseado.,That's what he's always wanted.
6976,Q composición étnica de la población de hong kong.,□ ethnic composition of the Hong Kong population.
6977,Son las en seattle.,It's the seattles.
6978,Beneficios de la elaboración de una infraestructura de datos espaciales.,Benefits of developing a spatial data infrastructure.
6979,Estoy seguro de que trama algo.,I'm sure he's up to something.
6980,Qué hay de la camarera.,What about the waitress.
6981,He iniciado una investigación con todas las agencias.,I've started an investigation with all the agencies.
6982,No es ninguna afirmación política sobre los sin techo.,It is no political assertion about the homeless.
6983,Estaba pensando en nuestra conversación de la otra noche con respecto a tu chica misteriosa.,I was thinking about our conversation the other night about your mystery girl.
6984,Con el fin de generar inmunidad y resistencia.,In order to generate immunity and resistance.
6985,Estuvo aquí le pagué y se fue.,He was here. I paid him and he left.
6986,No ha recibido una parte de sus cheques.,You haven't received a portion of your checks.
6987,No tenía idea de que fueras un cocinero tan fantástico.,I had no idea you were such a fantastic cook.
6988,Solo con oír eso ya sé que estas fingiendo.,Just by hearing that I know you're faking it.
6989,Debo retirar todo el dinero de mi caja de ahorros.,I have to withdraw all the money from my savings bank.
6990,Por qué ataca a la gente.,Why he attacks people.
6991,Por qué no viene con un plan más realista.,Why doesn't it come with a more realistic plan.
6992,Está completamente seguro de que es imprescindible que me vaya.,You're absolutely sure it's imperative that I leave.
6993,Quién va a matarnos a todos.,Who's gonna kill us all.
6994,Perdemos la noción de los días.,We lose track of the days.
6995,Está bien pasaré por la oficina para ver cómo le está yendo.,It's okay to stop by the office and see how he's doing.
6996,De septiembre de fecha de la primera renovación de la autorización.,September of the date of the first renewal of the authorisation.
6997,Lo es sólo que no está listo para aceptarlo.,It's just that he's not ready to accept it.
6998,Estaba en el bus esta mañana.,I was on the bus this morning.
6999,Hemos hallado espías tras búsquedas de ó años.,We've found spies after searching for years.
7000,Le voy a dar una inyección.,I'm gonna give him a shot.
7001,Lugar de celebración y cuestiones de orden práctico.,Venue and practical issues.
7002,No después de que regresé.,Not after I got back.
7003,En lo que respecta a la evolución del mar.,As regards the evolution of the sea.
7004,En la provincia de mendoza.,In the province of Mendoza.
7005,Milady buscó con los ojos a su alrededor.,Milady looked around with her eyes.
7006,No voy a despedirme de ella.,I'm not saying goodbye to her.
7007,Dicen que las enfermeras son muy buenas pista pista.,They say nurses are very good clues.
7008,Se podría solicitar más información al respecto al estado parte.,Further information could be requested from the State party.
7009,Proyecto de presupuesto básico adicional por programas para el bienio.,Proposed additional core programme budget for the biennium.
7010,Es realmente difícil atraer la atención de los medios de comunicación.,It is really difficult to attract media attention.
7011,Así que la economía definitivamente estaba al alza.,So the economy was definitely up.
7012,Qué bien porque hay seis docenas más en la sala de archivos.,Good because there's six dozen more in the file room.
7013,La cerveza me da gases.,Beer gives me gas.
7014,El código koatuu es el código postal y el prefijo telefónico.,The koatuu code is the postal code and the telephone prefix.
7015,Hacer frente a las fluctuaciones de la demanda en determinadas épocas.,Coping with fluctuations in demand at certain times.
7016,Por lo tanto salvo que tenga su señoría informaciones más recientes este problema habría quedado resuelto.,"Therefore, unless your honor has more recent information, this problem would have been solved."
7017,Otros obstáculos están relacionados con la capacidad y las cuestiones de procedimiento.,Other obstacles relate to capacity and procedural issues.
7018,A lo mejor me podrías pegar de nuevo.,Maybe you could hit me again.
7019,Dijiste que no tenías planes firmes con ella.,You said you didn't have firm plans with her.
7020,Cumplimiento de las leyes electorales.,Compliance with electoral laws.
7021,Ciencias y tecnologías marinas d ciencias y tecnologías de la vida.,Marine science and technology of life sciences and technologies.
7022,Señor presidente estamos aquí porque francia y los países bajos han rechazado la constitución.,"Mr President, we are here because France and the Netherlands have rejected the constitution."
7023,También convertir campos y tablas en documentos de textos.,Also convert fields and tables into text documents.
7024,La amenaza nazi fue eliminada.,The Nazi threat was eliminated.
7025,No usé el baño que estaba en el césped.,I didn't use the bathroom that was on the lawn.
7026,Estoy probando los otros canales.,I'm testing the other channels.
7027,Se suicidó porque era un ladrón.,He killed himself because he was a thief.
7028,Pettison no hablará mal de pettison.,Pettison won't speak ill of pettison.
7029,Está en esa casa y su papá es un psicópata.,He's in that house and his dad's a psychopath.
7030,El éxito de organismo es la adaptación del organismo.,The success of the organism is the adaptation of the organism.
7031,No sé si será suficiente mateo.,I don't know if it'll be enough mateo.
7032,Es parte de mi colección de crucero de primavera.,It's part of my spring cruise collection.
7033,Nunca he matado ni a una mosca en mi vida.,I've never killed a fly in my life.
7034,Acércate un poco un poco más cerca.,Come a little closer.
7035,Cuál es tu horario estimado.,What's your estimated schedule?
7036,Ajá por qué no vamos todos a tomar algo.,Uh-huh. Why don't we all go for a drink.
7037,Ya sabes para estrechar lazos o algo así.,"You know, bonding or something."
7038,Por un momento sonaba como si tú estuvieras.,For a moment it sounded like you were.
7039,Estoy ansioso porque esto sea un éxito en el mercado.,I'm looking forward to this being a success on the market.
7040,Ll dejar a operar bajo su nombre.,I'll let you operate under his name.
7041,Un poco de pelo fino en el pecho.,A little thin hair on the chest.
7042,Estaba en una casa al este de cleveland.,I was in a house east of Cleveland.
7043,Es un programa diseñado para producir una autodestrucción.,It's a program designed to produce self-destruction.
7044,Industrial limitado a categorías y situaciones a b y c.,Industrial limited to categories and situations a b and c.
7045,Este post es parte de nuestra cobertura especial de derechos indígenas.,This post is part of our special coverage of indigenous rights.
7046,No no cariño no he bajado para ayudarte.,"No, no, honey, I didn't come down to help you."
7047,Creí que debía luchar con enfermedades mortales en algún sitio.,I thought I had to fight deadly diseases somewhere.
7048,Por desgracia estamos obligados por la ley.,"Unfortunately, we are bound by the law."
7049,Es necesario que sacarme de aquí.,You need to get me out of here.
7050,No quiero que la bata me vea así.,I don't want the robe to see me like this.
7051,Cuándo te darás cuenta que estoy aquí por una razón.,When you'll realize I'm here for a reason.
7052,Va a ser muy importante que los competidores den vueltas cerradas.,It's going to be very important for competitors to turn around closed.
7053,Soy el que tiene que pesar todo y medir todo.,I'm the one who has to weigh everything and measure everything.
7054,Es lo que tus abuelos querrían.,It's what your grandparents would want.
7055,Voy a mandar a alguien a holanda.,I'm going to send someone to Dutch.
7056,Premio a la excelencia geum jan di escuela secundaria shinhwa.,Award for excellence geum jan di high school shinhwa.
7057,Me parece trágico tener que enseñar al comité.,I find it tragic to have to teach the committee.
7058,No es una foto de acoso.,It's not a harassment photo.
7059,Por qué no vienes a entrenar mañana.,Why don't you come train tomorrow.
7060,Por qué no ves a un terapeuta.,Why don't you see a therapist.
7061,Por qué no reconoces la verdad.,Why don't you recognize the truth.
7062,Tengo una pregunta sobre tu inauguración de esta noche.,I have a question about your opening tonight.
7063,Creo que se puede hacer alguna sugerencia.,I think you can make some suggestions.
7064,Van a hacer los arreglos para el entierro.,They're going to make arrangements for the burial.
7065,Se ven mucho esas miradas entre ellos.,You see a lot of those looks between them.
7066,A comienzos del año se estimaba en algo más de barriles diarios.,At the beginning of the year it was estimated to be slightly more barrels a day.
7067,El capitán no cumplió su parte del trato.,The captain didn't keep his end of the bargain.
7068,La coordinación de las campañas de publicidad institucional del departamento.,Coordination of institutional advertising campaigns in the department.
7069,Tenías razón sobre la cuota de mantenimiento lo cubre todo.,You were right about the maintenance fee covers everything.
7070,El proyecto de la tierra ha fracasado.,The land project has failed.
7071,Habrá que andar con pies de plomo.,We'll have to walk on lead feet.
7072,También hay que tener año de antigüedad a la empresa.,It is also necessary to have year of seniority to the company.
7073,El reino unido ha experimentado una evolución muy rápida desde.,The united kingdom has undergone a very rapid evolution since.
7074,Las dos terceras partes de sus integrantes.,Two thirds of its members.
7075,Javier y yo somos muy diferentes porque nos amamos.,Javier and I are very different because we love each other.
7076,Yo no te he capturado.,I didn't catch you.
7077,No está en el quirófano.,He's not in the O.R.
7078,Qué estabas haciendo subida en el muro.,What were you doing up on the wall.
7079,Nos vemos en el arroyo.,See you at the creek.
7080,El plan de turismo de cataluña ha de contener.,The Catalan tourism plan must contain.
7081,Quiero ir a echar un vistazo a los fragmentos de bala.,I want to go take a look at the bullet fragments.
7082,Parece que ha habido un terremoto en este lugar.,Looks like there's been an earthquake in this place.
7083,Ahora tú dinos lo que no se ve.,Now you tell us what you don't see.
7084,Ahora creo que tengo la gripe.,Now I think I have the flu.
7085,Las visiones se han ido.,The visions are gone.
7086,Se encuentra en el atlántico norte cabo verde.,It is located in the north Atlantic green cape.
7087,No has oído de la revolución agrícola urbana.,You haven't heard of the urban agricultural revolution.
7088,Es una especie de caldo de pescado.,It's some kind of fish broth.
7089,No hay nada que puedan hacer acerca de su pene enano.,There's nothing you can do about your dwarf penis.
7090,Tres meses y no pude sacarle una palabra.,Three months and I couldn't get a word out of him.
7091,Así que hablaron de mí.,So they talked about me.
7092,Hoy saldré un poco más tarde.,I'll be out a little later today.
7093,No creo que quiera contestar más preguntas tuyas.,I don't think he wants to answer any more questions from you.
7094,Por qué debe venir aquí a ayudarlos.,Why you must come here to help them.
7095,El entonces presidente de la corporación de la universidad harvard dijo sobre el incidente.,The then president of the Harvard university corporation said about the incident.
7096,Volveré a la escuela el próximo semestre.,I'm going back to school next semester.
7097,El contrabando de tu padre me causó dolor toda mi vida.,Your father's smuggling caused me pain my whole life.
7098,He pensado en la forma de facilitar las cosas.,I've been thinking about how to make things easier.
7099,Tenía que ser infinito y para siempre y en todos sitios.,It had to be infinite and forever and everywhere.
7100,Nunca debería haberlo expuesto a esto.,I should never have exposed him to this.
7101,Era famoso en todo el país de las maravillas.,He was famous all over Wonderland.
7102,No nos vamos a separar.,We're not gonna split up.
7103,Creo que houston tiene un problema.,I think houston has a problem.
7104,Por qué no se lo preguntaste a la reina.,Why didn't you ask the queen?
7105,Guía de trastornos de sueño entendiendo el sueño.,Guide to sleep disorders understanding sleep.
7106,Por supuesto no se lo puede culpar.,Of course you can't blame him.
7107,La sangre de mis venas.,The blood of my veins.
7108,También se jugaba de a once el fútbol en esta epoca.,Football was also played for eleven at this time.
7109,El dolor que evito que sientas tienes que sentirlo.,"The pain I prevent you from feeling, you have to feel it."
7110,El santo ausente vela no tiene.,The absent saint has no candle.
7111,También se examinará el grado de cumplimiento de la caja y sus estructuras de costos.,The level of compliance of the cashier and its cost structures will also be reviewed.
7112,Me gustaría que ustedes me tuvieran un poco más de confianza.,I'd like you guys to have a little more confidence in me.
7113,Es un ahorro de tiempo.,It's a time saving.
7114,Voy a la bodega de vinos.,I'm going to the wine cellar.
7115,No es muy fuerte es vergonzoso para usted.,It's not very strong. It's embarrassing for you.
7116,A lo mejor le ha dado un infarto.,Maybe he's had a heart attack.
7117,Las partes en las que se suspendió su carácter confidencial por qué.,The parties where their confidentiality was suspended as to why.
7118,Colección de las crónicas y memorias de los reyes de castilla.,Collection of the Chronicles and Memories of Castilla Kings.
7119,El informe propone un componente importante de efectivos policiales de las naciones unidas.,The report proposes an important component of the United Nations police force.
7120,Reconocimiento sor juana inés de la cruz para académicas destacadas.,Recognition Sr juana inés de la cruz for outstanding scholars.
7121,Estoy seguro de que nadie pensaría así de ti.,I'm sure no one would think of you that way.
7122,De hecho ya no pareces tan hambriento.,"In fact, you don't seem so hungry anymore."
7123,Es un instrumento singular de grandes dimensiones y peso considerable.,It is a unique instrument of great dimensions and considerable weight.
7124,Yo voy a la escuela católica santa mónica.,I go to Holy Monica Catholic school.
7125,En la escuela de periodismo o la de derecho.,In journalism school or law school.
7126,Soy de los que se sientan en su habitación.,I'm one of those who sits in your room.
7127,Hace mucho tiempo que no lo hacíamos.,We haven't done it in a long time.
7128,No sé por qué hablas de ella con tanto rencor.,I don't know why you're talking about her with such a grudge.
7129,Bueno ya no son exactamente las protagonistas.,"Well, they're not exactly the protagonists anymore."
7130,Dios le había dicho a los árabes.,God had told the Arabs.
7131,Entonces le mandó una nota de agradecimiento.,Then he sent her a thank-you note.
7132,No creo que sea inventado.,I don't think it's invented.
7133,No ellos nos han dado su consentimiento.,They haven't given us their consent.
7134,La gente sólo viene a conocer a alguien con quien acostarse.,People only come to meet someone to sleep with.
7135,Tiene un nuevo servidor o como sea que se llame.,You have a new server or whatever it's called.
7136,Área de oficinas metros cuadrados.,Office area square meters.
7137,Las comisiones del banco son absurdas.,Bank commissions are absurd.
7138,Además de que les compro el pan patatas y azúcar.,Besides I buy them bread potatoes and sugar.
7139,El archivo de gene nelson es un desastre.,The gene nelson file is a disaster.
7140,No quiero complicaciones ni compromisos es todo lo que digo.,I don't want complications or compromises. That's all I'm saying.
7141,De dichos programas pueden formar parte diversos planes para la industria.,Various industry plans may be part of such programmes.
7142,Cuatro de cinco aquí también te odian a ti.,"Four out of five here hate you, too."
7143,Tú has sido mi ruina.,You've been my ruin.
7144,Hasta marzo usé mi identidad masculina para ir a la escuela.,Until March I used my male identity to go to school.
7145,Estoy más cómodo disparando a ese tío que a los polis.,I'm more comfortable shooting that guy than the cops.
7146,Ninguna de mis fuentes habituales ha funcionado.,None of my usual sources have worked.
7147,Todos los seres vivos poseen todos su propia estrella.,All living beings possess their own star.
7148,Ya estoy harto de ti y de tu televisor.,I've had enough of you and your TV.
7149,No te dije que no vinieras a mi casa.,I didn't tell you not to come to my house.
7150,No creo que tu padre venga dulzura.,I don't think your father's coming sweet.
7151,Estás seguro de que ese cuadro está recto.,You're sure that picture is straight.
7152,La comprensión de la empresa entre todas las capas de la población.,The understanding of the company among all layers of the population.
7153,La verdad es que se está haciendo tan insoportable que no puedo ni visitar mis pacientes.,"The truth is, it's getting so unbearable that I can't even visit my patients."
7154,Él no tuvo dinero para comprar la finca.,He didn't have money to buy the estate.
7155,El rey de jerusalén morirá pronto.,The king of Jerusalem will die soon.
7156,Es necesario modificar el reglamento ce no en consecuencia.,It is necessary to amend the Regulation no longer accordingly.
7157,No hay señales de robo en la suite.,No sign of theft in the suite.
7158,Dije revisa una y otra vez.,I said check over and over again.
7159,Me gustó lo que dijo sobre agrega algo a sus vidas.,I liked what he said about adding something to their lives.
7160,No hay garantías de que yo vaya a despertar mañana.,There's no guarantee that I'll wake up tomorrow.
7161,Participación de la representación sindical.,Participation of trade union representatives.
7162,Los griegos adoptaron dos épocas basándose en alejandro magno son las siguientes.,The Greeks adopted two epochs based on Magno Alexandria are the following.
7163,F javier gutiérrez director de cine español.,F javier gutierrez Spanish film director.
7164,No hay nada para ofender a un hombre razonable.,There's nothing to offend a reasonable man.
7165,Hay alguien en el tejado.,There's someone on the roof.
7166,Es sorprendente que la gente siga viva aquí en colorado.,It's amazing that people are still living here in red.
7167,Lo importante es que me he acordado.,The important thing is that I remembered.
7168,Por qué necesita tres asistentes.,Why you need three assistants.
7169,Al principio no entendía por qué harías algo así.,At first I didn't understand why you'd do something like that.
7170,Valió verga si ya le pertenecía a algo más.,It was a dick if it already belonged to something else.
7171,Para que lo sepas nunca he sido más vulnerable.,"Just so you know, I've never been more vulnerable."
7172,No puedo creer que tenga las agallas de llamarlo loco.,I can't believe I have the guts to call him crazy.
7173,Señor presidente tenemos una enmienda oral al apartado.,"Mr President, we have an oral amendment to the paragraph."
7174,Ya sabes que la abuela lloyd no me deja ver versiones r en casa.,You know Grandma lloyd won't let me see r versions at home.
7175,Lenguas en peligro en el sitio web de la unesco.,Languages in danger on the unesco website.
7176,Por cierto le he dicho lo mucho que odio halloween.,"By the way, I told you how much I hate halloween."
7177,El gobierno negó públicamente que tuviera nada que ver con el asunto.,The government publicly denied that it had anything to do with the matter.
7178,Mira yo culpo a los padres.,"Look, I blame the parents."
7179,Tu marido va a renunciar a la candidatura.,Your husband's gonna give up the candidacy.
7180,Las pongo en la exhibición en la mañana.,I put them on the show in the morning.
7181,Quiero decir él va a ser un corresponsal de guerra.,"I mean, he's gonna be a war correspondent."
7182,Con las marcas de la dentadura de jon voight.,With the denture marks of jon vote.
7183,Es todo lo que tienes pedazo de maricón.,"That's all you got, you piece of faggot."
7184,Bueno eso es sólo una foto de una tortuga.,Well that's just a picture of a turtle.
7185,Es necesario incluir también este aspecto en nuestras diferentes estrategias y documentos.,This aspect also needs to be included in our different strategies and documents.
7186,Te voy a enviar un fax ahora mismo.,I'm sending you a fax right now.
7187,También tenemos que dejar de hacer de ello una ideología.,We must also stop making this an ideology.
7188,Sólo son inmigrantes a quién le importa.,They're just immigrants who care.
7189,Nos reunimos mañana frente a la opera.,We'll meet tomorrow in front of the opera.
7190,Me siento viva de nuevo como en la rebelión.,I feel alive again as in rebellion.
7191,La copa mundial de en suecia.,The World Cup in Sweden.
7192,Oh bueno yo estaba escuchando a escondidas.,"Oh, well, I was sneaking around."
7193,Se lo dijo en su lecho de muerte.,He told him on his deathbed.
7194,Es el capitán ramírez señor.,It's Captain Ramírez sir.
7195,No será que me ibas a extrañar.,It won't be like you're gonna miss me.
7196,Un padre que te hace llevar ropa ridícula.,A father who makes you wear ridiculous clothes.
7197,El socialismo está en la libertad de las masas.,Socialism is in the freedom of the masses.
7198,La unesco declara a santiago de compostela como patrimonio de la humanidad.,Unesco declares Santiago de compostela as the heritage of humanity.
7199,El único problema era que no le quedaban.,The only problem was he didn't have any left.
7200,Le robé la mujer a un hombre considerado.,I stole the woman from a thoughtful man.
7201,Te dije que no quiero borrachos en esta casa.,I told you I don't want drunks in this house.
7202,Tú y tu mamá se ayudaron mutuamente.,You and your mom helped each other.
7203,Es un excelente amante muy atento.,He's an excellent lover very attentive.
7204,La comisión no había respondido a su correspondencia.,The commission had not responded to his correspondence.
7205,Por qué no intentaron llamarte leo.,Why they didn't try to call you Leo.
7206,Los traía de vuelta muy tarde a propósito.,I was bringing them back very late on purpose.
7207,No puedo creer que hayas sido tan afortunada.,I can't believe you were so lucky.
7208,Está muy bien divertirse pero algunos tenemos que trabajar.,"It's great to have fun, but some of us have to work."
7209,Lo que lo genera dentro tiene que ser increíble.,What generates it inside has to be amazing.
7210,Apuesto a que te mueres de ganas de salir de aquí.,I bet you're dying to get out of here.
7211,Por qué sencillamente no te tomas la noche libre.,Why don't you just take the night off.
7212,Le puso símbolos de dólares en sus ojos.,He put dollar symbols in his eyes.
7213,Te diré lo que sé si me sacas de aquí.,I'll tell you what I know if you get me out of here.
7214,Lo que han robado supera los mil millones.,What they've stolen is over a billion.
7215,Tenemos un montón de cosas aquí en el planeta iu iu.,We have a lot of stuff here on the planet iu iu.
7216,Tu sabes todo sobre conexiones.,You know all about connections.
7217,Así pues continuamente se nos está declarando la guerra.,So we are continually being declared war.
7218,Nadie me ordena lo que tengo o no tengo que hacer.,No one orders me what I have or don't have to do.
7219,Espero que no haya serpientes por aquí.,I hope there's no snakes around here.
7220,Estaba a punto de ir a despedir a alguien.,I was just about to go and fire someone.
7221,Sabes tal vez no estamos buscando a un ave ardiente.,"You know, maybe we're not looking for a hot bird."
7222,Creo que tiene al flecha verde equivocado.,I think you've got the wrong green arrow.
7223,Se ve bien el recinto hizo un gran trabajo.,Looks good. The precinct did a great job.
7224,Usan tarjetas de memoria flash pero en realidad no es.,"They use flash memory cards, but it's not really."
7225,No tienes ni idea en lo que te estás metiendo.,You have no idea what you're getting into.
7226,Un momento tan histórico y tú te preocupas por mi traje.,Such a historic moment and you care about my suit.
7227,Estudios regionales europeos en de la línea.,European regional studies on the line.
7228,Un fuerte aplauso para estos chicos.,Give it up for these guys.
7229,La huelga es tomarse la justicia por su mano.,The strike is to take justice by his hand.
7230,La ironía es lo primero que se me viene a la mente.,Irony is the first thing that comes to mind.
7231,La mayoría de los hombres sufren sus catástrofes pronto.,Most men suffer their catastrophes soon.
7232,Soy el representante de bob crane y damos una fiesta después.,I'm bob crane's manager and we're having a party later.
7233,No puedo creer que te hicieran eso a ti.,I can't believe they did that to you.
7234,Supongo que es el fin de la velada.,I guess it's the end of the evening.
7235,De diciembre mariano martínez actor argentino.,December Marian Martinez Argentine actor.
7236,No has usado esa hacha en mucho tiempo.,You haven't worn that axe in a long time.
7237,Fuimos acusados de crueles por su gobierno.,We were accused of being cruel by your government.
7238,Pensaba que yo era arrogante y malcriado.,I thought I was arrogant and spoiled.
7239,No voy a justificar tu locura para hacerte sentir mejor.,I'm not gonna justify your madness to make you feel better.
7240,Mi programa de reproducción está en marcha otra vez.,My reproduction program is back on track.
7241,Quiero agradecer lo de la cinta.,I want to thank you for the tape.
7242,Tengo una cicatriz en la cara.,I have a scar on my face.
7243,Todos andan detrás de ese trabajo.,Everybody's after that job.
7244,Las cosas más bellas del mundo son las más inútiles.,The most beautiful things in the world are the most useless.
7245,No tengo habitaciones para desconocidos.,I don't have rooms for strangers.
7246,Ella me traerá de regreso.,She'll bring me back.
7247,No creo que el tipo de allá arriba pueda manejarlo.,I don't think the guy up there can handle it.
7248,No abandona una prenda mientras le es útil.,Do not leave a garment while it is useful to you.
7249,El administrador del hospital tiene toda la información.,The hospital administrator has all the information.
7250,Así que respira hondo vale.,So take a deep breath.
7251,La magnitud absoluta de es.,The absolute magnitude of it is.
7252,Desde entonces ha caído en picado.,Since then it has plummeted.
7253,Ya sabes lo que sacamos con la web el mes pasado.,You know what we got out of the web last month.
7254,Cuál es el salario mínimo en georgia.,What is the minimum wage in georgia.
7255,El objetivo es el suministro de agua de la ciudad.,The goal is the city's water supply.
7256,Durante el juego aparecerán enemigos clásicos.,During the game classic enemies will appear.
7257,No sé si es un delito robar a un delincuente.,I don't know if it's a crime to steal a criminal.
7258,Qué pasó con la tolerancia y diversidad de la isla.,What happened to the island's tolerance and diversity.
7259,Bueno eso es difícilmente tu culpa.,"Well, that's hardly your fault."
7260,Voy a la puerta lateral del castillo.,I'm going to the side door of the castle.
7261,Así es como vamos a ejecutar esto.,That's how we're gonna execute this.
7262,Cómo es ser la mascota de alguien.,What it's like to be someone's pet.
7263,Menuda forma de hablar de tu hermano.,That's a good way to talk about your brother.
7264,Apoyo a la aplicación de los tratados.,Support for the implementation of treaties.
7265,Dicen que trabajas en la planta de douglas.,They say you work at the douglas plant.
7266,Eres un traidor y solo quieres estar con prostitutas.,You're a traitor and you just want to be with hookers.
7267,Por qué conserva sus manos y pies.,Why he keeps his hands and feet.
7268,Es solo cuestión de tiempo hasta que demos con ellos.,It's only a matter of time before we find them.
7269,Yo nací en las tierras altas de escocia.,I was born in the Highlands of Scotland.
7270,Colaboración y movilización de recursos en pro de los niños.,Collaboration and resource mobilization for children.
7271,Los signos vitales están volviendo a la normalidad.,Vital signs are returning to normal.
7272,Banco de la provincia de córdoba.,Bank of the province of córdoba.
7273,Voy a soltar un poco de calor.,I'm gonna let go of some heat.
7274,No estoy autorizado para verlo.,I'm not authorized to see him.
7275,Claro que es una canción con muchos versos.,Of course it's a song with a lot of verses.
7276,A mí me parece un mal bicho.,He looks like a bad bug to me.
7277,Mira no puedo llegar a donde estoy si no se detectar a un ganador.,"Look, I can't get where I am if I don't spot a winner."
7278,Qué te dije de la gorra.,What did I tell you about the hat?
7279,No veo el momento de volver a ver a homero.,I can't wait to see homer again.
7280,El pueblo obrero se obliga a trabajar sobre las condiciones siguientes.,The working people are forced to work on the following conditions.
7281,Bueno todos llegaremos al cielo eventualmente no es así.,"Well, we'll all get to heaven eventually, it's not like that."
7282,Quiero que me mates pero no quiero verlo venir.,"I want you to kill me, but I don't want to see it coming."
7283,El objetivo de resultaba por tanto osado y ambicioso.,The aim was therefore bold and ambitious.
7284,Bueno no era la primera vez que pedía un plazo.,"Well, it wasn't the first time I asked for a deadline."
7285,No tienes un país que gobernar.,You don't have a country to govern.
7286,Por qué no hay mujeres sacerdotes.,Why there are no female priests.
7287,A este fin se produjeron guías y manuales de orientación destinados a diferentes actores.,Guidelines and guidance manuals for different actors were produced for this purpose.
7288,Lo he destrozado a golpes yo lo he pegado.,I beat him to death. I beat him to death.
7289,Por lo que estoy haciendo una decisión ejecutiva.,So I'm making an executive decision.
7290,Era un verdadero doctor se preocupaba por sus pacientes.,He was a real doctor who cared about his patients.
7291,No todo es socializar en bares estar de moda tengo esta dulce tarta.,Not all is socializing in bars being fashionable I have this sweet cake.
7292,Modificaciones del anexo i de la decisión ce.,Amendments to Annex I to Decision C.
7293,El delegado del gobierno en barcelona.,The government delegate in barcelona.
7294,Cierto cuándo me vas a dar una foto de chan young.,True when you're going to give me a picture of chan young.
7295,Obviamente su vida fue más excitante que la mía.,Obviously his life was more exciting than mine.
7296,Datos de la observación n para todas las variables.,Observation data n for all variables.
7297,Claro y es una mentira integral.,"Of course, and it's a complete lie."
7298,Nos vemos más tarde en el vestíbulo.,See you later in the lobby.
7299,Del defecto de la nariz no me había dado cuenta.,I hadn't noticed the nose defect.
7300,Nunca tuve la oportunidad de examinar a uno vivo.,I never had a chance to examine one alive.
7301,Escucha tengo que ir al bingo de acuerdo.,Listen I have to go to bingo okay.
7302,De manera diferente que totalmente a la deriva.,In a different way than totally drifting.
7303,De magnitud aparente se encuentra a años luz del sistema solar.,Of apparent magnitude is found light years from the solar system.
7304,Tal vez eso es una dirección para explorar.,Maybe that's an address to explore.
7305,En los restantes casos se aplicará el tipo de cambio del consejo.,"In the remaining cases, the exchange rate of the council shall apply."
7306,Yo aún no lo logré.,I haven't made it yet.
7307,Oh ahora sé que hay un final inesperado.,Oh now I know there's an unexpected ending.
7308,De todas formas qué hacen una o dos píldoras.,"Anyway, what do one or two pills do?"
7309,Deberías sentirte orgulloso de estar donde estás.,You should be proud to be where you are.
7310,Qué tal te ha ido el seminario.,How did the seminar go?
7311,Fue un acontecimiento inesperado hasta que apareció en la televisión.,It was an unexpected event until he appeared on television.
7312,Creo que a bell le gustaría saber que su esposa tiene algo para recordarla.,I think bell would like to know that his wife has something to remember her.
7313,El mensaje dejaba muy claro que los dos se encontraban bien.,The message made it very clear that the two were fine.
7314,Creo que aprendió a volar en la primera guerra mundial.,I think he learned how to fly in the First World War.
7315,Debería haber castigado a uno de ellos por lo menos.,I should have punished one of them at least.
7316,No tenemos mucho tiempo pero aquí podemos hablar libremente.,We don't have much time but here we can talk freely.
7317,No estoy listo para rodar a un rincón.,I'm not ready to roll into a corner.
7318,Es un movimiento continuo un acompañamiento.,It is a continuous movement an accompaniment.
7319,Así que hablaban de eso.,So they were talking about it.
7320,Todos los demás pensaron que bromeaba.,Everyone else thought I was joking.
7321,Tiene que ser algo más dramático.,It has to be something more dramatic.
7322,Así que hay que olvidarlo.,So let's forget it.
7323,A decir verdad siento que mi ego está un poco más alto.,"To tell you the truth, I feel like my ego is a little higher."
7324,Pensé que podríamos empezar hablando de la interfaz de usuario.,I thought we could start by talking about the user interface.
7325,Bueno está claro que tenemos que ampliar nuestras miras.,"Well, it's clear that we need to broaden our sights."
7326,Solo hay una cosa que no puedo quitarme de la cabeza y es.,There's only one thing I can't get out of my head and it is.
