rank,lemma,original_lemma,new_translation,variant_relation,reason
5174,mexicanos,mexicano,compare mexiquense) (masculine plural),masculine_plural_of_original,o_to_os
5176,dueños,dueño,owner; landlord; proprietor (masculine plural),masculine_plural_of_original,o_to_os
5177,mesas,mesa,table (plural),plural_of_original,plus_s
5178,mundos,mundo,world; earth (masculine plural),masculine_plural_of_original,o_to_os
5184,ramas,rama,branch (plural),plural_of_original,plus_s
5185,turistas,turista,tourist (plural),plural_of_original,plus_s
5188,ejemplos,ejemplo,example (masculine plural),masculine_plural_of_original,o_to_os
5198,obreros,obrero,worker; working class (masculine plural),masculine_plural_of_original,o_to_os
5202,cristianos,cristiano,Christian (masculine plural),masculine_plural_of_original,o_to_os
5204,demandas,demanda,demand (plural),plural_of_original,plus_s
5208,raras,raro,rare (feminine plural),feminine_plural_of_original,o_to_as
5214,sustancias,sustancia,substance (plural),plural_of_original,plus_s
5215,famosos,famoso,famous; well-known (masculine plural),masculine_plural_of_original,o_to_os
5219,atrapados,atrapado,stuck; caught; trapped; captured (masculine plural),masculine_plural_of_original,o_to_os
5230,cristina,cristino,a kind of military hat (feminine singular),feminine_of_original,o_to_a
5234,tribunales,tribunal,court (plural),plural_of_original,plus_es
5239,británicos,británico,British (masculine plural),masculine_plural_of_original,o_to_os
5242,quejas,queja,gripe; grumble; complaint; grievance (plural),plural_of_original,plus_s
5257,aburrida,aburrido,bored; fed up (feminine singular),feminine_of_original,o_to_a
5259,falsos,falso,false; untrue (masculine plural),masculine_plural_of_original,o_to_os
5263,cintas,cinta,ribbon; worn by girls in the hair (plural),plural_of_original,plus_s
5267,mágica,mágico,magic; magical (feminine singular),feminine_of_original,o_to_a
5268,entrevistas,entrevista,interview (plural),plural_of_original,plus_s
5281,planetas,planeta,planet (plural),plural_of_original,plus_s
5284,salgas,salga,I go out (plural),plural_of_original,plus_s
5289,bellas,bello,fair; beautiful (feminine plural),feminine_plural_of_original,o_to_as
5292,músicos,músico,musical (masculine plural),masculine_plural_of_original,o_to_os
5301,abogada,abogado,lawyer; counsel; solicitor (feminine singular),feminine_of_original,o_to_a
5302,harta,harto,tired; fed up; fed up [with de] (feminine singular),feminine_of_original,o_to_a
5304,ligera,ligero,light; not heavy (feminine singular),feminine_of_original,o_to_a
5308,honesta,honesto,honest (feminine singular),feminine_of_original,o_to_a
5317,argumentos,argumento,argument (masculine plural),masculine_plural_of_original,o_to_os
5327,espectadores,espectador,viewer; spectator (plural),plural_of_original,plus_es
5343,filas,fila,row; line; rank; file (plural),plural_of_original,plus_s
5347,cristiana,cristiano,Christian (feminine singular),feminine_of_original,o_to_a
5350,cerrados,cerrado,shut; closed (masculine plural),masculine_plural_of_original,o_to_os
5353,vasos,vaso,drinking glass (masculine plural),masculine_plural_of_original,o_to_os
5355,bolsillos,bolsillo,pocket (masculine plural),masculine_plural_of_original,o_to_os
5359,británica,británico,British (feminine singular),feminine_of_original,o_to_a
5360,estupenda,estupendo,stupendous (feminine singular),feminine_of_original,o_to_a
5368,iglesias,iglesia,church (plural),plural_of_original,plus_s
5371,preocupados,preocupado,worried; concerned (masculine plural),masculine_plural_of_original,o_to_os
5372,interesados,interesado,interested (masculine plural),masculine_plural_of_original,o_to_os
5378,italiana,italiano,Italian (feminine singular),feminine_of_original,o_to_a
5380,pases,pase,pass; permit (plural),plural_of_original,plus_s
5381,intensa,intenso,strong; intense (feminine singular),feminine_of_original,o_to_a
5385,tiros,tiro,shot; gunshot (masculine plural),masculine_plural_of_original,o_to_os
5390,sobrina,sobrino,female equivalent of sobrino: niece (feminine singular),feminine_of_original,o_to_a
5391,agujeros,agujero,hole (masculine plural),masculine_plural_of_original,o_to_os
5395,gentes,gente,people (plural),plural_of_original,plus_s
5397,inteligentes,inteligente,intelligent (plural),plural_of_original,plus_s
5398,mentes,mente,mind; intellect (plural),plural_of_original,plus_s
5400,partículas,partícula,particle (plural),plural_of_original,plus_s
5402,financieros,financiero,financial (masculine plural),masculine_plural_of_original,o_to_os
5405,insectos,insecto,insect (masculine plural),masculine_plural_of_original,o_to_os
5409,especialistas,especialista,specialist (plural),plural_of_original,plus_s
5413,celosa,celoso,jealous (feminine singular),feminine_of_original,o_to_a
5417,duras,duro,hard (feminine plural),feminine_plural_of_original,o_to_as
5418,agencias,agencia,agency (plural),plural_of_original,plus_s
5423,usuarios,usuario,user (masculine plural),masculine_plural_of_original,o_to_os
5429,goma,gomo,rubber (feminine singular),feminine_of_original,o_to_a
5431,olas,ola,wave (plural),plural_of_original,plus_s
5433,penas,pena,punishment (plural),plural_of_original,plus_s
5435,proteínas,proteína,protein (plural),plural_of_original,plus_s
5436,vampiros,vampiro,vampire (masculine plural),masculine_plural_of_original,o_to_os
5438,vecina,vecino,neighbour (feminine singular),feminine_of_original,o_to_a
5440,sana,sano,sound; healthy (feminine singular),feminine_of_original,o_to_a
5443,fija,fijo,fixed (feminine singular),feminine_of_original,o_to_a
5445,amada,amado,beloved (feminine singular),feminine_of_original,o_to_a
5446,jodida,jodido,darned; crappy; fucking (feminine singular),feminine_of_original,o_to_a
5447,novios,novio,boyfriend (masculine plural),masculine_plural_of_original,o_to_os
5455,italianos,italiano,Italian (masculine plural),masculine_plural_of_original,o_to_os
5456,créditos,crédito,credit (masculine plural),masculine_plural_of_original,o_to_os
5461,urgencias,urgencia,emergency room (plural),plural_of_original,plus_s
5469,particulares,particular,specific (plural),plural_of_original,plus_es
5477,indígenas,indígena,indigenous (plural),plural_of_original,plus_s
5483,finanzas,finanza,finance (plural),plural_of_original,plus_s
5490,explosivos,explosivo,explosive (masculine plural),masculine_plural_of_original,o_to_os
5496,lobos,lobo,wolf (masculine plural),masculine_plural_of_original,o_to_os
5502,trenes,tren,train (plural),plural_of_original,plus_es
5518,oscuras,oscuro,dark (feminine plural),feminine_plural_of_original,o_to_as
5519,cuánta,cuánto,how much (feminine singular),feminine_of_original,o_to_a
5526,correos,correo,post office (masculine plural),masculine_plural_of_original,o_to_os
5536,manchas,mancha,spot; stain (plural),plural_of_original,plus_s
5542,cualidades,cualidad,quality (plural),plural_of_original,plus_es
5557,unida,unido,united (feminine singular),feminine_of_original,o_to_a
5561,peligrosos,peligroso,perilous; dangerous (masculine plural),masculine_plural_of_original,o_to_os
5563,frutos,fruto,edible or not; whether sweet or not; any fruit from a plant (masculine plural),masculine_plural_of_original,o_to_os
5565,desconocida,desconocido,unknown; undisclosed; unbeknownst (feminine singular),feminine_of_original,o_to_a
5568,mona,mono,fuddle; drunkenness (feminine singular),feminine_of_original,o_to_a
5569,probabilidades,probabilidad,probability (plural),plural_of_original,plus_es
5574,aventuras,aventura,adventure (plural),plural_of_original,plus_s
5575,anuncios,anuncio,announcement (masculine plural),masculine_plural_of_original,o_to_os
5582,activos,activo,active (masculine plural),masculine_plural_of_original,o_to_os
5587,poemas,poema,poem (plural),plural_of_original,plus_s
5589,cervezas,cerveza,beer (plural),plural_of_original,plus_s
5598,seguidores,seguidor,follower (plural),plural_of_original,plus_es
5602,graciosa,gracioso,funny; amusing (feminine singular),feminine_of_original,o_to_a
5608,carreteras,carretero,road; street (feminine plural),feminine_plural_of_original,o_to_as
5610,ensayos,ensayo,essay; paper; nonfiction (masculine plural),masculine_plural_of_original,o_to_os
5611,empieces,empiece,start (plural),plural_of_original,plus_s
5617,llenas,lleno,full (feminine plural),feminine_plural_of_original,o_to_as
5618,reformas,reforma,reform (plural),plural_of_original,plus_s
5631,extrema,extremo,dire; extreme (feminine singular),feminine_of_original,o_to_a
5634,domingos,domingo,Sunday (masculine plural),masculine_plural_of_original,o_to_os
5641,barrios,barrio,neighbourhood (masculine plural),masculine_plural_of_original,o_to_os
5643,referencias,referencia,reference (plural),plural_of_original,plus_s
5644,participantes,participante,participating (plural),plural_of_original,plus_s
5654,directiva,directivo,board of directors (feminine singular),feminine_of_original,o_to_a
5655,sillas,silla,chair (plural),plural_of_original,plus_s
5664,ciega,ciego,blind person (feminine singular),feminine_of_original,o_to_a
5666,borracha,borracho,wineskin (feminine singular),feminine_of_original,o_to_a
5667,pilotos,piloto,pilot (masculine plural),masculine_plural_of_original,o_to_os
5672,intelectuales,intelectual,intellectual (plural),plural_of_original,plus_es
5677,geniales,genial,pleasant (plural),plural_of_original,plus_es
5680,cursos,curso,route; course; direction; trajectory (masculine plural),masculine_plural_of_original,o_to_os
5681,exacta,exacto,exact (feminine singular),feminine_of_original,o_to_a
5683,raros,raro,rare (masculine plural),masculine_plural_of_original,o_to_os
5684,sincera,sincero,sincere (feminine singular),feminine_of_original,o_to_a
5689,guerreros,guerrero,warlike; bellicose (masculine plural),masculine_plural_of_original,o_to_os
5693,incendios,incendio,fire (masculine plural),masculine_plural_of_original,o_to_os
5694,muros,muro,wall (masculine plural),masculine_plural_of_original,o_to_os
5703,hábitos,hábito,habit; custom (masculine plural),masculine_plural_of_original,o_to_os
5704,novelas,novela,novel (plural),plural_of_original,plus_s
5710,experimentos,experimento,experiment (masculine plural),masculine_plural_of_original,o_to_os
5711,alternativas,alternativo,alternative (feminine plural),feminine_plural_of_original,o_to_as
5716,gigantes,gigante,giant; gigantic (plural),plural_of_original,plus_s
5717,ilegales,ilegal,illegal; unlawful (plural),plural_of_original,plus_es
5721,fáciles,fácil,easy; facile; simple (plural),plural_of_original,plus_es
5724,pagos,pago,pay; payment (masculine plural),masculine_plural_of_original,o_to_os
5725,disponibles,disponible,available (plural),plural_of_original,plus_s
5735,serios,serio,sober; solemn; serious; earnest (masculine plural),masculine_plural_of_original,o_to_os
5736,misiles,misil,missile (plural),plural_of_original,plus_es
5738,básicos,básico,basic (masculine plural),masculine_plural_of_original,o_to_os
5739,baños,baño,bath (masculine plural),masculine_plural_of_original,o_to_os
5743,tragos,trago,sip; gulp (masculine plural),masculine_plural_of_original,o_to_os
5747,medicinas,medicina,medicine (plural),plural_of_original,plus_s
5748,serena,sereno,calm; serene; self-possessed (feminine singular),feminine_of_original,o_to_a
5758,matas,mata,shrub (plural),plural_of_original,plus_s
5765,quieta,quieto,calm (feminine singular),feminine_of_original,o_to_a
5767,locas,loco,mad; nuts; crazy; insane (feminine plural),feminine_plural_of_original,o_to_as
5775,cercanos,cercano,near; close; nearby (masculine plural),masculine_plural_of_original,o_to_os
5776,cálculos,cálculo,calculation (masculine plural),masculine_plural_of_original,o_to_os
5780,vistas,visto,seen (feminine plural),feminine_plural_of_original,o_to_as
5782,bastantes,bastante,enough; sufficient (plural),plural_of_original,plus_s
5783,contenidos,contenido,content (masculine plural),masculine_plural_of_original,o_to_os
5787,encuentros,encuentro,meeting; encounter (masculine plural),masculine_plural_of_original,o_to_os
5792,carolina,carolino,of; from or relating to San Carlos (feminine singular),feminine_of_original,o_to_a
5796,aplausos,aplauso,applause (masculine plural),masculine_plural_of_original,o_to_os
5803,contentos,contento,content (masculine plural),masculine_plural_of_original,o_to_os
5805,lectores,lector,reading (plural),plural_of_original,plus_es
5813,sábanas,sábana,sheet; bedsheet (plural),plural_of_original,plus_s
5819,actitudes,actitud,pose; stance; posture (plural),plural_of_original,plus_es
5820,intentos,intento,attempt (masculine plural),masculine_plural_of_original,o_to_os
5821,cables,cable,cord (plural),plural_of_original,plus_s
5822,externa,externo,external (feminine singular),feminine_of_original,o_to_a
5825,trampas,trampa,trap; snare (plural),plural_of_original,plus_s
5826,sorpresas,sorpresa,surprise (plural),plural_of_original,plus_s
5828,monos,mono,monkey (masculine plural),masculine_plural_of_original,o_to_os
5830,delincuentes,delincuente,delinquent (plural),plural_of_original,plus_s
5832,malditas,maldito,cursed (feminine plural),feminine_plural_of_original,o_to_as
5833,jovencita,jovencito,young; youthful (feminine singular),feminine_of_original,o_to_a
5836,fina,fino,fine (feminine singular),feminine_of_original,o_to_a
5838,correspondientes,correspondiente,respective (plural),plural_of_original,plus_s
5842,pelos,pelo,hair (masculine plural),masculine_plural_of_original,o_to_os
5846,milagros,milagro,miracle (masculine plural),masculine_plural_of_original,o_to_os
5853,artística,artístico,artistic (feminine singular),feminine_of_original,o_to_a
5854,determinada,determinado,determinate (feminine singular),feminine_of_original,o_to_a
5859,homicidios,homicidio,homicide; manslaughter (masculine plural),masculine_plural_of_original,o_to_os
5862,afectados,afectado,affected (masculine plural),masculine_plural_of_original,o_to_os
5865,químicos,químico,chemical (masculine plural),masculine_plural_of_original,o_to_os
5868,tanques,tanque,tank (plural),plural_of_original,plus_s
5876,amarilla,amarillo,yellow or golden (feminine singular),feminine_of_original,o_to_a
5878,círculos,círculo,circle (masculine plural),masculine_plural_of_original,o_to_os
5879,litros,litro,litre; liter (masculine plural),masculine_plural_of_original,o_to_os
5880,básica,básico,basic (feminine singular),feminine_of_original,o_to_a
5886,muñecas,muñeca,wrist (plural),plural_of_original,plus_s
5890,muchísimas,muchísimo,a lot; a great deal; superlative degree of mucho: much (feminine plural),feminine_plural_of_original,o_to_as
5893,increíbles,increíble,incredible; unbelievable (plural),plural_of_original,plus_s
5898,ruidos,ruido,noise; racket; rattle; clatter (masculine plural),masculine_plural_of_original,o_to_os
5902,temperaturas,temperatura,temperature (plural),plural_of_original,plus_s
5912,complicada,complicado,complex; involved; convoluted; complicated (feminine singular),feminine_of_original,o_to_a
5922,poderosos,poderoso,powerful (masculine plural),masculine_plural_of_original,o_to_os
5925,desesperada,desesperado,desperate (feminine singular),feminine_of_original,o_to_a
5928,sospechas,sospecha,suspicion (plural),plural_of_original,plus_s
5930,críticos,crítico,critical; judgmental (masculine plural),masculine_plural_of_original,o_to_os
5932,hermosos,hermoso,lovely; gorgeous; handsome; beautiful (masculine plural),masculine_plural_of_original,o_to_os
5934,colectiva,colectivo,collective (feminine singular),feminine_of_original,o_to_a
5935,determinados,determinado,determinate (masculine plural),masculine_plural_of_original,o_to_os
5936,sagrada,sagrado,holy; sacred (feminine singular),feminine_of_original,o_to_a
5938,nucleares,nuclear,to join up (plural),plural_of_original,plus_es
5939,tasas,tasa,rate (plural),plural_of_original,plus_s
5943,vivas,vivo,alive; living (feminine plural),feminine_plural_of_original,o_to_as
5945,excusas,excusa,excuse; cop-out (plural),plural_of_original,plus_s
5946,gemelos,gemelo,twin (masculine plural),masculine_plural_of_original,o_to_os
5954,divina,divino,divine (feminine singular),feminine_of_original,o_to_a
5957,aficionados,aficionado,fond (masculine plural),masculine_plural_of_original,o_to_os
5960,avances,avance,advance (plural),plural_of_original,plus_s
5966,lentes,lente,lens (plural),plural_of_original,plus_s
5976,etapas,etapa,stage; phase (plural),plural_of_original,plus_s
5984,romántica,romántico,romantic (feminine singular),feminine_of_original,o_to_a
5986,goles,gol,goal (plural),plural_of_original,plus_es
5987,tendencias,tendencia,trend; trending (plural),plural_of_original,plus_s
5990,discursos,discurso,discourse (masculine plural),masculine_plural_of_original,o_to_os
5993,restaurantes,restaurante,restaurant (plural),plural_of_original,plus_s
6007,quietos,quieto,calm (masculine plural),masculine_plural_of_original,o_to_os
6009,genes,gen,gene (plural),plural_of_original,plus_es
6011,computadoras,computadora,computer (plural),plural_of_original,plus_s
6016,placas,placa,plate (plural),plural_of_original,plus_s
6017,provincias,provincia,province (plural),plural_of_original,plus_s
6020,suyas,suyo,their; theirs; to them (feminine plural),feminine_plural_of_original,o_to_as
6021,barbara,barbaro,sick; extreme (feminine singular),feminine_of_original,o_to_a
6023,asesinados,asesinado,slain; murdered (masculine plural),masculine_plural_of_original,o_to_os
6027,verduras,verdura,vegetable (plural),plural_of_original,plus_s
6032,defectos,defecto,fault; defect; deficiency (masculine plural),masculine_plural_of_original,o_to_os
6034,controles,control,or running of a business (plural),plural_of_original,plus_es
6038,emocionada,emocionado,moved; excited; enthused (feminine singular),feminine_of_original,o_to_a
6043,anciana,anciano,elderly (feminine singular),feminine_of_original,o_to_a
6045,bastardos,bastardo,bastard (masculine plural),masculine_plural_of_original,o_to_os
6046,terrenos,terreno,land; earth; ground (masculine plural),masculine_plural_of_original,o_to_os
6048,manifiesta,manifiesto,clear; manifest; apparent (feminine singular),feminine_of_original,o_to_a
6051,frecuentes,frecuente,frequent (plural),plural_of_original,plus_s
6052,ondas,onda,wave (plural),plural_of_original,plus_s
6053,hadas,hada,fairy (plural),plural_of_original,plus_s
6054,creencias,creencia,belief (plural),plural_of_original,plus_s
6062,escritos,escrito,written (masculine plural),masculine_plural_of_original,o_to_os
6074,favoritos,favorito,favorite (masculine plural),masculine_plural_of_original,o_to_os
6077,pesadillas,pesadilla,nightmare (plural),plural_of_original,plus_s
6081,desaparecida,desaparecido,missing; disappeared (feminine singular),feminine_of_original,o_to_a
6082,independientes,independiente,independent (plural),plural_of_original,plus_s
6083,industrias,industria,industry (plural),plural_of_original,plus_s
6090,gala,galo,Gallic (feminine singular),feminine_of_original,o_to_a
6091,hogares,hogar,home (plural),plural_of_original,plus_es
6093,únicas,único,only; sole; single (feminine plural),feminine_plural_of_original,o_to_as
6094,huéspedes,huésped,guest (plural),plural_of_original,plus_es
6102,mientes,miente,I mention (plural),plural_of_original,plus_s
6104,presta,presto,quick; swift; prompt (feminine singular),feminine_of_original,o_to_a
6107,compromisos,compromiso,commitment (masculine plural),masculine_plural_of_original,o_to_os
6115,alrededores,alrededor,surroundings (plural),plural_of_original,plus_es
6116,extremos,extremo,dire; extreme (masculine plural),masculine_plural_of_original,o_to_os
6127,códigos,código,code (masculine plural),masculine_plural_of_original,o_to_os
6132,emergencias,emergencia,emergency (plural),plural_of_original,plus_s
6134,extranjera,extranjero,foreign (feminine singular),feminine_of_original,o_to_a
6135,coordenadas,coordenado,coordinated (feminine plural),feminine_plural_of_original,o_to_as
6136,propietarios,propietario,proprietary (masculine plural),masculine_plural_of_original,o_to_os
6142,aparatos,aparato,tool; device; apparatus; instrument (masculine plural),masculine_plural_of_original,o_to_os
6157,residentes,residente,living; residing; resident; domiciled (plural),plural_of_original,plus_s
6160,dueña,dueño,female equivalent of dueño: owner (feminine singular),feminine_of_original,o_to_a
6167,orgullosos,orgulloso,proud (masculine plural),masculine_plural_of_original,o_to_os
6169,amables,amable,kind; amiable; gracious (plural),plural_of_original,plus_s
6171,inmensa,inmenso,immense (feminine singular),feminine_of_original,o_to_a
6174,anillos,anillo,ring (masculine plural),masculine_plural_of_original,o_to_os
6180,bárbara,bárbaro,barbaric (feminine singular),feminine_of_original,o_to_a
6181,chistes,chiste,joke (plural),plural_of_original,plus_s
6185,mañanas,mañana,tomorrow (plural),plural_of_original,plus_s
6187,tristes,triste,sad; blue; gloomy; saddened (plural),plural_of_original,plus_s
6188,muertas,muerto,dead (feminine plural),feminine_plural_of_original,o_to_as
6193,culpables,culpable,guilty (plural),plural_of_original,plus_s
6195,escasa,escaso,scant; scarce; meager; limited (feminine singular),feminine_of_original,o_to_a
6196,romanos,romano,Roman (masculine plural),masculine_plural_of_original,o_to_os
6205,gramos,gramo,gram (masculine plural),masculine_plural_of_original,o_to_os
6208,invita,invito,I invite (feminine singular),feminine_of_original,o_to_a
6209,firmas,firma,signature (plural),plural_of_original,plus_s
6217,cortos,corto,short (masculine plural),masculine_plural_of_original,o_to_os
6221,culturas,cultura,culture (plural),plural_of_original,plus_s
6223,refugiados,refugiado,related to refugees (masculine plural),masculine_plural_of_original,o_to_os
6225,cristales,cristal,crystal (plural),plural_of_original,plus_es
6232,camas,cama,bed (plural),plural_of_original,plus_s
6236,iniciales,inicial,initial (plural),plural_of_original,plus_es
6238,evidencias,evidencia,evidence (plural),plural_of_original,plus_s
6239,oscuros,oscuro,dark (masculine plural),masculine_plural_of_original,o_to_os
6242,salidas,salido,sticking out (feminine plural),feminine_plural_of_original,o_to_as
6243,europeas,europeo,European (feminine plural),feminine_plural_of_original,o_to_as
6246,conferencias,conferencia,conference (plural),plural_of_original,plus_s
6249,mecánica,mecánico,mechanical (feminine singular),feminine_of_original,o_to_a
6253,masiva,masivo,massive (feminine singular),feminine_of_original,o_to_a
6255,trozos,trozo,piece (masculine plural),masculine_plural_of_original,o_to_os
6258,bañera,bañero,bath; bathtub (feminine singular),feminine_of_original,o_to_a
6260,pavos,pavo,turkey (masculine plural),masculine_plural_of_original,o_to_os
6262,fuegos,fuego,fire (masculine plural),masculine_plural_of_original,o_to_os
6270,existentes,existente,existent; existing (plural),plural_of_original,plus_s
6271,plazas,plaza,town square (plural),plural_of_original,plus_s
6278,ruinas,ruina,ruin; decay; wreck (plural),plural_of_original,plus_s
6284,residuos,residuo,residue; remainder (masculine plural),masculine_plural_of_original,o_to_os
6290,cazadores,cazador,hunting (plural),plural_of_original,plus_es
6293,tomada,tomado,drunk (feminine singular),feminine_of_original,o_to_a
6300,plumas,pluma,feather (plural),plural_of_original,plus_s
6304,boletos,boleto,ticket (masculine plural),masculine_plural_of_original,o_to_os
6311,presidentes,presidente,president (plural),plural_of_original,plus_s
6316,enamorados,enamorado,infatuated; having a crush on (masculine plural),masculine_plural_of_original,o_to_os
6320,novedades,novedad,novelty (plural),plural_of_original,plus_es
6325,conciertos,concierto,concert (masculine plural),masculine_plural_of_original,o_to_os
6327,gestos,gesto,gesture (masculine plural),masculine_plural_of_original,o_to_os
6333,excelentes,excelente,superb; excellent; brilliant (plural),plural_of_original,plus_s
6334,pasados,pasado,past (masculine plural),masculine_plural_of_original,o_to_os
6337,muchachas,muchacha,young lady; female equivalent of muchacho: girl (plural),plural_of_original,plus_s
6343,presupuestos,presupuesto,estimated (masculine plural),masculine_plural_of_original,o_to_os
6346,orgánica,orgánico,organic (feminine singular),feminine_of_original,o_to_a
6353,sucesos,suceso,event; happening (masculine plural),masculine_plural_of_original,o_to_os
6354,dados,dado,a die or dice (masculine plural),masculine_plural_of_original,o_to_os
6356,gotas,gota,a drop or small amount of (plural),plural_of_original,plus_s
6364,ofertas,oferta,offer (plural),plural_of_original,plus_s
6367,decenas,deceno,tenth (feminine plural),feminine_plural_of_original,o_to_as
6369,fritas,frito,fried (feminine plural),feminine_plural_of_original,o_to_as
6373,pagas,paga,payment (plural),plural_of_original,plus_s
6380,claros,claro,clear; easily understood (masculine plural),masculine_plural_of_original,o_to_os
6381,llegues,llegue,stab; stabbing (plural),plural_of_original,plus_s
6382,ovejas,oveja,sheep (plural),plural_of_original,plus_s
6391,vegetales,vegetal,plant (plural),plural_of_original,plus_es
6393,rostros,rostro,face (masculine plural),masculine_plural_of_original,o_to_os
6394,costillas,costilla,rib (plural),plural_of_original,plus_s
6395,físicas,físico,physical (feminine plural),feminine_plural_of_original,o_to_as
6400,específica,específico,specific (feminine singular),feminine_of_original,o_to_a
6403,palos,palo,wood; stake; stick (masculine plural),masculine_plural_of_original,o_to_os
6409,violenta,violento,violent (feminine singular),feminine_of_original,o_to_a
6423,mentirosa,mentiroso,having the qualities of a liar (feminine singular),feminine_of_original,o_to_a
6424,salarios,salario,wage; wages; salary (masculine plural),masculine_plural_of_original,o_to_os
6425,vacías,vacío,empty; vacant (feminine plural),feminine_plural_of_original,o_to_as
6429,bonitos,bonito,cute; pretty (masculine plural),masculine_plural_of_original,o_to_os
6431,profundas,profundo,deep (feminine plural),feminine_plural_of_original,o_to_as
6435,estadísticas,estadístico,statistic (feminine plural),feminine_plural_of_original,o_to_as
6439,físicos,físico,physical (masculine plural),masculine_plural_of_original,o_to_os
6445,cortinas,cortina,curtain (plural),plural_of_original,plus_s
6450,patricia,patricio,patrician (feminine singular),feminine_of_original,o_to_a
6452,rastros,rastro,sign; trace; scent; vestige (masculine plural),masculine_plural_of_original,o_to_os
6455,jurídica,jurídico,juridical (feminine singular),feminine_of_original,o_to_a
6473,bebes,bebe,baby (plural),plural_of_original,plus_s
6476,voluntarios,voluntario,voluntary (masculine plural),masculine_plural_of_original,o_to_os
6481,piratas,pirata,pirate (plural),plural_of_original,plus_s
6482,cuidados,cuidado,watch out! (masculine plural),masculine_plural_of_original,o_to_os
6487,exigencias,exigencia,requirement (plural),plural_of_original,plus_s
6488,útiles,útil,useful; helpful (plural),plural_of_original,plus_es
6490,universitaria,universitario,university (feminine singular),feminine_of_original,o_to_a
6493,desnudos,desnudo,nude; naked; undressed (masculine plural),masculine_plural_of_original,o_to_os
6500,delicada,delicado,delicate (feminine singular),feminine_of_original,o_to_a
6503,sucios,sucio,dirty; filthy (masculine plural),masculine_plural_of_original,o_to_os
6506,estrecha,estrecho,narrow (feminine singular),feminine_of_original,o_to_a
6512,camarera,camarero,waiter (feminine singular),feminine_of_original,o_to_a
6515,misteriosa,misterioso,mysterious (feminine singular),feminine_of_original,o_to_a
6520,ahorros,ahorro,saving (masculine plural),masculine_plural_of_original,o_to_os
6530,espías,espía,spy (plural),plural_of_original,plus_s
6537,enfermeras,enfermera,nurse (plural),plural_of_original,plus_s
6542,docenas,doceno,twelfth (feminine plural),feminine_plural_of_original,o_to_as
6544,determinadas,determinado,determinate (feminine plural),feminine_plural_of_original,o_to_as
6546,obstáculos,obstáculo,hurdle; obstacle; hindrance; stumbling block (masculine plural),masculine_plural_of_original,o_to_os
6548,firmes,firme,firm; steady; secure (plural),plural_of_original,plus_s
6549,tecnologías,tecnología,technology (plural),plural_of_original,plus_s
6551,tablas,tabla,board; plank (plural),plural_of_original,plus_s
6564,lazos,lazo,bow (masculine plural),masculine_plural_of_original,o_to_os
6571,mortales,mortal,deadly (plural),plural_of_original,plus_es
6572,obligados,obligado,obliged; obligated (masculine plural),masculine_plural_of_original,o_to_os
6576,cerradas,cerrado,shut; closed (feminine plural),feminine_plural_of_original,o_to_as
6578,abuelos,abuelo,grandfather (masculine plural),masculine_plural_of_original,o_to_os
6588,miradas,mirada,look; glance (plural),plural_of_original,plus_s
6589,comienzos,comienzo,beginning (masculine plural),masculine_plural_of_original,o_to_os
6597,integrantes,integrante,member (plural),plural_of_original,plus_s
6604,fragmentos,fragmento,fragment (masculine plural),masculine_plural_of_original,o_to_os
6610,urbana,urbano,urban (feminine singular),feminine_of_original,o_to_a
6616,tuyas,tuyo,yours (feminine plural),feminine_plural_of_original,o_to_as
6623,maravillas,maravilla,wonder; marvel (plural),plural_of_original,plus_s
6626,trastornos,trastorno,disorder (masculine plural),masculine_plural_of_original,o_to_os
6628,venas,vena,vein (plural),plural_of_original,plus_s
6632,costos,costo,cost (masculine plural),masculine_plural_of_original,o_to_os
6635,vinos,vino,wine (masculine plural),masculine_plural_of_original,o_to_os
6639,memorias,memoria,memory (plural),plural_of_original,plus_s
6640,policiales,policial,police force; Related to the police (plural),plural_of_original,plus_es
6648,protagonistas,protagonista,star; protagonist (plural),plural_of_original,plus_s
6649,árabes,árabe,Arabic (plural),plural_of_original,plus_s
6655,cuadrados,cuadrado,square (masculine plural),masculine_plural_of_original,o_to_os
6659,dichos,dicho,said; mentioned; aforementioned (masculine plural),masculine_plural_of_original,o_to_os
6670,capas,capa,cape; cloak (plural),plural_of_original,plus_s
6676,garantías,garantía,guarantee (plural),plural_of_original,plus_s
6678,épocas,época,era; age; time; epoch (plural),plural_of_original,plus_s
6683,asistentes,asistente,attendee (plural),plural_of_original,plus_s
6686,agallas,agalla,gall; nerve (plural),plural_of_original,plus_s
6688,lenguas,lengua,tongue (plural),plural_of_original,plus_s
6696,estrategias,estrategia,strategy (plural),plural_of_original,plus_s
6698,inmigrantes,inmigrante,immigrant (plural),plural_of_original,plus_s
6704,ridícula,ridículo,ridiculous (feminine singular),feminine_of_original,o_to_a
6709,borrachos,borracho,drunk; inebriated (masculine plural),masculine_plural_of_original,o_to_os
6715,afortunada,afortunado,lucky; fortunate (feminine singular),feminine_of_original,o_to_a
6720,símbolos,símbolo,symbol (masculine plural),masculine_plural_of_original,o_to_os
6721,sacas,saca,bag; large sack (plural),plural_of_original,plus_s
6726,serpientes,serpiente,snake; serpent (plural),plural_of_original,plus_s
6742,acusados,acusado,accused (masculine plural),masculine_plural_of_original,o_to_os
6749,inútiles,inútil,useless; pointless (plural),plural_of_original,plus_es
