lemma,count,lemma_original,lemma_normalized,lemma_lemmatized,lemma_translated,translated_flag,translation_source
registro,23130,registro,registro,regalar,give,TRUE,dict
puse,23121,puse,puse,puma,cougar,TRUE,dict
políticas,23104,políticas,políticas,polenta,[UNTRANSLATED] polenta,FALSE,untranslated
merece,23077,merece,merece,menudo,small,TRUE,dict
profundo,23054,profundo,profundo,producir,produce / mass-produce,TRUE,dict
comercial,23017,comercial,comercial,comenzar,begin / commence,TRUE,dict
cerrado,22989,cerrado,cerrado,cerezo,[UNTRANSLATED] cerezo,FALSE,untranslated
proteger,22972,proteger,proteger,propuesta,proposal,TRUE,dict
crecimiento,22967,crecimiento,crecimiento,crecer,grow / get,TRUE,dict
inteligencia,22939,inteligencia,inteligencia,intacto,intact,TRUE,dict
aquello,22923,aquello,aquello,aquaman,[UNTRANSLATED] aquaman,FALSE,untranslated
magia,22913,magia,magia,madrigal,madrigal,TRUE,dict
económico,22896,económico,económico,eco,echo,TRUE,dict
madera,22886,madera,madera,mach,[UNTRANSLATED] mach,FALSE,untranslated
tendrán,22883,tendrán,tendrán,temor,fear,TRUE,dict
herida,22870,herida,herida,heraldo,herald,TRUE,dict
conducir,22866,conducir,conducir,condolencia,[UNTRANSLATED] condolencia,FALSE,untranslated
lluvia,22856,lluvia,lluvia,llevar,carry / spend / take,TRUE,dict
detente,22851,detente,detente,detener,detain / stop / remand,TRUE,dict
cadena,22848,cadena,cadena,cachorrito,[UNTRANSLATED] cachorrito,FALSE,untranslated
llegaron,22842,llegaron,llegaron,llamar,call,TRUE,dict
and,22816,and,and,ancla,anchor,TRUE,dict
sois,22815,sois,sois,sobrino,nephew / niece,TRUE,dict
princesa,22807,princesa,princesa,prever,foresee,TRUE,dict
sistemas,22803,sistemas,sistemas,siniestro,grim / sinister / accident,TRUE,dict
hable,22748,hable,hable,hablante,speaker,TRUE,dict
cambia,22725,cambia,cambia,camarero,waiter / waitress / steward,TRUE,dict
lenguaje,22705,lenguaje,lenguaje,legumbre,legume,TRUE,dict
gracia,22694,gracia,gracia,goñi,[UNTRANSLATED] goñi,FALSE,untranslated
show,22693,show,show,shannon,[UNTRANSLATED] shannon,FALSE,untranslated
dedo,22687,dedo,dedo,dedicar,dedicate / devote / spend,TRUE,dict
trajo,22667,trajo,trajo,traer,bring,TRUE,dict
líneas,22660,líneas,líneas,lácteo,dairy,TRUE,dict
normalmente,22640,normalmente,normalmente,nombrar,appoint / name,TRUE,dict
eddie,22639,eddie,eddie,económico,economic / economical / inexpensive,TRUE,dict
sabido,22612,sabido,sabido,récord,record,TRUE,dict
recuperar,22582,recuperar,recuperar,recorrer,travel / visit,TRUE,dict
completa,22564,completa,completa,complejidad,complexity,TRUE,dict
octubre,22535,octubre,octubre,obtener,gain / obtain,TRUE,dict
autobús,22533,autobús,autobús,autoayuda,[UNTRANSLATED] autoayuda,FALSE,untranslated
aumento,22516,aumento,aumento,aumentar,boost / increase / raise,TRUE,dict
números,22506,números,números,nunca,ever / never,TRUE,dict
tuviste,22480,tuviste,tuviste,tum,[UNTRANSLATED] tum,FALSE,untranslated
disco,22472,disco,disco,dirigir,address / aim / conduct,TRUE,dict
pensamiento,22454,pensamiento,pensamiento,pen,[UNTRANSLATED] pen,FALSE,untranslated
circunstancias,22442,circunstancias,circunstancias,circular,circulate / circular,TRUE,dict
correo,22417,correo,correo,corredor,middle-distance runner / long-distance runner / runner,TRUE,dict
programas,22400,programas,programas,producto,produce / product,TRUE,dict
período,22399,período,período,personalizado,personalised,TRUE,dict
bala,22368,bala,bala,bajoranos,[UNTRANSLATED] bajoranos,FALSE,untranslated
negros,22368,negros,negros,negación,negation,TRUE,dict
vacío,22364,vacío,vacío,uterino,uterine,TRUE,dict
diciembre,22362,diciembre,diciembre,dibujar,draw / pencil,TRUE,dict
propuesta,22354,propuesta,propuesta,propagar,propagate,TRUE,dict
descubrir,22328,descubrir,descubrir,descubrir,discover / find / unveil,TRUE,dict
montaña,22318,montaña,montaña,monja,[UNTRANSLATED] monja,FALSE,untranslated
chris,22310,chris,chris,chorizo,chorizo,TRUE,dict
llegué,22293,llegué,llegué,llanta,[UNTRANSLATED] llanta,FALSE,untranslated
enferma,22287,enferma,enferma,enfadado,[UNTRANSLATED] enfadado,FALSE,untranslated
junio,22283,junio,junio,jugoso,substantial,TRUE,dict
reino,22269,reino,reino,regresar,return,TRUE,dict
pobres,22252,pobres,pobres,pleno,plenary / full,TRUE,dict
legal,22248,legal,legal,leche,milk,TRUE,dict
siga,22246,siga,siga,shop,[UNTRANSLATED] shop,FALSE,untranslated
aeropuerto,22244,aeropuerto,aeropuerto,aeronave,aircraft / spacecraft,TRUE,dict
física,22224,física,física,fáser,[UNTRANSLATED] fáser,FALSE,untranslated
cáncer,22219,cáncer,cáncer,cálido,warm,TRUE,dict
escuche,22215,escuche,escuche,escuchar,listen,TRUE,dict
alemán,22206,alemán,alemán,alemán,german,TRUE,dict
papi,22205,papi,papi,pandilla,gang,TRUE,dict
refiere,22202,refiere,refiere,reducir,reduce,TRUE,dict
alegría,22170,alegría,alegría,alegre,cheerful / merry / light-hearted,TRUE,dict
ángeles,22168,ángeles,ángeles,ziva,[UNTRANSLATED] ziva,FALSE,untranslated
construir,22164,construir,construir,construcción,building / construction,TRUE,dict
hablaba,22139,hablaba,hablaba,habilidad,ability / craft / skill,TRUE,dict
olor,22134,olor,olor,ojiva,ogive,TRUE,dict
señoría,22128,señoría,señoría,set,[UNTRANSLATED] set,FALSE,untranslated
orgulloso,22121,orgulloso,orgulloso,ordinario,ordinary,TRUE,dict
versión,22114,versión,versión,verano,summer,TRUE,dict
cuidar,22111,cuidar,cuidar,cuidadito,[UNTRANSLATED] cuidadito,FALSE,untranslated
abril,22104,abril,abril,abrigar,warm,TRUE,dict
paga,22057,paga,paga,m,[UNTRANSLATED] m,FALSE,untranslated
dejarlo,22056,dejarlo,dejarlo,dejalo,[UNTRANSLATED] dejalo,FALSE,untranslated
mírame,22055,mírame,mírame,máxima,[UNTRANSLATED] máxima,FALSE,untranslated
tonterías,22055,tonterías,tonterías,tomar,take / borrow,TRUE,dict
ejercicio,22046,ejercicio,ejercicio,ejecutar,execute,TRUE,dict
monstruo,22043,monstruo,monstruo,moncloa,[UNTRANSLATED] moncloa,FALSE,untranslated
creación,22042,creación,creación,craig,[UNTRANSLATED] craig,FALSE,untranslated
malos,22039,malos,malos,malformación,malformation,TRUE,dict
federal,22037,federal,federal,fazio,[UNTRANSLATED] fazio,FALSE,untranslated
llamaba,22015,llamaba,llamaba,litera,bunk,TRUE,dict
enero,22002,enero,enero,endógeno,endogenous,TRUE,dict
quedarte,21980,quedarte,quedarte,púbico,pubic,TRUE,dict
tardes,21979,tardes,tardes,tang,[UNTRANSLATED] tang,FALSE,untranslated
supe,21976,supe,supe,sujetar,attach,TRUE,dict
despacio,21970,despacio,despacio,desodorante,deodorant,TRUE,dict
competencia,21963,competencia,competencia,compañia,[UNTRANSLATED] compañia,FALSE,untranslated
superficie,21933,superficie,superficie,sumario,summary,TRUE,dict
débil,21918,débil,débil,dar,to give,TRUE,override
rápidamente,21905,rápidamente,rápidamente,ruleta,roulette,TRUE,dict
seres,21902,seres,seres,saber,to know (a fact),TRUE,override
labios,21891,labios,labios,kruger,[UNTRANSLATED] kruger,FALSE,untranslated
enviado,21890,enviado,enviado,envejecimiento,aging,TRUE,dict
rayos,21866,rayos,rayos,rasguño,[UNTRANSLATED] rasguño,FALSE,untranslated
déjeme,21862,déjeme,déjeme,dédalo,[UNTRANSLATED] dédalo,FALSE,untranslated
debí,21853,debí,debí,deber,homework / duty / have,TRUE,dict
lleve,21822,lleve,lleve,llevar,carry / spend / take,TRUE,dict
will,21817,will,will,weiss,[UNTRANSLATED] weiss,FALSE,untranslated
decisiones,21815,decisiones,decisiones,decir,to say/tell,TRUE,override
considera,21812,considera,considera,conservadurismo,conservatism,TRUE,dict
cerdo,21809,cerdo,cerdo,cercano,close / near / nearby,TRUE,dict
comportamiento,21806,comportamiento,comportamiento,complot,plot,TRUE,dict
perdone,21794,perdone,perdone,perder,lose / miss / spend,TRUE,dict
borracho,21778,borracho,borracho,born,[UNTRANSLATED] born,FALSE,untranslated
identidad,21774,identidad,identidad,ibérico,iberian,TRUE,dict
argentina,21767,argentina,argentina,argelia,algeria,TRUE,dict
martin,21752,martin,martin,marks,[UNTRANSLATED] marks,FALSE,untranslated
estúpida,21743,estúpida,estúpida,estar,to be (state/location),TRUE,override
recibió,21739,recibió,recibió,receso,recess,TRUE,dict
asesinado,21736,asesinado,asesinado,aserrín,[UNTRANSLATED] aserrín,FALSE,untranslated
participación,21735,participación,participación,parisino,parisian,TRUE,dict
bella,21729,bella,bella,belgrano,[UNTRANSLATED] belgrano,FALSE,untranslated
tenéis,21728,tenéis,tenéis,tener,to have/possess,TRUE,override
enamorado,21726,enamorado,enamorado,empujón,push,TRUE,dict
preocupe,21721,preocupe,preocupe,prematuro,premature,TRUE,dict
entero,21716,entero,entero,enterar,[UNTRANSLATED] enterar,FALSE,untranslated
pelear,21650,pelear,pelear,pegajoso,sticky,TRUE,dict
sombrero,21640,sombrero,sombrero,solitario,lonely / solitary / lone,TRUE,dict
doce,21638,doce,doce,dobladillo,hem,TRUE,dict
personaje,21635,personaje,personaje,perplejo,[UNTRANSLATED] perplejo,FALSE,untranslated
digamos,21605,digamos,digamos,difundir,spread,TRUE,dict
últimamente,21591,últimamente,últimamente,érica,[UNTRANSLATED] érica,FALSE,untranslated
haberte,21559,haberte,haberte,gödel,gödel,TRUE,dict
contó,21557,contó,contó,contundente,conclusive,TRUE,dict
página,21543,página,página,purgar,[UNTRANSLATED] purgar,FALSE,untranslated
escribió,21490,escribió,escribió,escribir,type / write,TRUE,dict
contento,21480,contento,contento,contener,contain,TRUE,dict
in,21475,in,in,impulsar,promote,TRUE,dict
moral,21465,moral,moral,montgomery,[UNTRANSLATED] montgomery,FALSE,untranslated
parecido,21441,parecido,parecido,paranoico,[UNTRANSLATED] paranoico,FALSE,untranslated
tv,21422,tv,tv,tumor,tumor,TRUE,dict
asociación,21411,asociación,asociación,asiático,asian / asiatic,TRUE,dict
probable,21408,probable,probable,principiante,beginner,TRUE,dict
deber,21407,deber,deber,deber,homework / duty / have,TRUE,dict
éramos,21405,éramos,éramos,abrir,establish / open,TRUE,dict
tráfico,21402,tráfico,tráfico,triángulo,triangle,TRUE,dict
pertenece,21396,pertenece,pertenece,perseguir,chase / pursue / haunt,TRUE,dict
oigan,21335,oigan,oigan,oficina,tourist office / recruitment office / office,TRUE,dict
sonrisa,21331,sonrisa,sonrisa,sombrío,shady,TRUE,dict
estan,21324,estan,estan,estallar,burst,TRUE,dict
tales,21312,tales,tales,dar,to give,TRUE,override
pollo,21300,pollo,pollo,poema,poem,TRUE,dict
ocasiones,21299,ocasiones,ocasiones,obstáculo,obstacle,TRUE,dict
ponga,21278,ponga,ponga,polígono,polygon,TRUE,dict
consecuencia,21276,consecuencia,consecuencia,conroy,[UNTRANSLATED] conroy,FALSE,untranslated
espada,21273,espada,espada,esmalte,enamel / nail polish,TRUE,dict
ryan,21263,ryan,ryan,ruido,background noise / noise / rumble,TRUE,dict
consiguió,21249,consiguió,consiguió,consigna,[UNTRANSLATED] consigna,FALSE,untranslated
trataba,21247,trataba,trataba,transportación,[UNTRANSLATED] transportación,FALSE,untranslated
audiencia,21211,audiencia,audiencia,audaz,audacious,TRUE,dict
charles,21185,charles,charles,char,[UNTRANSLATED] char,FALSE,untranslated
cargos,21168,cargos,cargos,cargar,debit / burden / load,TRUE,dict
régimen,21164,régimen,régimen,rumasa,[UNTRANSLATED] rumasa,FALSE,untranslated
decidió,21153,decidió,decidió,decidido,[UNTRANSLATED] decidido,FALSE,untranslated
venía,21135,venía,venía,venecia,[UNTRANSLATED] venecia,FALSE,untranslated
necesitar,21119,necesitar,necesitar,navidad,christmas,TRUE,dict
inútil,21112,inútil,inútil,involucrar,involve,TRUE,dict
errores,21110,errores,errores,ernestina,[UNTRANSLATED] ernestina,FALSE,untranslated
examen,21108,examen,examen,exacto,exact,TRUE,dict
fantasma,21093,fantasma,fantasma,familia,family,TRUE,dict
fernando,21090,fernando,fernando,feng,[UNTRANSLATED] feng,FALSE,untranslated
produce,21085,produce,produce,proceder,behaviour / proceed,TRUE,dict
podrás,21083,podrás,podrás,poblado,[UNTRANSLATED] poblado,FALSE,untranslated
leo,21075,leo,leo,lejano,far,TRUE,dict
entrenador,21059,entrenador,entrenador,entregar,hand / submit / deliver,TRUE,dict
términos,21056,términos,términos,tutor,tutor,TRUE,dict
limpio,21043,limpio,limpio,limitar,confine / limit,TRUE,dict
comercio,21037,comercio,comercio,comenzar,begin / commence,TRUE,dict
dormido,21025,dormido,dormido,dopaje,doping,TRUE,dict
adn,21017,adn,adn,admitir,admit / concede,TRUE,dict
conocerte,21012,conocerte,conocerte,conocer,to know (be familiar with),TRUE,override
almuerzo,21007,almuerzo,almuerzo,almorzar,have,TRUE,dict
corta,21007,corta,corta,corromper,corrupt,TRUE,dict
distintos,21005,distintos,distintos,distingo,[UNTRANSLATED] distingo,FALSE,untranslated
estudiar,21002,estudiar,estudiar,estrógeno,oestrogen,TRUE,dict
septiembre,20998,septiembre,septiembre,sentir,feel / be,TRUE,dict
g,20980,g,g,fijar,appoint / fix / affix,TRUE,dict
queso,20968,queso,queso,quemar,burn,TRUE,dict
regresa,20968,regresa,regresa,regar,irrigate,TRUE,dict
movimientos,20959,movimientos,movimientos,motors,[UNTRANSLATED] motors,FALSE,untranslated
harán,20955,harán,harán,harmon,[UNTRANSLATED] harmon,FALSE,untranslated
italia,20941,italia,italia,isidoro,[UNTRANSLATED] isidoro,FALSE,untranslated
canal,20938,canal,canal,campo,area / countryside / field,TRUE,dict
cadáver,20932,cadáver,cadáver,cade,[UNTRANSLATED] cade,FALSE,untranslated
techo,20904,techo,techo,tardar,take,TRUE,dict
uds.,20900,uds.,uds,típico,typical,TRUE,dict
consigue,20877,consigue,consigue,considerar,consider / regard / reckon,TRUE,dict
escuchado,20862,escuchado,escuchado,escrupuloso,[UNTRANSLATED] escrupuloso,FALSE,untranslated
castillo,20860,castillo,castillo,castigar,punish,TRUE,dict
pieza,20858,pieza,pieza,picota,pillory,TRUE,dict
gobernador,20844,gobernador,gobernador,glorioso,glorious,TRUE,dict
territorio,20834,territorio,territorio,terminación,termination,TRUE,dict
especiales,20832,especiales,especiales,esparcir,scatter,TRUE,dict
esquina,20823,esquina,esquina,espécimen,specimen,TRUE,dict
etapa,20807,etapa,etapa,estética,aesthetics,TRUE,dict
martes,20791,martes,martes,mark,mark,TRUE,dict
ciudadanos,20777,ciudadanos,ciudadanos,citar,cite / quote,TRUE,dict
treinta,20771,treinta,treinta,tratar,deal / treat,TRUE,dict
autoridad,20744,autoridad,autoridad,autopsia,autopsy,TRUE,dict
dejaste,20742,dejaste,dejaste,dejar,allow / give / quit,TRUE,dict
hablé,20737,hablé,hablé,hablar,gabble / talk / discuss,TRUE,dict
acabas,20715,acabas,acabas,acabar,end / finish / have,TRUE,dict
democracia,20714,democracia,democracia,demandar,sue,TRUE,dict
cinta,20709,cinta,cinta,cincuenta,fifty,TRUE,dict
documentos,20706,documentos,documentos,doctor,doctor,TRUE,dict
robar,20689,robar,robar,rise,[UNTRANSLATED] rise,FALSE,untranslated
poniendo,20684,poniendo,poniendo,pomelo,grapefruit,TRUE,dict
podremos,20677,podremos,podremos,plática,[UNTRANSLATED] plática,FALSE,untranslated
olvídalo,20674,olvídalo,olvídalo,olla,pot / steamer / pressure cooker,TRUE,dict
árboles,20670,árboles,árboles,zona,zone,TRUE,dict
responder,20645,responder,responder,respecta,[UNTRANSLATED] respecta,FALSE,untranslated
cuba,20628,cuba,cuba,cuartel,barracks,TRUE,dict
video,20622,video,video,viajar,travel / travelling,TRUE,dict
metido,20616,metido,metido,metalurgia,metallurgy,TRUE,dict
viven,20605,viven,viven,visita,tour / visit / caller,TRUE,dict
enviar,20599,enviar,enviar,envenenar,poison,TRUE,dict
enemigos,20590,enemigos,enemigos,endeudado,[UNTRANSLATED] endeudado,FALSE,untranslated
frecuencia,20586,frecuencia,frecuencia,franquicia,franchise,TRUE,dict
capítulo,20566,capítulo,capítulo,capturar,capture,TRUE,dict
demanda,20557,demanda,demanda,delirante,[UNTRANSLATED] delirante,FALSE,untranslated
votos,20556,votos,votos,volver,take / see / come,TRUE,dict
fría,20540,fría,fría,fructífero,fruitful,TRUE,dict
bobby,20527,bobby,bobby,bob,[UNTRANSLATED] bob,FALSE,untranslated
jueves,20517,jueves,jueves,jubilado,[UNTRANSLATED] jubilado,FALSE,untranslated
testigos,20500,testigos,testigos,termodinámica,thermodynamics,TRUE,dict
agradezco,20470,agradezco,agradezco,agradecer,appreciate,TRUE,dict
aceite,20465,aceite,aceite,acechar,threaten,TRUE,dict
lástima,20454,lástima,lástima,luto,deceit,TRUE,dict
piensan,20453,piensan,piensan,picadura,bite / sting,TRUE,dict
ayude,20438,ayude,ayude,ayudar,help / do,TRUE,dict
pablo,20427,pablo,pablo,ow,[UNTRANSLATED] ow,FALSE,untranslated
lados,20403,lados,lados,l,5,TRUE,dict
acuerdas,20357,acuerdas,acuerdas,acueducto,aqueduct,TRUE,dict
tono,20334,tono,tono,toma,taking / takeover,TRUE,dict
demonio,20332,demonio,demonio,democratización,democratisation,TRUE,dict
talento,20301,talento,talento,k,[UNTRANSLATED] k,FALSE,untranslated
novela,20296,novela,novela,notarial,notarial,TRUE,dict
explica,20286,explica,explica,experimentar,experience / undergo,TRUE,dict
concepto,20275,concepto,concepto,concentrar,concentrate / mass,TRUE,dict
niñas,20264,niñas,niñas,night,[UNTRANSLATED] night,FALSE,untranslated
gratis,20243,gratis,gratis,granito,granite / spot,TRUE,dict
jake,20243,jake,jake,jacinta,[UNTRANSLATED] jacinta,FALSE,untranslated
cámaras,20241,cámaras,cámaras,cálculo,calculation / calculus,TRUE,dict
ei,20235,ei,ei,egipcio,egyptian,TRUE,dict
azúcar,20223,azúcar,azúcar,azul,blue,TRUE,dict
privada,20222,privada,privada,primero,first,TRUE,dict
agencia,20213,agencia,agencia,agatha,[UNTRANSLATED] agatha,FALSE,untranslated
compra,20209,compra,compra,comportar,comport,TRUE,dict
primo,20204,primo,primo,prevenir,warn,TRUE,dict
mata,20199,mata,mata,masaje,massage,TRUE,dict
conferencia,20189,conferencia,conferencia,conejito,[UNTRANSLATED] conejito,FALSE,untranslated
amante,20186,amante,amante,amanecer,dawn,TRUE,dict
imagino,20181,imagino,imagino,imaginar,figure / imagine,TRUE,dict
tierras,20181,tierras,tierras,thesubfactory,[UNTRANSLATED] thesubfactory,FALSE,untranslated
creemos,20179,creemos,creemos,crecer,grow / get,TRUE,dict
museo,20176,museo,museo,municipalidad,[UNTRANSLATED] municipalidad,FALSE,untranslated
cientos,20169,cientos,cientos,ciego,blind,TRUE,dict
americano,20166,americano,americano,america,[UNTRANSLATED] america,FALSE,untranslated
niveles,20151,niveles,niveles,nieve,snow,TRUE,dict
sombra,20148,sombra,sombra,soler,be / soler,TRUE,dict
desayuno,20138,desayuno,desayuno,desasosiego,[UNTRANSLATED] desasosiego,FALSE,untranslated
fortuna,20123,fortuna,fortuna,formular,formulate,TRUE,dict
actuación,20098,actuación,actuación,actuar,act / perform,TRUE,dict
fondos,20094,fondos,fondos,foley,foley,TRUE,dict
famoso,20091,famoso,famoso,faltar,be,TRUE,dict
diste,20090,diste,diste,disputar,contest,TRUE,dict
impresionante,20082,impresionante,impresionante,imposición,[UNTRANSLATED] imposición,FALSE,untranslated
sienta,20063,sienta,sienta,sherwood,[UNTRANSLATED] sherwood,FALSE,untranslated
tomé,20053,tomé,tomé,tolerar,tolerate,TRUE,dict
marzo,20047,marzo,marzo,mars,[UNTRANSLATED] mars,FALSE,untranslated
amistad,20036,amistad,amistad,aminoácido,amino acid,TRUE,dict
podré,20034,podré,podré,poblador,[UNTRANSLATED] poblador,FALSE,untranslated
bienvenidos,20022,bienvenidos,bienvenidos,bienal,biennial,TRUE,dict
contenido,20021,contenido,contenido,contención,containment,TRUE,dict
querían,20000,querían,querían,quemar,burn,TRUE,dict
convierte,19997,convierte,convierte,convertir,convert / turn,TRUE,dict
amy,19974,amy,amy,amputar,amputate,TRUE,dict
intentado,19972,intentado,intentado,intencionadamente,deliberately / intentionally,TRUE,dict
moda,19958,moda,moda,mitsuko,[UNTRANSLATED] mitsuko,FALSE,untranslated
impresión,19957,impresión,impresión,impreciso,imprecise / vague,TRUE,dict
sepas,19937,sepas,sepas,sentir,feel / be,TRUE,dict
vieron,19934,vieron,vieron,vibrador,vibrator,TRUE,dict
camisa,19926,camisa,camisa,caminero,[UNTRANSLATED] caminero,FALSE,untranslated
prácticamente,19913,prácticamente,prácticamente,provocar,provoke / trigger / cause,TRUE,dict
distintas,19912,distintas,distintas,dar,to give,TRUE,override
perdiendo,19901,perdiendo,perdiendo,percatar,[UNTRANSLATED] percatar,FALSE,untranslated
l,19894,l,l,kriptonita,[UNTRANSLATED] kriptonita,FALSE,untranslated
hubieras,19860,hubieras,hubieras,howie,[UNTRANSLATED] howie,FALSE,untranslated
operaciones,19859,operaciones,operaciones,omc,[UNTRANSLATED] omc,FALSE,untranslated
ciudades,19858,ciudades,ciudades,citar,cite / quote,TRUE,dict
entrega,19857,entrega,entrega,entrar,come / go / step,TRUE,dict
recoger,19838,recoger,recoger,recibir,get / receive,TRUE,dict
saca,19820,saca,saca,sabana,savannah,TRUE,dict
puto,19816,puto,puto,punto,point / light / full stop,TRUE,dict
apareció,19803,apareció,apareció,aparecer,appear / show / turn,TRUE,dict
droga,19794,droga,droga,dramáticamente,dramatically,TRUE,dict
éstos,19792,éstos,éstos,ágil,agile / nimble,TRUE,dict
of,19790,of,of,ocurrir,occur,TRUE,dict
date,19785,date,date,darth,[UNTRANSLATED] darth,FALSE,untranslated
notas,19782,notas,notas,norris,[UNTRANSLATED] norris,FALSE,untranslated
transporte,19779,transporte,transporte,transferir,transfer,TRUE,dict
descansar,19774,descansar,descansar,descabellado,[UNTRANSLATED] descabellado,FALSE,untranslated
cultural,19773,cultural,cultural,cultivar,cultivate / farm / grow,TRUE,dict
cae,19772,cae,cae,cadena,chain / line / string,TRUE,dict
cura,19770,cura,cura,cuna,cradle / crib,TRUE,dict
actor,19759,actor,actor,activo,active,TRUE,dict
confía,19755,confía,confía,confundir,confuse,TRUE,dict
presentar,19746,presentar,presentar,preparar,prepare / prime,TRUE,dict
consecuencias,19737,consecuencias,consecuencias,consagrar,consecrate,TRUE,dict
dra.,19714,dra.,dra,dove,[UNTRANSLATED] dove,FALSE,untranslated
jugadores,19695,jugadores,jugadores,judi,[UNTRANSLATED] judi,FALSE,untranslated
controlar,19694,controlar,controlar,controlar,control / monitor,TRUE,dict
preciosa,19681,preciosa,preciosa,practicar,practice / practise,TRUE,dict
manejar,19679,manejar,manejar,mandar,tell / command,TRUE,dict
agujero,19664,agujero,agujero,aguirre,aguirre,TRUE,dict
india,19662,india,india,indefectiblemente,[UNTRANSLATED] indefectiblemente,FALSE,untranslated
despacho,19659,despacho,despacho,desocupación,unemployment,TRUE,dict
desapareció,19647,desapareció,desapareció,desaparecer,disappear / vanish,TRUE,dict
llevará,19634,llevará,llevará,llenar,fill / crowd,TRUE,dict
to,19625,to,to,tirada,[UNTRANSLATED] tirada,FALSE,untranslated
hablan,19624,hablan,hablan,habitacional,[UNTRANSLATED] habitacional,FALSE,untranslated
campamento,19606,campamento,campamento,camionero,lorry driver / truck driver,TRUE,dict
escuchando,19606,escuchando,escuchando,escuadra,squad / square,TRUE,dict
firme,19604,firme,firme,fino,fine,TRUE,dict
noviembre,19592,noviembre,noviembre,notar,notice / sense / note,TRUE,dict
toque,19581,toque,toque,tomar,take / borrow,TRUE,dict
dejan,19573,dejan,dejan,dejar,allow / give / quit,TRUE,dict
fueran,19573,fueran,fueran,fríamente,[UNTRANSLATED] fríamente,FALSE,untranslated
sr,19573,sr,sr,southern,[UNTRANSLATED] southern,FALSE,untranslated
pon,19567,pon,pon,policía,police / policeman / policewoman,TRUE,dict
querría,19567,querría,querría,quemar,burn,TRUE,dict
funcionar,19564,funcionar,funcionar,fumar,smoke,TRUE,dict
respuestas,19539,respuestas,respuestas,respetuoso,respectful,TRUE,dict
pasé,19508,pasé,pasé,pasear,stroll,TRUE,dict
ii,19497,ii,ii,ignorar,ignore,TRUE,dict
aspectos,19485,aspectos,aspectos,asombrar,surprise / astonish / amaze,TRUE,dict
actualmente,19471,actualmente,actualmente,actualizar,update,TRUE,dict
invitado,19468,invitado,invitado,investigar,conduct / investigate / research,TRUE,dict
mensajes,19466,mensajes,mensajes,mencionar,mention,TRUE,dict
siguientes,19459,siguientes,siguientes,sentar,seat / sit / settle,TRUE,dict
genio,19455,genio,genio,generalizar,generalise,TRUE,dict
aventura,19451,aventura,aventura,avellana,hazelnut,TRUE,dict
adam,19429,adam,adam,ad,ad,TRUE,dict
conde,19381,conde,conde,concurrir,[UNTRANSLATED] concurrir,FALSE,untranslated
enfermera,19379,enfermera,enfermera,enfadar,anger,TRUE,dict
espejo,19371,espejo,espejo,espectáculo,show,TRUE,dict
conocemos,19368,conocemos,conocemos,conner,[UNTRANSLATED] conner,FALSE,untranslated
convirtió,19366,convirtió,convirtió,convertir,convert / turn,TRUE,dict
llamé,19358,llamé,llamé,llamar,call,TRUE,dict
mostrar,19349,mostrar,mostrar,mortal,mortal,TRUE,dict
zonas,19333,zonas,zonas,zafiro,sapphire,TRUE,dict
humanidad,19324,humanidad,humanidad,hueso,bone / stone,TRUE,dict
motor,19322,motor,motor,mostrar,display / show,TRUE,dict
valiente,19320,valiente,valiente,vaciar,[UNTRANSLATED] vaciar,FALSE,untranslated
características,19313,características,características,caracol,snail,TRUE,dict
detener,19308,detener,detener,detective,detective / investigator,TRUE,dict
pasan,19298,pasan,pasan,partir,split,TRUE,dict
podían,19296,podían,podían,pocilga,[UNTRANSLATED] pocilga,FALSE,untranslated
compartir,19293,compartir,compartir,compartir,share,TRUE,dict
discutir,19292,discutir,discutir,discurso,discourse / speech,TRUE,dict
reales,19291,reales,reales,rayo,ray / shaft / thunderbolt,TRUE,dict
plato,19287,plato,plato,plano,plane / plan / flat,TRUE,dict
útil,19287,útil,útil,ético,ethical,TRUE,dict
r,19265,r,r,quitar,take / remove,TRUE,dict
deuda,19259,deuda,deuda,detroit,detroit,TRUE,dict
seguido,19227,seguido,seguido,secuestrar,abduct / kidnap,TRUE,dict
sección,19211,sección,sección,scarlett,[UNTRANSLATED] scarlett,FALSE,untranslated
thomas,19209,thomas,thomas,testificar,[UNTRANSLATED] testificar,FALSE,untranslated
ahi,19204,ahi,ahi,ahgassi,[UNTRANSLATED] ahgassi,FALSE,untranslated
mueve,19204,mueve,mueve,mudo,dumb / speechless / mute,TRUE,dict
utilizar,19200,utilizar,utilizar,usar,use,TRUE,dict
servir,19198,servir,servir,sequía,drought,TRUE,dict
huele,19195,huele,huele,huang,[UNTRANSLATED] huang,FALSE,untranslated
ventaja,19167,ventaja,ventaja,vender,sell,TRUE,dict
tonta,19153,tonta,tonta,tomar,take / borrow,TRUE,dict
siguiendo,19142,siguiendo,siguiendo,sien,temple,TRUE,dict
ponte,19124,ponte,ponte,poner,veto / put / dot,TRUE,dict
jugador,19122,jugador,jugador,judd,[UNTRANSLATED] judd,FALSE,untranslated
aguas,19120,aguas,aguas,aguardar,await / expect / hope,TRUE,dict
kevin,19119,kevin,kevin,keith,[UNTRANSLATED] keith,FALSE,untranslated
chile,19113,chile,chile,chicle,chewing gum,TRUE,dict
gordo,19109,gordo,gordo,gon,[UNTRANSLATED] gon,FALSE,untranslated
entera,19089,entera,entera,entender,understand / misunderstand,TRUE,dict
