rank,lemma,original_lemma,old_translation,new_translation,translation_changed,review_reason,past_relation,past_tense,past_person,past_number,past_context,past_confidence,past_reason,tags
7068,dormí,dormir,you sleep,I slept (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
7075,conocieron,conocer,they knew,they knew (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_er_ir_preterite_3pl,past|preterite|third|plural
7076,conocían,conocer,they knew,they knew (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|third|plural
7099,escuchamos,escuchar,we listened to,we listened to,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
7110,entendió,entender,he understood; she understood; it understood,he understood; she understood; it understood (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
7127,atacaron,atacar,they attacked,they attacked (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
7170,consideraba,considerar,I considered,I considered; he considered; she considered; it considered (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
7178,presentaron,presentar,they presented,they presented (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
7185,entraba,entrar,you lay down obstacles,I layed down obstacles; he layed down obstacles; she layed down obstacles; it layed down obstacles (ongoing habitual/background past),yes,inflected_english_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
7207,matamos,matar,we killed,we killed,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
7209,gustaban,gustar,they tasted,they tasted (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|third|plural
7231,debías,deber,you owed,you owed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,second,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|second|singular
7242,unió,unir,he united; she united; it united,he united; she united; it united (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
7257,desaparecieron,desaparecer,they disappeared,they disappeared (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_er_ir_preterite_3pl,past|preterite|third|plural
7263,soñé,soñar,I dreamed,I dreamed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
7266,advertí,advertir,you warn,I warned (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
7272,abrí,abrir,you open,I opened (completed past),yes,inflected_english_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
7281,caía,caer,I fell,I felled; he felled; she felled; it felled (ongoing habitual/background past),yes,inflected_english_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
7291,escribiste,escribir,you wrote,you wrote (completed past),yes,manual_english_past_override,past_tense_detected,preterite,second,singular,completed past,high,regular_er_ir_preterite_2sg,past|preterite|second|singular
7294,agarró,agarrar,he holded on; she holded on; it holded on,he holded on; she holded on; it holded on (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7316,escribía,escribir,I wrote,I wrote; he wrote; she wrote; it wrote (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
7320,corría,correr,I ran,I ran; he ran; she ran; it ran (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
7345,aprendiste,aprender,you learned,you learned (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_er_ir_preterite_2sg,past|preterite|second|singular
7371,asustó,asustar,he scared; she scared; it scared,he scared; she scared; it scared (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7399,descubrieron,descubrir,they discovered,they discovered (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_er_ir_preterite_3pl,past|preterite|third|plural
7402,lograste,lograr,you got,you got (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_ar_preterite_2sg,past|preterite|second|singular
7408,admitió,admitir,he accepted; she accepted; it accepted,he accepted; she accepted; it accepted (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
7414,compartimos,compartir,we shared,we shared,no,regular_ir_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ir_1pl_ambiguous_with_present,past|preterite|first|plural
7436,escucharon,escuchar,they listened to,they listened to (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
7439,creéis,crear,you believe,you believe,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|second|plural
7454,metiste,meter,you put in,you put in (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_er_ir_preterite_2sg,past|preterite|second|singular
7469,casamos,casar,we married,we married,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
7491,compramos,comprar,we buyed,we buyed,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
7492,creían,creer,they believed,they believed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|third|plural
7502,trataron,tratar,they treated,they treated (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
7505,noté,notar,I noted,I noted (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
7521,engañó,engañar,he tricked; she tricked; it tricked,he tricked; she tricked; it tricked (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7539,retiró,retirar,he removed; she removed; it removed,he removed; she removed; it removed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7552,acusó,acusar,he accused; she accused; it accused,he accused; she accused; it accused (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7560,ordenes,ordenar,you order,you order,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|second|singular
7561,recibiste,recibir,you received,you received (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_er_ir_preterite_2sg,past|preterite|second|singular
7564,conducía,conducir,I drived,I drove; he drove; she drove; it drove (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
7570,falló,fallar,he failed; she failed; it failed,he failed; she failed; it failed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7590,movió,mover,he moved; she moved; it moved,he moved; she moved; it moved (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
7594,elegí,elegir,you choose,I chose (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
7648,solicitó,solicitar,he requested; she requested; it requested,he requested; she requested; it requested (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7651,regaló,regalar,he regaled; she regaled; it regaled,he regaled; she regaled; it regaled (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7656,series,seriar,you serialize,you serialize,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|second|singular
7674,reveló,revelar,he revealed; she revealed; it revealed,he revealed; she revealed; it revealed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7690,mandé,mandar,I sent,I sent (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
7703,sobrevivió,sobrevivir,he survived; she survived; it survived,he survived; she survived; it survived (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
7722,pensaban,pensar,they thought,they thought (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|third|plural
7730,acordamos,acordar,we agreed,we agreed,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
7746,aparecía,aparecer,I appeared,I appeared; he appeared; she appeared; it appeared (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
7749,condujo,conducir,he drived; she drived; it drived,he drove; she drove; it drove (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,manual_ducir_j_stem_preterite,past|preterite|third|singular
7762,pasaban,pasar,they passed,they passed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|third|plural
7771,eché,echar,I throwed,I throwed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
7790,mudó,mudar,he moved; she moved; it moved,he moved; she moved; it moved (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7806,permitía,permitir,I allowed,I allowed; he allowed; she allowed; it allowed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
7827,voló,volar,he flied; she flied; it flied,he flew; she flew; it flew (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7829,hubiesen,haber,they had (past subjunctive; auxiliary/existence),they had (past subjunctive; auxiliary/existence),no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|imperfect_se|third|plural
7831,usaste,usar,you used,you used (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_ar_preterite_2sg,past|preterite|second|singular
7834,arruinó,arruinar,he ruined; she ruined; it ruined,he ruined; she ruined; it ruined (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7835,necesitaban,necesitar,they needed,they needed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|third|plural
7854,registró,registrar,he registered; she registered; it registered,he registered; she registered; it registered (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7866,convenció,convencer,he convinced; she convinced; it convinced,he convinced; she convinced; it convinced (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
7873,regresamos,regresar,we returned,we returned,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
7879,ocurría,ocurrir,I happened,I happened; he happened; she happened; it happened (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
7897,debíamos,deber,we owed,we owed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,first,plural,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|first|plural
7913,intentaste,intentar,you tried,you tried (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_ar_preterite_2sg,past|preterite|second|singular
7927,empezaste,empezar,you started,you started (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_ar_preterite_2sg,past|preterite|second|singular
7929,descubrimos,descubrir,we discovered,we discovered,no,regular_ir_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ir_1pl_ambiguous_with_present,past|preterite|first|plural
7931,informaron,informar,they informed,they informed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
7937,estableció,establecer,he established; she established; it established,he established; she established; it established (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
7952,pagamos,pagar,we paid,we paid,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
7961,quemó,quemar,he burned; she burned; it burned,he burned; she burned; it burned (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
7983,ayudé,ayudar,I helped,I helped (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
7985,recogió,recoger,he collected; she collected; it collected,he collected; she collected; it collected (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
8007,tiré,tirar,I throwed,I throwed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
8011,enviaste,enviar,you sent,you sent (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_ar_preterite_2sg,past|preterite|second|singular
8013,usaron,usar,they used,they used (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
8015,resultaron,resultar,they resulted,they resulted (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
8017,cruzó,cruzar,he crossed; she crossed; it crossed,he crossed; she crossed; it crossed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8019,denunció,denunciar,he denounced; she denounced; it denounced,he denounced; she denounced; it denounced (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8030,necesitábamos,necesitar,we needed,we needed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,first,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|first|plural
8040,visitó,visitar,he visited; she visited; it visited,he visited; she visited; it visited (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8043,asesinaron,asesinar,they murdered,they murdered (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
8046,pensábamos,pensar,we thought,we thought (ongoing habitual/background past),yes,manual_english_past_override,past_tense_detected,imperfect,first,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|first|plural
8052,contamos,contar,we counted,we counted,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
8087,toqué,tocar,I touched,I touched (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,orthographic_car_preterite_1sg,past|preterite|first|singular
8107,quedaste,quedar,you were,you were (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_ar_preterite_2sg,past|preterite|second|singular
8110,durmió,dormir,he sleeped; she sleeped; it sleeped,he slept; she slept; it slept (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,singular,completed past,medium,ir_stem_change_preterite_3sg,past|preterite|third|singular
8159,hablábamos,hablar,we talked,we talked (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,first,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|first|plural
8160,partió,partir,he divided; she divided; it divided,he divided; she divided; it divided (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_er_ir_preterite_3sg,past|preterite|third|singular
8182,hallamos,hallar,we found something,we found something,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
8192,rompiste,romper,you breaked,you broke (completed past),yes,manual_english_past_override,past_tense_detected,preterite,second,singular,completed past,high,regular_er_ir_preterite_2sg,past|preterite|second|singular
8207,disparé,disparar,I shooted,I shot (completed past),yes,manual_english_past_override,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
8211,explotó,explotar,he exploited; she exploited; it exploited,he exploited; she exploited; it exploited (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8222,mostraba,mostrar,I showed,I showed; he showed; she showed; it showed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
8223,marcó,marcar,he marked; she marked; it marked,he marked; she marked; it marked (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8227,entres,entrar,you enter,you enter,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|second|singular
8256,violó,violar,he violated; she violated; it violated,he violated; she violated; it violated (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8260,apuntó,apuntar,he pointed; she pointed; it pointed,he pointed; she pointed; it pointed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8262,ganaron,ganar,they gained,they gained (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
8278,sentiste,sentir,you felt,you felt (completed past),yes,manual_english_past_override,past_tense_detected,preterite,second,singular,completed past,high,regular_er_ir_preterite_2sg,past|preterite|second|singular
8292,cantaba,cantar,I singed,I singed; he singed; she singed; it singed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
8301,labores,laborar,you labor,you labor,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|second|singular
8304,llegaban,llegar,they arrived,they arrived (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|third|plural
8307,gritaba,gritar,I shouted,I shouted; he shouted; she shouted; it shouted (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
8324,desarrolló,desarrollar,he developed; she developed; it developed,he developed; she developed; it developed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8332,actuó,actuar,he acted; she acted; it acted,he acted; she acted; it acted (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8346,marines,marinar,you marinate,you marinate,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|second|singular
8378,reciba,recibir,he receives; she receives; it receives,he receives; she receives; it receives,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|singular_ambiguous
8383,extrañé,extrañar,I missed,I missed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
8388,are,arar,he ploughs; she ploughs; it ploughs,he ploughs; she ploughs; it ploughs,no,blocked_by_existing_mood_tag,,,,,,,,subjunctive|present|singular_ambiguous
8390,revisé,revisar,I revised,I revised (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_ar_preterite_1sg,past|preterite|first|singular
8399,dedicó,dedicar,he dedicated; she dedicated; it dedicated,he dedicated; she dedicated; it dedicated (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8425,encargó,encargar,he entrusted; she entrusted; it entrusted,he entrusted; she entrusted; it entrusted (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8442,abrieron,abrir,they opened,they opened (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_er_ir_preterite_3pl,past|preterite|third|plural
8456,convertí,convertir,you convert,I converted (completed past),yes,inflected_english_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
8457,calificó,calificar,he qualified; she qualified; it qualified,he qualified; she qualified; it qualified (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8460,participó,participar,he participated; she participated; it participated,he participated; she participated; it participated (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8495,besó,besar,he kissed; she kissed; it kissed,he kissed; she kissed; it kissed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8502,mostraron,mostrar,they showed,they showed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
8508,movía,mover,I moved,I moved; he moved; she moved; it moved (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|singular_ambiguous
8510,miramos,mirar,we looked at,we looked at,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
8511,salían,salir,they went out,they went out (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|third|plural
8516,solías,soler,you tended to,you tended to (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,second,singular,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|second|singular
8526,naciste,nacer,you were born,you were born (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,second,singular,completed past,high,regular_er_ir_preterite_2sg,past|preterite|second|singular
8543,deseamos,desear,we wished,we wished,no,regular_ar_1pl_ambiguous_with_present,past_candidate_only,preterite,first,plural,completed past,low,regular_ar_1pl_ambiguous_with_present,past|preterite|first|plural
8544,viví,vivir,you live,I lived (completed past),yes,inflected_english_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
8551,existían,existir,they existed,they existed (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,third,plural,ongoing habitual/background past,high,regular_er_ir_imperfect,past|imperfect|third|plural
8553,colocó,colocar,he placed; she placed; it placed,he placed; she placed; it placed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8596,participaron,participar,they participated,they participated (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
8605,arrestaron,arrestar,they arrested,they arrested (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
8611,quisieron,querer,they desired,they wanted (completed past),yes,manual_english_past_override,past_tense_detected,preterite,third,plural,completed past,high,manual_strong_preterite,past|preterite|third|plural
8612,estudió,estudiar,he studied; she studied; it studied,he studied; she studied; it studied (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8622,corrí,correr,I ran,I ran (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,first,singular,completed past,high,regular_er_ir_preterite_1sg,past|preterite|first|singular
8638,comenzaba,comenzar,I began,I began; he began; she began; it began (ongoing habitual/background past),yes,trusted_existing_past_gloss,past_tense_detected,imperfect,singular_ambiguous,singular,ongoing habitual/background past,high,regular_ar_imperfect,past|imperfect|singular_ambiguous
8656,celebró,celebrar,he celebrated; she celebrated; it celebrated,he celebrated; she celebrated; it celebrated (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,singular,completed past,high,regular_ar_preterite_3sg,past|preterite|third|singular
8681,pagaron,pagar,they paid,they paid (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
8682,quitaron,quitar,they removed,they removed (completed past),yes,trusted_existing_past_gloss,past_tense_detected,preterite,third,plural,completed past,high,regular_ar_preterite_3pl,past|preterite|third|plural
