rank,lemma,translation
9814,timón,rudder
9815,patología,pathology
9816,co,dude; friend
9817,planteamientos,approach; position (masculine plural)
9818,progresos,headway; progress; advancement (masculine plural)
9819,transportar,to transport
9820,calcula,you calculate
9821,camello,camel
9822,nudos,knot (masculine plural)
9823,aislados,isolated (masculine plural)
9824,aceptaré,I will accept
9825,elijo,I boil
9826,gorila,gorilla
9827,rotas,broken (feminine plural)
9828,francotirador,sniper
9829,horizontal,landscape
9830,introduce,you insert
9831,sonora,audible (feminine singular)
9832,acosté,I layed (completed past)
9833,soborno,bribery
9834,penales,you punish
9835,denominación,denomination
9836,orillas,bank; shore (plural)
9837,atrevo,I dare
9838,equivale,he is equivalent; she is equivalent; it is equivalent
9839,bordes,edge; brink; verge; border (plural)
9840,fármacos,medicine; medication (masculine plural)
9841,dilema,dilemma; quandary
9842,empezará,he will start; she will start; it will start
9843,realidades,reality (plural)
9844,afectadas,affected (feminine plural)
9845,cafés,brown (plural)
9846,nadando,naiant
9847,pedo,fart
9848,transformado,transformed
9849,empacar,to pack
9850,honra,honor
9851,salvavidas,emergency; life saving
9852,enseñan,they teach
9853,explosiones,bang; blast; burst; explosion
9854,históricas,historical (feminine plural)
9855,íntimos,intimate (masculine plural)
9856,aquéllos,that one
9857,intérprete,interpreter
9858,mostrarles,to show them
9859,sartén,frying pan
9860,observadores,observant (plural)
9861,anotar,to annotate
9862,emplea,you hire
9863,solemne,solemn
9864,feto,fetus
9865,ciervo,deer; stag
9866,componen,they compose
9867,hospitalidad,hospitality
9868,superioridad,superiority
9869,dotado,gifted; talented
9870,prosperidad,prosperity
9871,atrapa,you capture
9872,bajé,I went down (completed past)
9873,complicidad,complicity
9874,deberás,you will owe
9875,suéter,jumper; sweater; pullover
9876,dieran,they gave (past subjunctive)
9877,haciéndose,doing
9878,inesperada,unexpected (feminine singular)
9879,tragar,to swallow
9880,seguras,safe; secure (feminine plural)
9881,aprendiz,apprentice
9882,disgusto,displeasure
9883,púrpura,purpure
9884,póquer,poker
9885,sanción,sanction
9886,alegres,joyful; cheerful (plural)
9887,ocultos,occult (masculine plural)
9888,regresan,they return
9889,suéltala,you release
9890,acercaba,I brought close; he brought close; she brought close; it brought close (ongoing habitual/background past)
9891,asma,asthma
9892,faltas,lack; shortage (plural)
9893,movida,party
9894,nuez,nut
9895,olvidamos,we forgeted
9896,violador,violating
9897,ajustar,to adjust
9898,marcial,martial
9899,tácticas,tactical (feminine plural)
9900,arrastrado,dragged
9901,resurrección,resurrection
9902,audaz,bold; daring; audacious
9903,mínimas,minimal (feminine plural)
9904,participa,you participate
9905,chao,bye; goodbye
9906,nacionalismo,nationalism
9907,penetrar,to penetrate
9908,constituido,constituted (past participle masculine singular)
9909,mudar,to move
9910,abeja,bee
9911,altitud,altitude
9912,véase,he sees; she sees; it sees
9913,enfrentamientos,matchup; showdown; face-off; match-up (masculine plural)
9914,agraria,agrarian; agricultural (feminine singular)
9915,naranjas,orange (plural)
9916,preparo,I prepare
9917,antídoto,antidote
9918,batido,shot; chatoyant; variegated
9919,cogerlo,to take it (masculine)
9920,conducto,duct
9921,expuestos,exposed (masculine plural)
9922,iros,to go away
9923,superarlo,to surpass it (masculine)
9924,agrado,pleasure; satisfaction
9925,competente,competent
9926,condón,condom
9927,pescador,fishing; that fishes
9928,rezando,praying
9929,cierro,close; closing
9930,comunicar,to communicate
9931,diplomática,diplomacy (feminine singular)
9932,legislativo,legislative
9933,olímpicos,Olympic (masculine plural)
9934,perfectas,perfect (feminine plural)
9935,celebrada,celebrated (feminine singular)
9936,natación,swimming
9937,navidades,Christmas present (plural)
9938,prudencia,care; caution; prudence
9939,agrupación,grouping
9940,bum,boom
9941,emite,you issue
9942,picada,peck
9943,robles,oak (plural)
9944,radiante,radiant; radiating
9945,ácidos,tart; sharp (masculine plural)
9946,ánimos,soul; mood; spirit (masculine plural)
9947,casita,small house
9948,jerez,sherry
9949,amistades,friendship (plural)
9950,emocionales,emotional (plural)
9951,extendido,extended
9952,gasolinera,garage; gas station; petrol station; filling station (feminine singular)
9953,glorioso,proud; glorious
9954,pamela,typically worn by women; a type of straw hat with large brim
9955,progresiva,progressive (feminine singular)
9956,depender,to depend
9957,implantación,implantation
9958,victima,you murder someone
9959,letrero,sign; signpost; signboard
9960,modernidad,modernity; modern day
9961,preside,he presides; she presides; it presides
9962,reactor,jet engine
9963,suposición,guess; assumption; supposition
9964,guardería,kindergarten; nursery school
9965,nieves,snow (plural)
9966,regresaron,they returned (completed past)
9967,ayudaron,they helped (completed past)
9968,eléctricos,electric; electrical (masculine plural)
9969,enormemente,enormously
9970,llegarás,you will arrive
9971,manuscrito,handwritten
9972,peleamos,we fighted
9973,calmado,calm; quiet
9974,filmación,filming
9975,topo,mole
9976,zanahoria,carrot
9977,cruzados,crossed (masculine plural)
9978,empresariales,business studies
9979,esquemas,outline (plural)
9980,patos,duck; drake (masculine plural)
9981,poblado,populous; populated
9982,amablemente,kindly; friendly
9983,amoroso,amorous
9984,ayudaba,I helped; he helped; she helped; it helped (ongoing habitual/background past)
9985,retener,to retain
9986,secta,sect
9987,bebía,I drank; he drank; she drank; it drank (ongoing habitual/background past)
9988,correctas,right; correct (feminine plural)
9989,dureza,hardness
9990,reducida,reduced (feminine singular)
9991,telecomunicaciones,telecommunication
9992,añadido,adding; addition
9993,desafíos,challenge (masculine plural)
9994,descubrimientos,discovery (masculine plural)
9995,patética,pathetic (feminine singular)
9996,pelirroja,redheaded (feminine singular)
9997,servidores,server (plural)
9998,aproxima,you approach
9999,estalló,he exploded; she exploded; it exploded (completed past)
10000,inquieto,cross; unquiet; restless; agitated
10001,perdonarme,to pardon me
10002,reportes,report (plural)
10003,veros,to see you all
10004,índices,index (plural)
10005,imprenta,printing
10006,violada,violet (feminine singular)
10007,protesto,protest
10008,desgraciados,unfortunate (masculine plural)
10009,diarrea,diarrhea
10010,infernal,hell
10011,permisos,permission (masculine plural)
10012,podrido,rotten; addled; spoiled
10013,tolerar,to tolerate
10014,docente,teaching
10015,calificado,qualified
10016,comprarte,to buy you
10017,limusina,limo; limousine
10018,perjuicio,detriment
10019,procesar,to process
10020,ético,ethical
10021,conversión,conversion
10022,esquinas,corner (plural)
10023,seleccionar,to select
10024,cárceles,prison (plural)
10025,desesperados,desperate (masculine plural)
10026,inquietante,worrying
10027,mantenemos,we keep
10028,psíquico,mental; psychic
10029,asignación,allowance
10030,diligencia,diligence
10031,modernización,modernization
10032,pilas,watch out!; be careful!
10033,culos,ass; arse; rear; booty (masculine plural)
10034,lógicamente,logically
10035,barriles,barrel (plural)
10036,importación,importation
10037,líquidos,liquid (masculine plural)
10038,mantenernos,to keep us
10039,comunitaria,community (feminine singular)
10040,estudiantil,related to students
10041,maní,peanut
10042,surf,surfing
10043,divide,he divides; she divides; it divides
10044,plancha,iron
10045,referido,reported (past participle masculine singular)
10046,validez,validity
10047,abres,you open
10048,adelantó,he brought forward; she brought forward; it brought forward (completed past)
10049,diseñador,designer
10050,asusté,I scared (completed past)
10051,herrero,blacksmith
10052,tardaré,I will delay
10053,gobernación,government; governance
10054,acabaría,I would finish
10055,buques,ship; vessel (plural)
10056,fracción,fraction
10057,machos,male (masculine plural)
10058,sometidos,submissive (masculine plural)
10059,tinieblas,shadow (plural)
10060,almacenamiento,storage; storing
10061,calentamiento,warming
10062,denle,he gives; she gives; it gives
10063,pobrecito,poor
10064,autoestima,self-esteem
10065,manifestado,manifested
10066,necesitado,needy; in need
10067,tramando,ploting
10068,bolígrafo,ballpoint pen
10069,rezo,etc; prayer; the Hail Mary; that is repeated or recited
10070,conlleva,you entail
10071,reconocí,I recognized (completed past)
10072,unirme,to unite me
10073,morada,abode; dwelling
10074,patata,potato
10075,ansiosa,anxious (feminine singular)
10076,estudié,I studied (completed past)
10077,fabricantes,manufacturer (plural)
10078,volado,superscript
10079,contundente,heavy; severe
10080,relevancia,relevance
10081,chulo,cute; cool; pretty; lovely
10082,huérfanos,orphan (masculine plural)
10083,mantas,cloth; blanket; cloth banner (plural)
10084,negativas,negative (feminine plural)
10085,adrenalina,adrenaline
10086,anular,to annul
10087,ocupaba,I occupied; he occupied; she occupied; it occupied (ongoing habitual/background past)
10088,percibe,you perceive
10089,párate,stop you
10090,alejados,far; faraway; distant (masculine plural)
10091,conducen,they drive
10092,desafortunado,unfortunate; without luck
10093,respectivas,respective (feminine plural)
10094,corro,ring; circle
10095,firmemente,firmly; strongly
10096,mienten,they lie
10097,profecía,prophecy
10098,teóricos,theoretical (masculine plural)
10099,arreglando,fixing
10100,benjamín,usually around 8 to 11
10101,hembras,female (plural)
10102,trámite,step; procedure
10103,cajero,cashier
10104,manifestantes,protester; demonstrator (plural)
10105,padrastro,stepfather
10106,carencia,lack; shortage
10107,elija,he chooses; she chooses; it chooses
10108,locuras,madness; craziness (plural)
10109,reírse,to laugh
10110,violado,violet
10111,amé,I loved (completed past)
10112,trasladar,to move
10113,creerás,you will believe
10114,mariposas,butterfly (plural)
10115,distingue,you distinguish
10116,religiones,religion
10117,integran,they integrate
10118,lila,lilac
10119,temporadas,season; period; span of time (plural)
10120,alucinaciones,hallucination
10121,equipamiento,gear; equipment
10122,flauta,flute
10123,quitas,exempt (feminine plural)
10124,hallan,they find something
10125,razas,race; ethnicity (plural)
10126,geográfica,geographic (feminine singular)
10127,lavabo,washbasin; bathroom sink
10128,apuntan,they point
10129,cese,cessation
10130,pagarlo,to pay it (masculine)
10131,preparé,I prepared (completed past)
10132,protestar,to protest
10133,boxeador,boxer
10134,vendía,I sold; he sold; she sold; it sold (ongoing habitual/background past)
10135,bota,boot
10136,facilita,easy; facile; simple (feminine singular)
10137,implicados,implicated (masculine plural)
10138,pronunciar,to pronounce
10139,levantarte,to get up
10140,relaciona,you relate
10141,lucir,to shine
10142,produjeron,they produced (completed past)
10143,estatutos,statute (masculine plural)
10144,sugieren,they suggest
10145,vómito,vomit
10146,adoran,they worship
10147,atravesó,he crossed; she crossed; it crossed (completed past)
10148,denominada,named; called; entitled; denominated (feminine singular)
10149,escapando,escaping
10150,garzón,waiter
10151,interrogar,to interrogate
10152,adversario,adversary
10153,chilenos,Chilean (masculine plural)
10154,instructor,teacher
10155,mencioné,I mentioned (completed past)
10156,opone,he pits; she pits; it pits
10157,senté,I seated (completed past)
10158,arrojar,to throw
10159,descartar,to rule out
10160,descubren,they discover
10161,dondequiera,anywhere; wherever
10162,delirio,delirium
10163,futbol,football
10164,seleccionado,selected
10165,vainilla,vanilla
10166,hazle,do to him or her
10167,clavos,nail; spike (masculine plural)
10168,defendió,he defended; she defended; it defended (completed past)
10169,disfrutado,enjoyed
10170,guardianes,warden; guardian
10171,tributo,tribute
10172,auge,boom; rise; growth
10173,controlan,they control
10174,séptima,seventh (feminine singular)
10175,obligar,to force
10176,charlas,talk; chat (plural)
10177,encargará,he will entrust; she will entrust; it will entrust
10178,meditación,meditation
10179,pedidos,order (masculine plural)
10180,pertenencias,belonging (plural)
10181,tenedor,fork
10182,asumió,he assumed; she assumed; it assumed (completed past)
10183,metropolitana,metropolitan (feminine singular)
10184,preliminar,preliminary; introductory
10185,consciencia,conscience
10186,fósiles,fossil (plural)
10187,sucedía,I happened; he happened; she happened; it happened (ongoing habitual/background past)
10188,solana,strong sunshine
10189,enojo,anger
10190,narrativa,narrative
10191,nómina,payroll
10192,chilena,Chilean (feminine singular)
10193,insensible,cold; callous; insensitive
10194,paracaídas,parachute
10195,ambientes,atmosphere (plural)
10196,intermedio,intermediate
10197,arca,ark; chest
10198,trescientos,three hundred
10199,golpeé,I hit (completed past)
10200,soñaba,I dreamed; he dreamed; she dreamed; it dreamed (ongoing habitual/background past)
10201,destinos,fate; destiny (masculine plural)
10202,quejarse,to complain
10203,sacaremos,we will put out
10204,hispano,Spanish
10205,usaban,they used (ongoing habitual/background past)
10206,africanos,African (masculine plural)
10207,inclinación,incline
10208,lastima,you injure
10209,remate,auction
10210,condones,condom
10211,contestado,replied
10212,joda,annoyance
10213,labio,lip
10214,mitos,myth (masculine plural)
10215,musica,you musicalise
10216,hundido,sinked (past participle masculine singular)
10217,indicada,indicated (feminine singular)
10218,partiendo,dividing
10219,prendas,garment (plural)
10220,virginidad,virginity
10221,indemnización,indemnity
10222,joyería,store; jewelry shop
10223,arroja,you throw
10224,cante,song
10225,enteros,whole; entire (masculine plural)
10226,preguntarse,to ask
10227,activar,to activate
10228,luchan,they fight
10229,confunde,you confuse
10230,enfrentan,they confront
10231,micro,minibus
10232,sirenas,siren (plural)
10233,mensual,monthly
10234,nalgas,buttock (plural)
10235,proximidad,proximity
10236,inconvenientes,inconvenient (plural)
10237,coser,to sew
10238,impotencia,impotence; impotency
10239,paramos,we give birth
10240,demandar,to insist
10241,morirse,to die
10242,emprender,to undertake
10243,besado,kissed
10244,olvidando,forgeting
10245,tibia,shinbone
10246,tinto,dark red
10247,bocado,mouthful
10248,decadencia,decay; decline
10249,encajar,to insert
10250,trascendencia,importance
10251,autógrafo,handwritten
10252,mayormente,mainly; largely
10253,amarillas,yellow or golden (feminine plural)
10254,cerraron,they closed (completed past)
10255,establecidos,established (masculine plural)
10256,prototipo,prototype
10257,rocío,dew
10258,vanidad,vanity
10259,leales,fair; loyal; honest; adhering to the rules of propriety (plural)
10260,luchamos,we fighted
10261,milenio,millennium
10262,presionando,pressuring
10263,sanguíneo,sanguineous
10264,tierna,tender; affectionate (feminine singular)
10265,prefería,I prefered; he prefered; she prefered; it prefered (ongoing habitual/background past)
10266,profundidades,depth (plural)
10267,respondiendo,answering
10268,bloquear,to block
10269,curación,cure; treatment
10270,reflexiones,reflection
10271,alucinante,hallucinatory; hallucinating
10272,pediría,I would ask for something
10273,proveedor,supplier; provider; purveyor
10274,tonos,tone (masculine plural)
10275,concluido,concluded (past participle masculine singular)
10276,reunieron,they gathered (completed past)
10277,mezclado,mixed
10278,rincones,angle; corner
10279,daga,dagger
10280,repuesto,spare; spare part
10281,constituir,to constitute
10282,desvío,detour; diversion
10283,pagarme,to pay me
10284,capacitación,training
10285,emperatriz,emperor
10286,subieron,they raised (completed past)
10287,gorro,cap
10288,intercambiar,to interchange
10289,irrelevante,moot; irrelevant; unimportant
10290,volúmenes,volume
10291,insulina,insulin
10292,jura,oath; swearing
10293,vestirse,to dress
10294,representaba,I represented; he represented; she represented; it represented (ongoing habitual/background past)
10295,molde,mold; cast
10296,supieran,they knew (past subjunctive)
10297,agradecemos,we thank
10298,cristianismo,Christianity
10299,prestó,he lended; she lended; it lended (completed past)
10300,avisa,you tell
10301,judías,Jewish (feminine plural)
10302,detenerte,to detain you
10303,encendió,he lighted; she lighted; it lighted (completed past)
10304,frustrado,abortive; frustrated; unsuccessful
10305,rayas,line (plural)
10306,regularmente,regularly
10307,temblar,to tremble
10308,tontas,stupid (feminine plural)
10309,descendientes,descendant (plural)
10310,galerías,gallery (plural)
10311,ta,okay
10312,verdugo,hangman; executioner
10313,clemente,lenient
10314,ente,being
10315,referéndum,referendum
10316,revolucionarios,revolutionary (masculine plural)
10317,amen,they love
10318,enigma,conundrum
10319,legión,legion
10320,plátano,banana
10321,zanahorias,carrot (plural)
10322,compañeras,comrade; companion; colleague (plural)
10323,preocuparnos,to worry us
10324,preparan,they prepare
10325,reinado,reign
10326,excitación,arousal
10327,expone,he exhibits; she exhibits; it exhibits
10328,vencida,win; victory
10329,arruinando,ruining
10330,brillar,to shine
10331,burdel,brothel; whorehouse
10332,finge,you pretend
10333,soberano,sovereign
10334,arrastra,you drag
10335,decisiva,decisive (feminine singular)
10336,existió,he existed; she existed; it existed (completed past)
10337,relajado,relaxed
10338,vasca,Basque (feminine singular)
10339,vencedor,conquering
10340,automática,automatization
10341,mudarme,to move me
10342,vivieron,they lived (completed past)
10343,tomadas,drunk (feminine plural)
10344,pónganse,they put
10345,quijote,champion
10346,rasgo,act; stroke; flourish
10347,demostrarlo,to show it (masculine)
10348,disculpan,they excuse
10349,equivocó,he mistaked; she mistaked; it mistaked (completed past)
10350,filmando,filming
10351,limonada,lemonade
10352,salirse,to go out
10353,suegro,father-in-law
10354,zombi,zombie
10355,arrastrar,to drag
10356,lanzando,throwing
10357,sacos,bag; sack (masculine plural)
10358,concentrarme,to concentrate me
10359,hambrientos,famished; very hungry (masculine plural)
10360,pellejo,skin; hide
10361,rupias,rupiah; including the rupee (plural)
10362,convencerme,to convince me
10363,diseñar,to design
10364,impulsar,to impel
10365,gobernantes,ruling (plural)
10366,producciones,production
10367,suizo,Swiss
10368,confundir,to confuse
10369,manto,cloak; shroud
10370,piña,pinecone
10371,franca,franc (feminine singular)
10372,ingenua,ingénue; ingenue
10373,tigres,tiger (plural)
10374,imposibles,impossible (plural)
10375,gemela,twin (feminine singular)
10376,levantando,lifting
10377,partidas,broken (feminine plural)
10378,explota,you exploit
10379,inventé,I invented (completed past)
10380,monopolio,monopoly
10381,prepararse,to prepare
10382,pelean,they fight
10383,barbilla,chin
10384,décimo,tenth
10385,obligatorio,mandatory
10386,preocupante,worrying
10387,informativos,informative (masculine plural)
10388,maligno,malicious; malevolent
10389,pardo,dun; brown
10390,usaremos,we will use
10391,deportivas,sports; sportive (feminine plural)
10392,indicadores,signaling; indicating (plural)
10393,interpreta,you interpret
10394,abandonaron,they abandoned (completed past)
10395,géneros,kind (masculine plural)
10396,riquezas,wealth; richness; affluence (plural)
10397,actualización,update
10398,dedicar,to dedicate
10399,vieras,you saw
10400,baratos,cheap; inexpensive; sold at a low price (masculine plural)
10401,pinto,spotted; mottled; blotchy
10402,rendirse,to conquer
10403,penetración,penetration
10404,desagradables,unpleasant; distasteful; off-putting; disagreeable (plural)
10405,atendiendo,paying attention to
10406,conocéis,you know (vosotros present indicative)
10407,pezones,nipple
10408,aclara,you clarify
10409,distraído,distracted; absent-minded
10410,honda,sling; slingshot
10411,puntuación,punctuation
10412,venderlo,to sell it (masculine)
10413,vístete,you dress
10414,alabado,A Catholic devotional hymn
10415,ancha,large town
10416,presiona,you pressure
10417,procura,procural; procurement
10418,reunirnos,to gather us
10419,seguirme,to follow me
10420,quité,I removed (completed past)
10421,amarte,to love you
10422,grandiosa,great; grandiose (feminine singular)
10423,panza,paunch
10424,mojada,wet (feminine singular)
10425,besarte,to kiss you
10426,ilegalmente,illegally
10427,ángulos,angle (masculine plural)
10428,recuperarse,to recover
10429,tocarlo,to touch it (masculine)
10430,extendió,he extended; she extended; it extended (completed past)
10431,vistos,seen (masculine plural)
10432,receptores,receiving (plural)
10433,subimos,we raised
10434,dirigimos,we directed
10435,saldo,balance
10436,bofetada,a slap in the face
10437,escondidos,hidden (masculine plural)
10438,poderosas,powerful (feminine plural)
10439,soporta,you bear
10440,avisaré,I will tell
10441,infectado,infected
10442,descuidado,neglected
10443,discoteca,club; discotheque
10444,sonrisas,smile (plural)
10445,asesores,advisor; consultant (plural)
10446,establecida,established (feminine singular)
10447,académica,academic (feminine singular)
10448,reunimos,we gathered
10449,rito,rite
10450,disfrazado,disguised
10451,previsión,prevision
10452,acordar,to agree
10453,atar,to tie
10454,relevo,relief
10455,cabecera,bedhead; headboard
10456,colombiana,Colombian (feminine singular)
10457,completos,full; complete (masculine plural)
10458,idéntico,identical
10459,testículos,testicle (masculine plural)
10460,criados,servant (masculine plural)
10461,evacuar,to evacuate
10462,locutor,announcer; newscaster; newsreader; commentator
10463,morder,to bite
10464,remolque,trailer
10465,lloró,he cried; she cried; it cried (completed past)
10466,panda,gang; bunch
10467,reno,caribou; reindeer
10468,sostenido,supported
10469,arcilla,clay
10470,filtro,filter
10471,asiático,Asian
10472,ce,c
10473,inapropiado,unsuitable; inappropriate
10474,razonamiento,reasoning
10475,sanguínea,sanguineous (feminine singular)
10476,doctorado,doctorate
10477,averiguado,found out
10478,debidamente,properly
10479,enseñaste,you taught (completed past)
10480,estatus,status
10481,sentaba,I seated; he seated; she seated; it seated (ongoing habitual/background past)
10482,ajustes,adjustment; fine-tuning (plural)
10483,ardilla,squirrel
10484,comprendió,he understood; she understood; it understood (completed past)
10485,energético,energy; energetic
10486,localidades,locality (plural)
10487,milímetros,millimeter (masculine plural)
10488,pautas,rule; ruler (plural)
10489,ternera,veal
10490,terrestres,terrestrial (plural)
10491,arrogancia,arrogance
10492,cazando,hunting
10493,mutua,mutual (feminine singular)
10494,ocio,leisure
10495,bocas,synonym of bocazas (plural)
10496,descargar,to unload
10497,plantar,to plant
10498,continuaba,I continued; he continued; she continued; it continued (ongoing habitual/background past)
10499,fortalecer,to fortify
10500,trámites,admin; paperwork (plural)
10501,procesado,processed
10502,muelles,soft; mild (plural)
10503,remedios,remedy; solution (masculine plural)
10504,turcos,Turkish (masculine plural)
10505,ahogado,drowned man
10506,discípulos,disciple (masculine plural)
10507,previsiones,prevision
10508,servirle,to serve to him or her
10509,trabajaré,I will work
10510,arañas,spider (plural)
10511,cabras,female goat (plural)
10512,carrillo,jowl; cheek
10513,ajenos,of others; belonging to someone else (masculine plural)
10514,estrelló,he smashed; she smashed; it smashed (completed past)
10515,judas,traitor
10516,norteamericanas,North American (feminine plural)
10517,carnet,identity card
10518,destacados,notable; salient; prominent; outstanding (masculine plural)
10519,espiando,spying
10520,imposibilidad,impossibility
10521,latinoamericanos,Latin American (masculine plural)
10522,legisladores,legislator (plural)
10523,rodeo,detour
10524,latino,Italy; of Lazio
10525,vena,vein
10526,belga,Belgian
10527,dedicados,dedicated (masculine plural)
10528,matrimonial,marriage
10529,partidario,in favor of
10530,retrete,toilet
10531,volverme,to become
10532,guarida,den; lair; cave
10533,ligado,ligature
10534,rompen,they break
10535,sacaba,I put out; he put out; she put out; it put out (ongoing habitual/background past)
10536,resistente,tough; strong; resistant
10537,ceremonias,ceremony (plural)
10538,presentaré,I will present
10539,recordará,he will remember; she will remember; it will remember
10540,eligieron,they chose (completed past)
10541,sastre,tailor
10542,ideológica,ideological (feminine singular)
10543,prestaciones,service
10544,auténticos,real; true; authentic (masculine plural)
10545,funda,a bag made of paper or plastic
10546,pos,synonym of pues
10547,aumentan,they increase
10548,especializado,specialized
10549,mandos,command (masculine plural)
10550,rebaño,flock
10551,disculparte,to excuse you
10552,gruesa,gross
10553,intestino,internal; internecine
10554,comunión,communion
10555,devolverle,to return to him or her
10556,ramera,harlot; prostitute
10557,reclamo,complaint
10558,acostaste,you layed (completed past)
10559,buscaremos,we will seek
10560,cebo,bait
10561,delincuencia,crime; delinquency
10562,galán,gallant
10563,aplicado,applied
10564,contenía,I contained; he contained; she contained; it contained (ongoing habitual/background past)
10565,iniciación,initiation
10566,jarra,jug; pitcher
10567,pagarás,you will pay
10568,poseía,I possessed; he possessed; she possessed; it possessed (ongoing habitual/background past)
10569,regazo,lap
10570,roque,rook
10571,anestesia,anesthetic
10572,indiana,printed calico (feminine singular)
10573,invitarte,to invite you
10574,miraban,they looked at (ongoing habitual/background past)
10575,relámpago,bolt; lightning
10576,denunciado,denounced
10577,eliges,you choose
10578,pisar,to step
10579,prenda,garment
10580,corporaciones,corporation
10581,sofisticado,sophisticated
10582,anécdota,anecdote
10583,dedicas,you dedicate
10584,identifica,you identify
10585,comportarse,to involve
10586,sorprender,to surprise
10587,bachillerato,graduation certificate
10588,explorador,exploration
10589,reía,I laughed
10590,divisiones,divide; division
10591,entusiasta,enthusiastic
10592,escriben,they write
10593,fotógrafos,photographer (masculine plural)
10594,humildad,humility; humbleness
10595,recibirán,they will receive
10596,agradecidos,obliged; grateful; thankful; appreciative (masculine plural)
10597,fascista,fascist
10598,triunfar,to triumph
10599,acelerador,accelerating
10600,enterrada,buried (feminine singular)
10601,núcleos,nucleus (masculine plural)
10602,pulsera,bracelet
10603,compatriotas,compatriot (plural)
10604,escondes,you hide
10605,incapaces,unable; incapable (plural)
10606,suspiro,sigh
10607,coronas,crown (plural)
10608,cásate,marry you
10609,gestiones,process
10610,inquieta,cross; unquiet; restless; agitated (feminine singular)
10611,regresas,you return
10612,vil,mean; vile; despicable
10613,amabas,you loved (ongoing habitual/background past)
10614,cenas,supper; dinner (plural)
10615,irías,you would go
10616,mirarla,to look at it (feminine)
10617,musulmán,Muslim
10618,regulares,to regulate (plural)
10619,carpa,tent
10620,cocodrilo,crocodile
10621,efectividad,effectiveness
10622,eventual,possible; potential
10623,inversa,reverse; inverted (feminine singular)
10624,maratón,marathon
10625,ofensivo,offensive
10626,elimina,you eliminate
10627,place,you like
10628,asistió,he attended; she attended; it attended (completed past)
10629,compás,rhythm
10630,concejales,councilor; councilman; member of a council (plural)
10631,sellos,seal; sigil (masculine plural)
10632,tortilla,Spanish omelette
10633,conjuntos,joint (masculine plural)
10634,renunciado,renounced
10635,tocarme,to touch me
10636,traerle,to bring to him or her
10637,ambiciones,ambition
10638,combates,combat (plural)
10639,nacida,born; alive (feminine singular)
10640,olvidan,they forget
10641,convencidos,convinced (masculine plural)
10642,lancha,boat; motorboat; speedboat
10643,trasplante,transplant
10644,redada,catch
10645,agradece,you thank
10646,presentarle,to present to him or her
10647,dobla,he folds; she folds; it folds
10648,magistrados,magistrate (masculine plural)
10649,acusan,they accuse
10650,piérdete,you lose
10651,camarote,cabin; quarters
10652,dales,give to them
10653,innovación,innovation
10654,ademas,synonym of ademe (plural)
10655,buscarle,to seek to him or her
10656,consolidación,consolidation
10657,salones,parlor; living room; sitting room; drawing room
10658,vara,rod; pole
10659,dele,he gives; she gives; it gives
10660,alejarme,to estrange me
10661,ame,he loves; she loves; it loves
10662,energética,energy company
10663,invitarme,to invite me
10664,porche,stoop; porch; veranda; verandah
10665,restricción,restriction
10666,atenta,attentive (feminine singular)
10667,bajan,they go down
10668,entusiasmado,enthused; enthusiastic
10669,pagarán,they will pay
10670,pío,chirp; cheep
10671,recado,message
10672,desgraciada,unfortunate (feminine singular)
10673,ganarme,to gain me
10674,melancolía,melancholy
10675,montando,mounting
10676,ponían,they put (ongoing habitual/background past)
10677,transformó,he transformed; she transformed; it transformed (completed past)
10678,acierto,correct answer
10679,centenario,centenary; centennial
10680,intentaremos,we will try
10681,clausura,closing; closure
10682,cónsul,consul
10683,olvidarse,to forget
10684,bulto,bulge
10685,cogiste,you tooked (completed past)
10686,distinguido,refined; elegant; distinguished
10687,déjalos,leave them (masculine)
10688,limpiado,cleaned
10689,echarte,to throw you
10690,acabada,cum; spunk; spooge; cumshot
10691,apuntes,note; point (plural)
10692,repita,he repeats ); she repeats ); it repeats )
10693,sor,sister
10694,vinculado,binded
10695,arreglé,I fixed (completed past)
10696,cinematográfica,cinematographic (feminine singular)
10697,corté,I cut (completed past)
10698,hundió,he sinked; she sinked; it sinked (completed past)
10699,paseos,walk; stroll (masculine plural)
10700,espléndida,superb; splendid; magnificent; splendiferous (feminine singular)
10701,proyectar,to project
10702,tacones,heel
10703,agregado,attaché
10704,pizarra,slate
10705,andes,you walk
10706,redención,redemption
10707,productiva,fruitful; productive (feminine singular)
10708,sabios,learned (masculine plural)
10709,viajan,they travel
10710,abarca,sandal
10711,contaron,they counted (completed past)
10712,escalones,step
10713,vídeos,video (masculine plural)
10714,antaño,yesteryear; of yore; in the past; in the old days
10715,citados,cited; mentioned; aforementioned (masculine plural)
10716,grúa,tow truck
10717,comarca,district
10718,cultivar,to cultivate
10719,bufanda,scarf
10720,hallé,I found something (completed past)
10721,réplica,replica
10722,terminaba,I finished; he finished; she finished; it finished (ongoing habitual/background past)
10723,narración,narration
10724,pertenecientes,[with a ‘someone; something’] belonging to (plural)
10725,planeas,you plan
10726,agotada,tired; exhausted; worn out (feminine singular)
10727,debida,owed (feminine singular)
10728,divertirme,to entertain me
10729,insignia,badge
10730,suponen,they suppose
10731,artefactos,device; contraption (masculine plural)
10732,escaparon,they escaped (completed past)
10733,tiraste,you throwed (completed past)
10734,válida,valid (feminine singular)
10735,académicos,academic (masculine plural)
10736,dirigidos,directed (masculine plural)
10737,enterarme,to find out
