rank,lemma,original_lemma
10398,dedicar,dedicar
10399,vieras,ver
10400,baratos,barato
10401,pinto,pinto
10402,rendirse,rendir
10403,penetración,penetración
10404,desagradables,desagradable
10405,atendiendo,atender
10406,conocéis,conocer
10407,pezones,pezón
10408,aclara,aclarar
10409,distraído,distraído
10410,honda,honda
10411,puntuación,puntuación
10412,venderlo,vender
10413,vístete,vestir
10414,alabado,alabado
10415,ancha,ancha
10416,presiona,presionar
10417,procura,procura
10418,reunirnos,reunir
10419,seguirme,seguir
10420,quité,quitar
10421,amarte,amar
10422,grandiosa,grandioso
10423,panza,panza
10424,mojada,mojado
10425,besarte,besar
10426,ilegalmente,ilegalmente
10427,ángulos,ángulo
10428,recuperarse,recuperar
10429,tocarlo,tocar
10430,extendió,extender
10431,vistos,visto
10432,receptores,receptor
10433,subimos,subir
10434,dirigimos,dirigir
10435,saldo,saldo
10436,bofetada,bofetada
10437,escondidos,escondido
10438,poderosas,poderoso
10439,soporta,soportar
10440,avisaré,avisar
10441,infectado,infectado
10442,descuidado,descuidado
10443,discoteca,discoteca
10444,sonrisas,sonrisa
10445,asesores,asesor
10446,establecida,establecido
10447,académica,académico
10448,reunimos,reunir
10449,rito,rito
10450,disfrazado,disfrazado
10451,previsión,previsión
10452,acordar,acordar
10453,atar,atar
10454,relevo,relevo
10455,cabecera,cabecera
10456,colombiana,colombiano
10457,completos,completo
10458,idéntico,idéntico
10459,testículos,testículo
10460,criados,criado
10461,evacuar,evacuar
10462,locutor,locutor
10463,morder,morder
10464,remolque,remolque
10465,lloró,llorar
10466,panda,panda
10467,reno,reno
10468,sostenido,sostenido
10469,arcilla,arcilla
10470,filtro,filtro
10471,asiático,asiático
10472,ce,ce
10473,inapropiado,inapropiado
10474,razonamiento,razonamiento
10475,sanguínea,sanguíneo
10476,doctorado,doctorado
10477,averiguado,averiguar
10478,debidamente,debidamente
10479,enseñaste,enseñar
10480,estatus,estatus
10481,sentaba,sentar
10482,ajustes,ajuste
10483,ardilla,ardilla
10484,comprendió,comprender
10485,energético,energético
10486,localidades,localidad
10487,milímetros,milímetro
10488,pautas,pauta
10489,ternera,ternera
10490,terrestres,terrestre
10491,arrogancia,arrogancia
10492,cazando,cazar
10493,mutua,mutuo
10494,ocio,ocio
10495,bocas,boca
10496,descargar,descargar
10497,plantar,plantar
10498,continuaba,continuar
10499,fortalecer,fortalecer
10500,trámites,trámite
10501,procesado,procesado
10502,muelles,muelle
10503,remedios,remedio
10504,turcos,turco
10505,ahogado,ahogado
10506,discípulos,discípulo
10507,previsiones,previsión
10508,servirle,servir
10509,trabajaré,trabajar
10510,arañas,araña
10511,cabras,cabra
10512,carrillo,carrillo
10513,ajenos,ajeno
10514,estrelló,estrellar
10515,judas,judas
10516,norteamericanas,norteamericano
10517,carnet,carné
10518,destacados,destacado
10519,espiando,espiar
10520,imposibilidad,imposibilidad
10521,latinoamericanos,latinoamericano
10522,legisladores,legislador
10523,rodeo,rodeo
10524,latino,latino
10525,vena,vena
10526,belga,belga
10527,dedicados,dedicado
10528,matrimonial,matrimonial
10529,partidario,partidario
10530,retrete,retrete
10531,volverme,volver
10532,guarida,guarida
10533,ligado,ligado
10534,rompen,romper
10535,sacaba,sacar
10536,resistente,resistente
10537,ceremonias,ceremonia
10538,presentaré,presentar
10539,recordará,recordar
10540,eligieron,elegir
10541,sastre,sastre
10542,ideológica,ideológico
10543,prestaciones,prestación
10544,auténticos,auténtico
10545,funda,funda
10546,pos,pos
10547,aumentan,aumentar
10548,especializado,especializado
10549,mandos,mando
10550,rebaño,rebaño
10551,disculparte,disculpar
10552,gruesa,gruesa
10553,intestino,intestino
10554,comunión,comunión
10555,devolverle,devolver
10556,ramera,ramera
10557,reclamo,reclamo
10558,acostaste,acostar
10559,buscaremos,buscar
10560,cebo,cebo
10561,delincuencia,delincuencia
10562,galán,galán
10563,aplicado,aplicado
10564,contenía,contener
10565,iniciación,iniciación
10566,jarra,jarra
10567,pagarás,pagar
10568,poseía,poseer
10569,regazo,regazo
10570,roque,roque
10571,anestesia,anestesia
10572,indiana,indiano
10573,invitarte,invitar
10574,miraban,mirar
10575,relámpago,relámpago
10576,denunciado,denunciar
10577,eliges,elegir
10578,pisar,pisar
10579,prenda,prenda
10580,corporaciones,corporación
10581,sofisticado,sofisticado
10582,anécdota,anécdota
10583,dedicas,dedicar
10584,identifica,identificar
10585,comportarse,comportar
10586,sorprender,sorprender
10587,bachillerato,bachillerato
10588,explorador,explorador
10589,reía,reír
10590,divisiones,división
10591,entusiasta,entusiasta
10592,escriben,escribir
10593,fotógrafos,fotógrafo
10594,humildad,humildad
10595,recibirán,recibir
10596,agradecidos,agradecido
10597,fascista,fascista
10598,triunfar,triunfar
10599,acelerador,acelerador
10600,enterrada,enterrado
10601,núcleos,núcleo
10602,pulsera,pulsera
10603,compatriotas,compatriota
10604,escondes,esconder
10605,incapaces,incapaz
10606,suspiro,suspiro
10607,coronas,corona
10608,cásate,casar
10609,gestiones,gestión
10610,inquieta,inquieto
10611,regresas,regresar
10612,vil,vil
10613,amabas,amar
10614,cenas,cena
10615,irías,ir
10616,mirarla,mirar
10617,musulmán,musulmán
10618,regulares,regular
10619,carpa,carpa
10620,cocodrilo,cocodrilo
10621,efectividad,efectividad
10622,eventual,eventual
10623,inversa,inverso
10624,maratón,maratón
10625,ofensivo,ofensivo
10626,elimina,eliminar
10627,place,placer
10628,asistió,asistir
10629,compás,compás
10630,concejales,concejal
10631,sellos,sello
10632,tortilla,tortilla
10633,conjuntos,conjunto
10634,renunciado,renunciar
10635,tocarme,tocar
10636,traerle,traer
10637,ambiciones,ambición
10638,combates,combate
10639,nacida,nacido
10640,olvidan,olvidar
10641,convencidos,convencido
10642,lancha,lancha
10643,trasplante,trasplante
10644,redada,redada
10645,agradece,agradecer
10646,presentarle,presentar
10647,dobla,doblar
10648,magistrados,magistrado
10649,acusan,acusar
10650,piérdete,perder
10651,camarote,camarote
10652,dales,dar
10653,innovación,innovación
10654,ademas,adema
10655,buscarle,buscar
10656,consolidación,consolidación
10657,salones,salón
10658,vara,vara
10659,dele,dar
10660,alejarme,alejar
10661,ame,amar
10662,energética,energética
10663,invitarme,invitar
10664,porche,porche
10665,restricción,restricción
10666,atenta,atento
10667,bajan,bajar
10668,entusiasmado,entusiasmado
10669,pagarán,pagar
10670,pío,pío
10671,recado,recado
10672,desgraciada,desgraciado
10673,ganarme,ganar
10674,melancolía,melancolía
10675,montando,montar
10676,ponían,poner
10677,transformó,transformar
10678,acierto,acierto
10679,centenario,centenario
10680,intentaremos,intentar
10681,clausura,clausura
10682,cónsul,cónsul
10683,olvidarse,olvidar
10684,bulto,bulto
10685,cogiste,coger
10686,distinguido,distinguido
10687,déjalos,dejar
10688,limpiado,limpiar
10689,echarte,echar
10690,acabada,acabada
10691,apuntes,apunte
10692,repita,repetir
10693,sor,sor
10694,vinculado,vincular
10695,arreglé,arreglar
10696,cinematográfica,cinematográfico
10697,corté,cortar
10698,hundió,hundir
10699,paseos,paseo
10700,espléndida,espléndido
10701,proyectar,proyectar
10702,tacones,tacón
10703,agregado,agregado
10704,pizarra,pizarra
10705,andes,andar
10706,redención,redención
10707,productiva,productivo
10708,sabios,sabio
10709,viajan,viajar
10710,abarca,abarca
10711,contaron,contar
10712,escalones,escalón
10713,vídeos,vídeo
10714,antaño,antaño
10715,citados,citado
10716,grúa,grúa
10717,comarca,comarca
10718,cultivar,cultivar
10719,bufanda,bufanda
10720,hallé,hallar
10721,réplica,réplica
10722,terminaba,terminar
10723,narración,narración
10724,pertenecientes,perteneciente
10725,planeas,planear
10726,agotada,agotado
10727,debida,debido
10728,divertirme,divertir
10729,insignia,insignia
10730,suponen,suponer
10731,artefactos,artefacto
10732,escaparon,escapar
10733,tiraste,tirar
10734,válida,válido
10735,académicos,académico
10736,dirigidos,dirigido
10737,enterarme,enterar
10738,libreta,libreta
10739,ordinaria,ordinario
10740,recreo,recreo
10741,secuestrada,secuestrado
10742,válvula,válvula
10743,jueza,juez
10744,penumbra,penumbra
10745,previos,previo
10746,especulación,especulación
10747,radica,radicar
10748,confió,confiar
10749,económicamente,económicamente
10750,legislatura,legislatura
10751,quítame,quitar
10752,contención,contención
10753,plantado,plantar
10754,descender,descender
10755,bancarias,bancario
10756,provocan,provocar
10757,urbanos,urbano
10758,detenerla,detener
10759,conseguía,conseguir
10760,turística,turístico
10761,beben,beber
10762,cómplices,cómplice
10763,deprimida,deprimido
10764,espiral,espiral
10765,traicionar,traicionar
10766,donaciones,donación
10767,guardó,guardar
10768,gelatina,gelatina
10769,interpretaciones,interpretación
10770,peleado,pelear
10771,templos,templo
10772,gasta,gastar
10773,permitieron,permitir
10774,estatuas,estatua
10775,movilidad,movilidad
10776,peón,peón
10777,quemada,quemado
10778,reunirme,reunir
10779,traduce,traducir
10780,ubicada,ubicado
10781,cooperativa,cooperativa
10782,sensato,sensato
10783,sumar,sumar
10784,agarre,agarre
10785,magos,mago
10786,aduana,aduana
10787,culpas,culpa
10788,encontrando,encontrar
10789,zar,zar
10790,apoyó,apoyar
10791,lastimarte,lastimar
10792,non,non
10793,ritmos,ritmo
10794,bajamos,bajar
10795,brote,brote
10796,levantada,levantado
10797,caídos,caído
10798,codicia,codicia
10799,cuido,cuido
10800,engañarme,engañar
10801,rabino,rabino
10802,reflejan,reflejar
10803,rápidas,rápido
10804,creerte,creer
10805,estimular,estimular
10806,inmune,inmune
10807,madrileña,madrileño
10808,abundantes,abundante
10809,indudablemente,indudablemente
10810,irracional,irracional
10811,tratará,tratar
10812,atajo,atajo
10813,consultorio,consultorio
10814,dedican,dedicar
10815,imprudente,imprudente
10816,saltado,saltado
10817,abrirlo,abrir
10818,antorcha,antorcha
10819,cebollas,cebolla
10820,estructurales,estructural
10821,insistencia,insistencia
10822,yace,yacer
10823,colgó,colgar
10824,adhesión,adhesión
10825,crónicas,crónico
10826,nacieron,nacer
10827,favorecer,favorecer
10828,po,po
10829,consistía,consistir
10830,formaciones,formación
10831,orgánico,orgánico
10832,presentaciones,presentación
10833,cuanta,cuanto
10834,extensa,extenso
10835,faldas,falda
10836,ingresó,ingresar
10837,pagaría,pagar
10838,paternidad,paternidad
10839,príncipes,príncipe
10840,famosas,famoso
10841,hacerlas,hacer
10842,procedencia,procedencia
10843,traemos,traer
10844,establecen,establecer
10845,identidades,identidad
10846,pillar,pillar
10847,falsificación,falsificación
10848,separan,separar
10849,tostadas,tostado
10850,desperdiciar,desperdiciar
10851,chismes,chisme
10852,fallos,fallo
10853,pagaba,pagar
10854,sodio,sodio
10855,viviré,vivir
10856,pozos,pozo
10857,allanamiento,allanamiento
10858,aquélla,aquél
10859,conduzco,conducir
10860,discutirlo,discutir
10861,marcharte,marchar
10862,cimientos,cimiento
10863,inofensivo,inofensivo
10864,resentimiento,resentimiento
10865,enviará,enviar
10866,interferencia,interferencia
10867,primitiva,primitiva
10868,motos,moto
10869,mudamos,mudar
10870,protagonismo,protagonismo
10871,protegerlo,proteger
10872,autora,autora
10873,mangas,manga
10874,divisas,divisa
10875,muslo,muslo
10876,padece,padecer
10877,rentabilidad,rentabilidad
10878,trazado,trazado
10879,enseñarles,enseñar
10880,influir,influir
10881,observan,observar
10882,banana,banana
10883,creíble,creíble
10884,paras,parar
10885,tapadera,tapadera
10886,ahogó,ahogar
10887,besando,besar
10888,nocturnos,nocturno
10889,solteros,soltero
10890,monetario,monetario
10891,bárbaro,bárbaro
10892,comportamientos,comportamiento
10893,resolvió,resolver
10894,enamoró,enamorar
10895,asegurarte,asegurar
10896,marciales,marcial
10897,nutrición,nutrición
10898,pegamento,pegamento
10899,regalado,regalar
10900,vinculación,vinculación
10901,basados,basado
10902,brazalete,brazalete
10903,calzones,calzón
10904,cobran,cobrar
10905,legalidad,legalidad
10906,sociología,sociología
10907,amigable,amigable
10908,convocar,convocar
10909,ocurriría,ocurrir
10910,alquilado,alquilar
10911,envidio,envidiar
10912,noveno,noveno
10913,patricio,patricio
10914,evitado,evitar
10915,retos,reto
10916,supieron,saber
10917,escoba,escoba
10918,conque,conque
10919,transcurrido,transcurrir
10920,cantos,canto
10921,sucesivamente,sucesivamente
10922,abrazar,abrazar
10923,atada,atado
10924,colocación,colocación
10925,cuéntanos,contar
10926,operadora,operador
10927,esferas,esfera
10928,soja,soya
10929,simbólico,simbólico
10930,visitando,visitar
10931,arquitectos,arquitecto
10932,imaginarme,imaginar
10933,patrullas,patrulla
10934,reacciona,reaccionar
10935,alterada,alterado
10936,calificaciones,calificación
10937,congelador,congelador
10938,levantamiento,levantamiento
10939,vieran,ver
10940,mara,mara
10941,obligaron,obligar
10942,visa,visar
10943,ayudantes,ayudante
10944,colas,cola
10945,comprarlo,comprar
10946,dinastía,dinastía
10947,rondas,ronda
10948,sequía,sequía
10949,elevación,elevación
10950,fosa,fosa
10951,parálisis,parálisis
10952,matices,matiz
10953,producía,producir
10954,contraté,contratar
10955,entrego,entrego
10956,sobrevive,sobrevivir
10957,destrozar,destrozar
10958,raja,raja
10959,tobillos,tobillo
10960,huérfano,huérfano
10961,sígame,seguir
10962,obvia,obvio
10963,enemiga,enemigo
10964,pobrecita,pobrecito
10965,semanal,semanal
10966,sudando,sudar
10967,sumario,sumario
10968,bancario,bancario
10969,encaje,encaje
10970,interese,interesar
10971,barranco,barranco
10972,disculparse,disculpar
10973,flexibilidad,flexibilidad
10974,fusil,fusil
10975,lastimó,lastimar
10976,perderme,perder
10977,tortugas,tortuga
10978,transformaciones,transformación
10979,aceptará,aceptar
10980,preparatoria,preparatoria
10981,presentando,presentar
10982,vestía,vestir
10983,anónimos,anónimo
10984,divertidas,divertido
10985,exclamó,exclamar
10986,itinerario,itinerario
10987,presidenciales,presidencial
10988,menciones,mención
10989,primordial,primordial
10990,atroz,atroz
10991,banqueros,banquero
10992,chocó,chocar
10993,inventando,inventar
10994,legendario,legendario
10995,nutrientes,nutriente
10996,resplandor,resplandor
10997,escaparse,escapar
10998,recuperando,recuperar
10999,vendes,vender
11000,gritan,gritar
11001,prisiones,prisión
11002,secuestró,secuestrar
11003,contarles,contar
11004,cerramos,cerrar
11005,fomentar,fomentar
11006,obediencia,obediencia
11007,octava,octava
11008,alianzas,alianza
11009,besarme,besar
11010,espontánea,espontáneo
11011,explican,explicar
11012,permitirse,permitir
11013,descubrirlo,descubrir
11014,terminas,terminar
11015,encargados,encargado
11016,franja,franja
11017,intacto,intacto
11018,repentina,repentino
11019,adictos,adicto
11020,asociada,asociado
11021,defendido,defendido
11022,corres,correr
11023,identificó,identificar
11024,paradoja,paradoja
11025,prepararme,preparar
11026,refuerzo,refuerzo
11027,administrar,administrar
11028,aspirantes,aspirante
11029,esperaría,esperar
11030,malvados,malvado
11031,aria,ario
11032,potencialmente,potencialmente
11033,sueldos,sueldo
11034,aislada,aislado
11035,chocar,chocar
11036,competidores,competidor
11037,derrame,derrame
11038,moderado,moderado
11039,suman,sumar
11040,zombis,zombi
11041,callas,callar
11042,certamen,certamen
11043,empeorar,empeorar
11044,granjeros,granjero
11045,insuficiencia,insuficiencia
11046,díganme,decir
11047,estables,estable
11048,inspira,inspirar
11049,renovar,renovar
11050,roble,roble
11051,salarial,salarial
11052,celo,celo
11053,desechos,desecho
11054,enfrentado,enfrentar
11055,librarse,librar
11056,mismísimo,mismo
11057,ocupará,ocupar
11058,ostras,ostras
11059,plenitud,plenitud
11060,secuestrar,secuestrar
11061,bebí,beber
11062,amuleto,amuleto
11063,contarnos,contar
11064,desees,desear
11065,reinos,reino
11066,castaño,castaño
11067,cocinas,cocina
11068,comprobando,comprobar
11069,desaparecidas,desaparecido
11070,frecuencias,frecuencia
11071,mae,mae
11072,molestarme,molestar
11073,acompañó,acompañar
11074,aspirina,aspirina
11075,cuestionar,cuestionar
11076,lomo,lomo
11077,carreta,carreta
11078,indignación,indignación
11079,vendemos,vender
11080,agresividad,agresividad
11081,ande,ande
11082,anota,anotar
11083,completado,completado
11084,inestabilidad,inestabilidad
11085,inevitablemente,inevitablemente
11086,lechuga,lechuga
11087,procesión,procesión
11088,quitan,quitar
11089,deshacerte,deshacer
11090,dirían,decir
11091,reservada,reservado
11092,aplicada,aplicado
11093,detector,detector
11094,preferible,preferible
11095,republicana,republicano
11096,gigantesco,gigantesco
11097,manía,manía
11098,recital,recital
11099,abrazos,abrazo
11100,convenios,convenio
11101,dependerá,depender
11102,destinadas,destinado
11103,reparaciones,reparación
11104,asistieron,asistir
11105,descomposición,descomposición
11106,urnas,urna
11107,aportaciones,aportación
11108,deshacernos,deshacer
11109,aceptaron,aceptar
11110,esconden,esconder
11111,marquesa,marqués
11112,videojuegos,videojuego
11113,iniciaron,iniciar
11114,segmento,segmento
11115,siria,sirio
11116,escalofríos,escalofrío
11117,alcanzaron,alcanzar
11118,arrastrando,arrastrar
11119,brujo,brujo
11120,gitanos,gitano
11121,pesadas,pesado
11122,seguirás,seguir
11123,tac,tac
11124,tóxicos,tóxico
11125,vivan,vivir
11126,extremidades,extremidad
11127,permitirme,permitir
11128,terminaré,terminar
11129,transmisor,transmisor
11130,acertado,acertado
11131,equivocadas,equivocado
11132,frentes,frente
11133,reconciliación,reconciliación
11134,sufría,sufrir
11135,abrirla,abrir
11136,posturas,postura
11137,precisar,precisar
11138,socialmente,socialmente
11139,borrador,borrador
11140,cuidarte,cuidar
11141,necesitáis,necesitar
11142,discreta,discreto
11143,olfato,olfato
11144,textura,textura
11145,apagó,apagar
11146,invitaciones,invitación
11147,pulmonar,pulmonar
11148,apestoso,apestoso
11149,enteramente,enteramente
11150,objetiva,objetivo
11151,permito,permitir
11152,tarado,tarado
11153,impotente,impotente
11154,trataste,tratar
11155,uy,huy
11156,conceder,conceder
11157,controlarlo,controlar
11158,decidirá,decidir
11159,drogadicto,drogadicto
11160,muralla,muralla
11161,repetirlo,repetir
11162,característico,característico
11163,comercialización,comercialización
11164,dígales,decir
11165,psicosis,psicosis
11166,madrina,madriza
11167,pantallas,pantalla
11168,permanentes,permanente
11169,vendas,venda
11170,proa,proa
11171,silvestre,silvestre
11172,activado,activado
11173,funeraria,funeraria
11174,recordarle,recordar
11175,criticar,criticar
11176,dominado,dominar
11177,tornado,tornar
11178,emitido,emitir
11179,parciales,parcial
11180,abandonados,abandonado
11181,generado,generado
11182,peluquería,peluquería
11183,provenientes,proveniente
11184,estratégica,estratégico
11185,regresaremos,regresar
11186,sacarlos,sacar
11187,temblor,temblor
11188,tirón,tirón
11189,acude,acudir
11190,compraron,comprar
11191,escapé,escapar
11192,sobrenatural,sobrenatural
11193,admitido,admitir
11194,trabajaron,trabajar
11195,acompañan,acompañar
11196,ayudarás,ayudar
11197,escalada,escalada
11198,destruidos,destruido
11199,fósforo,fósforo
11200,psiquiatría,psiquiatría
11201,yeso,yeso
11202,grieta,grieta
11203,potencias,potencia
11204,revancha,revancha
11205,debilidades,debilidad
11206,delicadeza,delicadeza
11207,detenida,detenido
11208,enterrados,enterrado
11209,telas,tela
11210,amarga,amargo
11211,complejas,complejo
11212,háganlo,hacer
11213,aceptaría,aceptar
11214,jacinto,jacinto
11215,relevantes,relevante
11216,reventar,reventar
11217,avisó,avisar
11218,honrar,honrar
11219,interrogado,interrogar
11220,light,light
11221,secuestrador,secuestrador
11222,tazón,tazón
11223,torrente,torrente
11224,absorción,absorción
11225,anotó,anotar
11226,hambrienta,hambriento
11227,injusta,injusto
11228,modalidades,modalidad
11229,pagaste,pagar
11230,amazonas,amazona
11231,complace,complacer
11232,externas,externo
11233,filmes,filme
11234,potable,potable
11235,ilustración,ilustración
11236,innecesario,innecesario
11237,negligencia,negligencia
11238,tenor,tenor
11239,vivíamos,vivir
11240,genios,genio
11241,lingüística,lingüística
11242,matemático,matemático
11243,obligan,obligar
11244,aprendes,aprender
11245,estimulante,estimulante
11246,marchando,marchar
11247,murciélago,murciélago
11248,ocupando,ocupar
11249,alejar,alejar
11250,bancarrota,bancarrota
11251,cobertizo,cobertizo
11252,creadores,creador
11253,escasas,escaso
11254,poético,poético
11255,atrapan,atrapar
11256,cabos,cabo
11257,fundó,fundar
11258,arruiné,arruinar
11259,nicaragüense,nicaragüense
11260,andaluz,andaluz
11261,coincidencias,coincidencia
11262,golpeaste,golpear
11263,vigilado,vigilar
11264,indicio,indicio
11265,rastreo,rastreo
11266,constitucionales,constitucional
11267,interpretado,interpretar
11268,pruébalo,probar
11269,agresor,agresor
11270,envuelta,envuelto
11271,gremio,gremio
11272,recorte,recorte
11273,riendas,rienda
11274,sentías,sentir
11275,analiza,analizar
11276,agarré,agarrar
11277,esculturas,escultura
11278,firmada,firmado
11279,iluminado,iluminado
11280,sorda,sordo
11281,centrado,centrado
11282,grabados,grabado
11283,jinetes,jinete
11284,paralizado,paralizar
11285,urbanización,urbanización
11286,cubren,cubrir
11287,intacta,intacto
11288,reiteró,reiterar
11289,fracturas,fractura
11290,carrito,carro
11291,ideológico,ideológico
11292,clasificado,clasificado
11293,saques,saque
11294,consigas,conseguir
11295,designación,designación
11296,desprende,desprender
11297,granadas,granado
11298,rabo,rabo
11299,trompeta,trompeta
11300,amplios,amplio
11301,anhelo,anhelo
11302,cambiaré,cambiar
11303,legislativa,legislativo
11304,lloro,lloro
11305,describió,describir
11306,impresionada,impresionado
11307,veíamos,ver
11308,cortan,cortar
11309,mártir,mártir
11310,acantilado,acantilado
11311,atrapamos,atrapar
11312,bicicletas,bicicleta
11313,expectativa,expectativa
11314,lamenta,lamentar
11315,nervio,nervio
11316,robarle,robar
11317,anomalías,anomalía
11318,aplastar,aplastar
11319,recuperarlo,recuperar
11320,etiquetas,etiqueta
11321,acusando,acusar
11322,anzuelo,anzuelo
11323,imitar,imitar
11324,moro,moro
11325,pescados,pescado
11326,predicador,predicador
11327,recomendó,recomendar
11328,concentrarse,concentrar
11329,contarlo,contar
11330,prescindir,prescindir
11331,geometría,geometría
11332,presuntos,presunto
11333,animación,animación
11334,atractivos,atractivo
11335,juveniles,juvenil
11336,contéstame,contestar
11337,fugaz,fugaz
11338,registraron,registrar
11339,consulado,consulado
11340,electores,elector
11341,frustrante,frustrante
11342,permanecerá,permanecer
11343,esconderte,esconder
11344,pesas,pesa
11345,cariñoso,cariñoso
11346,demencia,demencia
11347,estéril,estéril
11348,ascender,ascender
11349,asustan,asustar
11350,arcos,arco
11351,avena,avena
11352,batir,batir
11353,despedirte,despedir
11354,salvará,salvar
11355,vocales,vocal
11356,astronautas,astronauta
11357,extrañamente,extrañamente
11358,mudanza,mudanza
11359,cometas,cometa
11360,convertiría,convertir
11361,presenten,presentar
11362,aspira,aspirar
11363,calculado,calcular
11364,esteroides,esteroide
11365,luminoso,luminoso
11366,sucesivas,sucesivo
11367,aspirante,aspirante
11368,dejarías,dejar
11369,peluche,peluche
11370,afeitar,afeitar
11371,belén,belén
11372,decorado,decorado
11373,magnético,magnético
11374,metodología,metodología
11375,modesta,modesto
11376,sustancial,sustancial
11377,sólidos,sólido
11378,anterioridad,anterioridad
11379,esquí,esquí
11380,jurar,jurar
11381,protegidos,protegido
11382,rosado,rosado
11383,teórica,teórico
11384,ajustado,ajustado
11385,ayúdanos,ayudar
11386,geográfico,geográfico
11387,mensuales,mensual
11388,terciopelo,terciopelo
11389,carecen,carecer
11390,elevador,elevador
11391,hallazgos,hallazgo
11392,pagarte,pagar
11393,temple,temple
11394,aspirar,aspirar
11395,mediano,mediano
11396,vales,vale
11397,cinturones,cinturón
11398,enviaremos,enviar
11399,sangrado,sangrado
11400,subtítulo,subtítulo
11401,finas,fino
11402,laterales,lateral
11403,orientales,oriental
11404,presas,preso
11405,ratos,rato
11406,calmarte,calmar
11407,presumir,presumir
11408,tiran,tirar
11409,abu,abue
11410,antigüedades,antigüedad
11411,látigo,látigo
11412,psíquica,psíquico
11413,divertidos,divertido
11414,espirituales,espiritual
11415,productora,productor
11416,burocracia,burocracia
11417,gata,gato
11418,lejanos,lejano
11419,masajes,masaje
11420,sapo,sapo
11421,cabreado,cabreado
11422,clientela,clientela
11423,cruda,cruda
11424,desastres,desastre
11425,enfrentó,enfrentar
11426,superficies,superficie
11427,únete,unir
11428,darías,dar
11429,amargura,amargura
11430,divertirte,divertir
11431,encerrar,encerrar
11432,aburridos,aburrido
11433,olvidarte,olvidar
11434,pum,pum
11435,dedico,dedicar
11436,folleto,folleto
11437,escobar,escobar
11438,intensamente,intensamente
11439,tomarnos,tomar
11440,alfombras,alfombra
11441,cancela,cancela
11442,clavado,clavado
11443,incorpora,incorporar
11444,ano,ano
11445,canario,canario
11446,gemelo,gemelo
11447,positivas,positivo
11448,secuencias,secuencia
11449,funcionaría,funcionar
11450,preferencias,preferencia
11451,visitarme,visitar
11452,complicadas,complicado
11453,cáscara,cáscara
11454,faltaban,faltar
11455,fotográfica,fotográfico
11456,aduanas,aduana
11457,colonos,colono
11458,controlando,controlar
11459,educada,educado
11460,entendería,entender
11461,importas,importar
11462,subía,subir
11463,superintendente,superintendente
11464,caudillo,caudillo
11465,erupción,erupción
11466,pensarán,pensar
11467,respondí,responder
11468,serbios,serbio
11469,tubería,tubería
11470,centímetro,centímetro
11471,gozar,gozar
11472,manguera,manguera
11473,vértigo,vértigo
11474,abriré,abrir
11475,becas,beca
11476,décima,décima
11477,expuesta,expuesto
11478,lanzas,lanza
11479,precisas,preciso
11480,calzado,calzado
11481,conjuntamente,conjuntamente
11482,generan,generar
11483,márchate,marchar
11484,precisos,preciso
11485,sinfonía,sinfonía
11486,causan,causar
11487,celebridad,celebridad
11488,estela,estela
11489,anomalía,anomalía
11490,barbero,barbero
11491,huerto,huerto
11492,informativa,informativo
11493,respondo,responder
11494,parásitos,parásito
11495,accesorios,accesorio
11496,gráficos,gráfico
11497,paraba,parar
11498,proveedores,proveedor
11499,desconoce,desconocer
11500,dormimos,dormir
11501,hornos,horno
11502,revuelta,revuelta
11503,allende,allende
11504,arrepentimiento,arrepentimiento
11505,fundadores,fundador
11506,operan,operar
11507,polar,polar
11508,sufrieron,sufrir
11509,adoptada,adoptado
11510,diputación,diputación
11511,elevados,elevado
11512,dedicarse,dedicar
11513,imprimir,imprimir
11514,pandillas,pandilla
11515,divorciado,divorciado
11516,guías,guía
11517,lámparas,lámpara
11518,tocarla,tocar
11519,accidental,accidental
11520,lapso,lapso
11521,paradas,parado
11522,primario,primario
11523,dormiré,dormir
11524,ilustre,ilustre
11525,jugará,jugar
11526,latido,latido
11527,revelan,revelar
11528,amarillos,amarillo
11529,deportistas,deportista
11530,entendiendo,entender
11531,histérica,histérico
11532,pretensión,pretensión
11533,reconocerlo,reconocer
11534,ames,amar
11535,milicia,milicia
11536,parecías,parecer
11537,dormidos,dormido
11538,honorarios,honorario
11539,invitaron,invitar
11540,lujuria,lujuria
11541,comenzaremos,comenzar
11542,extraordinarias,extraordinario
11543,grabó,grabar
11544,ponerlos,poner
11545,dormitorios,dormitorio
11546,entrante,entrante
11547,invencible,invencible
11548,mareado,mareado
11549,prestas,presto
11550,computador,computador
11551,consorcio,consorcio
11552,fabrica,fabricar
11553,canaria,canario
11554,cometidos,cometido
11555,ocasionalmente,ocasionalmente
11556,opio,opio
11557,porcelana,porcelana
11558,recordarte,recordar
11559,tomarla,tomar
11560,darían,dar
11561,novelista,novelista
11562,ritos,rito
11563,higiénico,higiénico
11564,apareciendo,aparecer
11565,cotidiano,cotidiano
11566,hemisferio,hemisferio
11567,mendigo,mendigo
11568,novena,noveno
11569,concebir,concebir
11570,conformidad,conformidad
11571,licencias,licencia
11572,analizando,analizar
11573,diplomáticos,diplomático
11574,tenerme,tener
11575,choca,choco
11576,estafador,estafador
11577,operando,operando
11578,satisfechos,satisfecho
11579,imán,imán
11580,persistente,persistente
11581,pídele,pedir
11582,sanitarios,sanitario
11583,solicito,solicitar
11584,completas,completo
11585,faena,faena
11586,lunático,lunático
