rank,lemma,translation_original,translation_pass4
20832,denominadas,named; called; entitled; denominated (feminine plural),named; called (feminine plural)
20892,facto,a truth; a trufax; an opinion considered a true fact,in fact; by the fact
21085,descargando,unloading,downloading; unloading
21144,tipa,chick; woman; broad; female equivalent of tipo: broad (feminine singular),girl; woman
21625,extremidad,end; extremity ),extremity; limb
21740,llamarían,they would summon,they would call
21934,boxear,to box in a boxing match),to box
22049,repetirá,he will repeat ); she will repeat ); it will repeat ),he will repeat; she will repeat; it will repeat
22234,llámale,summon to him or her,call him/her
22632,cargarlo,to load ) it (masculine),to load it (masculine); to carry it (masculine)
22881,dueñas,female equivalent of dueño: owner (plural),owners (feminine plural)
22927,llámalos,summon them (masculine),call them
23170,cargaba,I loaded ); he loaded ); she loaded ); it loaded ) (ongoing habitual/background past),I loaded; he loaded; she loaded; it loaded (ongoing habitual/background past)
23537,repetiré,I will repeat ),I will repeat
23652,mejicano,compare mexiquense),Mexican
23675,llámelo,he summons; she summons; it summons,call him/it (formal imperative/subjunctive)
23980,llámanos,be called,call us
24180,conjura,synonym of conjuración,plot; conspiracy
24513,beses,around 219.3 grams) (plural),you kiss; he kisses; she kisses; it kisses (present subjunctive)
25113,papaya,see image),papaya
25252,mamas,mamma; breast (plural),moms; breasts
25290,cargamos,we loaded ),we load; we carry; we loaded; we carried
25754,mejicanos,compare mexiquense) (masculine plural),Mexican (masculine plural)
26007,blanqueo,synonym of blanqueamiento,money laundering; whitening
26021,llamarles,to summon to them,to call them
26080,cargarse,to load ),to load up; to take on
26105,cargaron,they loaded ) (completed past),they loaded; they carried (completed past)
26530,tomábamos,we tooked (ongoing habitual/background past),we took (ongoing habitual/background past)
27460,llamase,I summoned,I called
27508,caucásico,Caucasian ),Caucasian
27526,tigresa,female equivalent of tigre: tigress,tigress
27912,roa,synonym of roda,Roa
28198,burra,she-ass; jenny-ass; female equivalent of burro: jenny (feminine singular),female donkey
28457,apodado,called someone names,nicknamed
28509,poetisa,poetess; female poet; female equivalent of poeta,poet
28622,baleado,shooted,shot
29184,mejicana,compare mexiquense) (feminine singular),Mexican (feminine singular)
29550,cargaré,I will load ),I will load; I will carry
29619,repetí,I repeated ) (completed past),I repeated (completed past)
29747,santísimo,holy; godly,most holy
29871,tomabas,you tooked (ongoing habitual/background past),you took (ongoing habitual/background past)
29939,sobrinas,female equivalent of sobrino: niece (plural),nieces
29971,repetían,they repeated ) (ongoing habitual/background past),they repeated (ongoing habitual/background past)
30159,neoyorquina,female equivalent of neoyorquino (feminine singular),New Yorker (feminine singular)
30368,convocaron,they called (completed past),they summoned; they called together (completed past)
30413,condicionados,synonym of acondicionado (masculine plural),conditioned (masculine plural)
30499,perceptiva,perceptive (having perception (feminine singular),perceptive (feminine singular)
30555,ramones,breadnut,Ramones
31028,filipina,female equivalent of filipino (feminine singular),Filipina
31063,cargarla,to load ) it (feminine),to load it (feminine); to carry it (feminine)
31782,urraca,magpie (also called,magpie
31827,cargarte,to load ) you,to load you; to carry you
32278,encierre,synonym of encierro,lock up (subjunctive/formal imperative)
32341,repetirme,to repeat ) me,to repeat to me
32793,cargarme,to load ) me,to load me; to burden me
33415,calatrava,female equivalent of calatravo (feminine singular),Calatrava
33436,llamarlas,to summon them (feminine),to call them (feminine)
33972,cargaste,you loaded ) (completed past),you loaded; you carried (completed past)
33983,encarecimiento,increase in price or cost,rise in price; price increase
34073,aquilino,synonym of aguileño,Aquilino
34106,miguelito,synonym of mí,Miguelito
34163,pinchada,synonym of pinchazo,puncture; jab
